station_id,n_total,n_rule_a,n_discordant,pct_of_ruleA
03014002_10_M,35,17,4,23.5
08019004_10_M,35,19,3,15.8
08019028_10_M,35,15,4,26.7
08019043_10_M,35,17,3,17.6
08019045_10_M,35,13,3,23.1
08019052_10_M,35,18,7,38.9
08019054_10_M,35,13,3,23.1
08263007_10_M,35,20,8,40.0
22125001_10_M,35,19,4,21.1
43004005_10_M,35,16,4,25.0
43004006_10_M,35,19,5,26.3
44013007_10_M,35,18,12,66.7
44216001_10_M,35,13,5,38.5
45153999_10_M,35,12,12,100.0
46250043_10_M,35,15,5,33.3
46263999_10_M,35,13,13,100.0
50008001_10_M,35,20,6,30.0
