alpha_thresh,recall_thresh,pass_b,change_n,change_pct,alpha_only_n,recall_only_n,both_n,primary
0.3,0.05,29,248,89.5,212,0,36,False
0.3,0.1,29,248,89.5,175,0,73,False
0.3,0.15,29,248,89.5,129,0,119,False
0.3,0.2,29,248,89.5,80,0,168,False
0.3,0.25,29,248,89.5,54,0,194,False
0.3,0.3,28,249,89.9,30,1,218,False
0.3,0.35,27,250,90.3,20,2,228,False
0.35,0.05,27,250,90.3,214,0,36,False
0.35,0.1,27,250,90.3,177,0,73,False
0.35,0.15,27,250,90.3,131,0,119,False
0.35,0.2,27,250,90.3,82,0,168,False
0.35,0.25,27,250,90.3,56,0,194,False
0.35,0.3,26,251,90.6,32,1,218,False
0.35,0.35,25,252,91.0,22,2,228,False
0.4,0.05,24,253,91.3,217,0,36,False
0.4,0.1,24,253,91.3,180,0,73,False
0.4,0.15,24,253,91.3,134,0,119,False
0.4,0.2,24,253,91.3,85,0,168,False
0.4,0.25,24,253,91.3,59,0,194,False
0.4,0.3,23,254,91.7,35,1,218,False
0.4,0.35,22,255,92.1,25,2,228,False
0.45,0.05,13,264,95.3,228,0,36,False
0.45,0.1,13,264,95.3,191,0,73,False
0.45,0.15,13,264,95.3,145,0,119,False
0.45,0.2,13,264,95.3,96,0,168,False
0.45,0.25,13,264,95.3,70,0,194,False
0.45,0.3,12,265,95.7,46,1,218,False
0.45,0.35,11,266,96.0,36,2,228,False
0.5,0.05,8,269,97.1,233,0,36,False
0.5,0.1,8,269,97.1,196,0,73,False
0.5,0.15,8,269,97.1,150,0,119,False
0.5,0.2,8,269,97.1,101,0,168,True
0.5,0.25,8,269,97.1,75,0,194,False
0.5,0.3,7,270,97.5,51,1,218,False
0.5,0.35,6,271,97.8,41,2,228,False
0.55,0.05,6,271,97.8,235,0,36,False
0.55,0.1,6,271,97.8,198,0,73,False
0.55,0.15,6,271,97.8,152,0,119,False
0.55,0.2,6,271,97.8,103,0,168,False
0.55,0.25,6,271,97.8,77,0,194,False
0.55,0.3,5,272,98.2,53,1,218,False
0.55,0.35,4,273,98.6,43,2,228,False
0.6,0.05,6,271,97.8,235,0,36,False
0.6,0.1,6,271,97.8,198,0,73,False
0.6,0.15,6,271,97.8,152,0,119,False
0.6,0.2,6,271,97.8,103,0,168,False
0.6,0.25,6,271,97.8,77,0,194,False
0.6,0.3,5,272,98.2,53,1,218,False
0.6,0.35,4,273,98.6,43,2,228,False
0.65,0.05,6,271,97.8,235,0,36,False
0.65,0.1,6,271,97.8,198,0,73,False
0.65,0.15,6,271,97.8,152,0,119,False
0.65,0.2,6,271,97.8,103,0,168,False
0.65,0.25,6,271,97.8,77,0,194,False
0.65,0.3,5,272,98.2,53,1,218,False
0.65,0.35,4,273,98.6,43,2,228,False
0.7,0.05,5,272,98.2,236,0,36,False
0.7,0.1,5,272,98.2,199,0,73,False
0.7,0.15,5,272,98.2,153,0,119,False
0.7,0.2,5,272,98.2,104,0,168,False
0.7,0.25,5,272,98.2,78,0,194,False
0.7,0.3,5,272,98.2,53,0,219,False
0.7,0.35,4,273,98.6,43,1,229,False
