dataset,model,horizon,n,skill,mae_skill,alpha,alpha_ci_low,alpha_ci_high,skill_vp,collapse_flag,inflation_flag,near_ideal_flag,low_sample_flag,station_id,station_name,province,station_type,station_class,lat,lon,altitude_m,dem_code,dm_pval_bh,dm_significant,dm_stat,n_pairs,bias_sq,cond_bias_sq,irreducible_sq,rho,std_pred_ug,std_true_ug,base_rate_abs_50,base_rate_p75,base_rate_p90,f1_abs_50,f1_p75,f1_p90,flag_rate_abs_50,flag_rate_p75,flag_rate_p90,precision_abs_50,precision_p75,precision_p90,recall_abs_50,recall_p75,recall_p90,obs_mean_ug,obs_std_ug,observed_range_ug,rule_a,rule_b,discordant
e1_rr_daily,lightgbm_direct,2,1251,0.2086546073588091,0.1415761179237784,0.1535129985270405,0.1135129985270405,0.1935129985270405,0.0817524085117399,True,False,False,False,03014002_10_M,Elx-Agroalimentari,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.0358728222920893,True,2.290496665012154,1251,0.0010210939683693,8.667612785336356,157.00830983374368,0.1740639663711208,5.044652526658247,12.72257152800074,0.0207833733013589,0.2294164668265387,0.0999200639488409,,0.3346007604562737,0.1752577319587629,0.0,0.1910471622701838,0.0551558752997601,,0.3682008368200837,0.2463768115942029,0.0,0.3010452961672473,0.136,20.04685646500593,12.952355853151095,25.90471170630219,True,False,True
e1_rr_daily,lightgbm_direct,3,1241,0.2370489501899036,0.18684935468782,0.1159711951374759,0.0759711951374759,0.1559711951374759,0.0807259384984648,True,False,False,False,03014002_10_M,Elx-Agroalimentari,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.0358728222920893,True,2.2759367943616113,1241,0.0007273085783875,12.63062406328529,162.53488576951165,0.0825774435735023,4.512947408257871,12.792172403322496,0.0209508460918614,0.2312651087832393,0.1023368251410153,,0.2776659959758552,0.0581395348837209,0.0,0.169218372280419,0.0362610797743755,,0.3285714285714285,0.1111111111111111,0.0,0.2344250871080138,0.0393700787401574,20.04685646500593,12.952355853151095,25.90471170630219,True,False,True
e1_rr_daily,lightgbm_direct,4,1234,0.2434271959233885,0.1919245139339388,0.1026180777577304,0.0626180777577304,0.1426180777577304,0.0779796055442756,True,False,False,False,03014002_10_M,Elx-Agroalimentari,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.0288141503322094,True,2.412801768822872,1234,6.267717254529684e-05,17.084559084553852,166.72625463455552,0.0256860586499811,4.374200435348768,12.916471483574888,0.0218800648298217,0.2366288492706645,0.1037277147487844,,0.2553191489361702,0.0112359550561797,0.0,0.1823338735818476,0.0405186385737439,,0.2933333333333333,0.02,0.0,0.218904109589041,0.0078125,20.04685646500593,12.952355853151095,25.90471170630219,True,False,True
e1_rr_daily,lightgbm_direct,5,1228,0.2546828845007108,0.2163887906861952,0.0852571212890555,0.0452571212890555,0.1252571212890555,0.0743644024021527,True,False,False,False,03014002_10_M,Elx-Agroalimentari,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A,0.0220084142203986,True,2.5901272188043096,1228,0.0273480249715819,15.389782937438165,167.25381678456054,0.0193102135856345,4.088086986656756,12.935052643989463,0.021172638436482,0.2394136807817589,0.1050488599348534,,0.2425447316103379,0.0727272727272727,0.0,0.1701954397394136,0.0293159609120521,,0.291866028708134,0.1666666666666666,0.0,0.2020408163265306,0.0465116279069767,20.04685646500593,12.952355853151095,25.90471170630219,True,False,True
e1_rr_08019004_10_M,lightgbm_direct,1,1354,0.093245022405952,0.0576422242198069,0.4880792069272671,0.4480792069272671,0.5280792069272671,0.0651434583558501,True,False,False,False,08019004_10_M,Barcelona El Poblenou,Barcelona,Urban/Background,urban,41.40388,2.20452,3,ES0691A,6.787432479039507e-05,True,4.176384381557504,1354,0.8940502522106615,0.7952597232000878,42.45444387519646,0.5949829277524864,5.564593131983873,8.084794686695023,0.0088626292466765,0.1720827178729689,0.0642540620384047,0.2352941176470588,0.48,0.150375939849624,0.0036927621861152,0.1233382570162481,0.0339734121122599,0.4,0.5748502994011976,0.217391304347826,0.1666666666666666,0.4113304721030042,0.1149425287356321,22.89222108495394,8.847011470277158,17.694022940554316,True,False,True
e1_rr_08019004_10_M,lightgbm_direct,2,1347,0.1425950851396808,0.0893383059705348,0.2194062186339144,0.1794062186339144,0.2594062186339144,0.0667927036288125,True,False,False,False,08019004_10_M,Barcelona El Poblenou,Barcelona,Urban/Background,urban,41.40388,2.20452,3,ES0691A,4.903974437976781e-06,True,4.77817731943422,1347,2.5121460635732773,1.024993135502965,57.71424149398826,0.3554439781707678,3.8072468669574864,8.121923974407359,0.0096510764662212,0.1714922048997773,0.0638455827765404,,0.2714681440443213,0.0824742268041237,0.0,0.0965107646622123,0.0081662954714179,,0.3769230769230769,0.3636363636363636,0.0,0.2102164502164502,0.0465116279069767,22.89222108495394,8.847011470277158,17.694022940554316,True,False,True
e1_rr_08019028_10_M,lightgbm_direct,2,1426,0.1507269939347289,0.114875952802648,0.2621204457156423,0.2221204457156423,0.3021204457156423,0.0771687537595918,True,False,False,False,08019028_10_M,Barcelona Pl. Universitat,Barcelona,Urban/Traffic,urban,41.3874,2.1649,24,ES0559A,0.0002915793093368,True,3.825207950255511,1426,0.8408099983533832,1.828728310493835,78.7647834533333,0.3819581609100818,4.898954873078656,9.594930148055685,0.0210378681626928,0.197054698457223,0.0743338008415147,,0.3611738148984199,0.2416107382550335,0.002805049088359,0.1136044880785413,0.0301542776998597,0.0,0.4938271604938271,0.4186046511627907,0.0,0.2842704626334519,0.1698113207547169,26.117688442211055,9.86637346292785,19.7327469258557,True,False,True
e1_rr_08019028_10_M,lightgbm_direct,3,1418,0.1886502924044663,0.1441803521964359,0.1972333176528398,0.1572333176528398,0.2372333176528398,0.0837814018303519,True,False,False,False,08019028_10_M,Barcelona Pl. Universitat,Barcelona,Urban/Traffic,urban,41.3874,2.1649,24,ES0559A,3.916442456002942e-05,True,4.339523119871512,1418,1.4245740849239013,3.4257036257654043,84.97152656939076,0.2670212933110723,4.30350565294648,9.561668128675326,0.0204513399153737,0.196755994358251,0.0747531734837799,,0.2923433874709976,0.1515151515151515,0.0,0.1071932299012694,0.0183356840620592,,0.4144736842105263,0.3846153846153846,0.0,0.2240860215053763,0.0943396226415094,26.117688442211055,9.86637346292785,19.7327469258557,True,False,True
e1_rr_08019043_10_M,lightgbm_direct,1,1155,0.1031388251293788,0.0562696610460714,0.4257939814359193,0.3857939814359193,0.4657939814359192,0.0673010653814063,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A,0.0100534373592038,True,2.758674054129512,1155,0.4895806964712281,0.9363655687896764,54.94240785239612,0.5470822308057041,5.662218065783491,8.83626627098029,0.0095238095238095,0.1809523809523809,0.0666666666666666,0.1538461538461538,0.4640883977900552,0.3015873015873015,0.0017316017316017,0.1324675324675324,0.0424242424242424,0.5,0.5490196078431373,0.3877551020408163,0.0909090909090909,0.4030622009569378,0.2467532467532467,24.536662606577345,9.0881390260499,18.1762780520998,True,False,True
e1_rr_08019043_10_M,lightgbm_direct,2,1148,0.1641557359626103,0.1087933904947781,0.1794070322980866,0.1394070322980866,0.2194070322980866,0.0695305706404497,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A,0.0004553781303797,True,3.7107357376484735,1148,1.0587990911517184,1.2170535920180536,70.80084790180109,0.3093295990081569,3.7486893815778943,8.843646694955885,0.009581881533101,0.181184668989547,0.0670731707317073,,0.3115264797507788,0.0888888888888889,0.0,0.0984320557491289,0.0113240418118466,,0.4424778761061947,0.3076923076923077,0.0,0.238076923076923,0.0519480519480519,24.536662606577345,9.0881390260499,18.1762780520998,True,False,True
