station_id,horizon,pareto_models,n_pareto,lightgbm_in_pareto
03014002_10_M,1,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
03014002_10_M,2,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
03014002_10_M,3,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
03014002_10_M,4,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
03014002_10_M,5,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
03014002_10_M,6,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
03014002_10_M,7,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
08019004_10_M,1,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019004_10_M,2,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019004_10_M,3,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
08019004_10_M,4,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
08019004_10_M,5,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
08019004_10_M,6,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019004_10_M,7,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019028_10_M,1,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019028_10_M,2,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019028_10_M,3,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019028_10_M,4,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019028_10_M,5,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019028_10_M,6,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019028_10_M,7,"hgb_direct,lightgbm_direct,ridge_direct,seasonal_naive,stl_ridge_direct",5,True
08019043_10_M,1,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019043_10_M,2,"sarima,seasonal_naive,stl_ridge_direct",3,False
08019043_10_M,3,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019043_10_M,4,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019043_10_M,5,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019043_10_M,6,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019043_10_M,7,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019045_10_M,1,"sarima,seasonal_naive,stl_ridge_direct",3,False
08019045_10_M,2,"sarima,seasonal_naive,stl_ridge_direct",3,False
08019045_10_M,3,"sarima,seasonal_naive,stl_ridge_direct",3,False
08019045_10_M,4,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019045_10_M,5,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019045_10_M,6,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019045_10_M,7,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019052_10_M,1,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019052_10_M,2,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
08019052_10_M,3,"hgb_direct,lightgbm_direct,ridge_direct,sarima,seasonal_naive,stl_ridge_direct",6,True
