station,condition,model,horizon,n_eval,mae,rmse,mae_persistence,rmse_persistence,skill_mae_vs_persistence,skill_rmse_vs_persistence
Birr co offlay,reference,persistence,1,211,8.473596046303319,14.12406006673371,8.473596046303319,14.12406006673371,,
Birr co offlay,reference,persistence,2,212,8.659978836462264,14.533548890991174,8.659978836462264,14.533548890991174,,
Birr co offlay,reference,persistence,3,212,8.624216583820754,14.701264015382007,8.624216583820754,14.701264015382007,,
Birr co offlay,reference,persistence,4,212,8.785980914764151,14.87352355890036,8.785980914764151,14.87352355890036,,
Birr co offlay,reference,persistence,5,212,8.990306351367924,14.95049002185638,8.990306351367924,14.95049002185638,,
Birr co offlay,reference,persistence,6,212,9.243238354150945,15.105319897589112,9.243238354150945,15.105319897589112,,
Birr co offlay,reference,persistence,7,212,9.398566399103775,15.071642496595283,9.398566399103775,15.071642496595283,,
Birr co offlay,reference,persistence,8,212,9.949191829481132,15.604968877578816,9.949191829481132,15.604968877578816,,
Birr co offlay,reference,persistence,9,212,9.644616588443395,14.845672831313209,9.644616588443395,14.845672831313209,,
Birr co offlay,reference,persistence,10,212,10.012999592273584,15.328205345664143,10.012999592273584,15.328205345664143,,
Birr co offlay,reference,persistence,11,212,9.785991932273586,15.38092581256083,9.785991932273586,15.38092581256083,,
Birr co offlay,reference,persistence,12,212,9.526130719575471,15.692270620784226,9.526130719575471,15.692270620784226,,
Birr co offlay,reference,persistence,13,212,9.151914323867926,15.127060828045241,9.151914323867926,15.127060828045241,,
Birr co offlay,reference,persistence,14,212,8.806124925047172,14.790613826526991,8.806124925047172,14.790613826526991,,
Birr co offlay,reference,persistence,15,211,8.390366017393365,14.098457790948576,8.390366017393365,14.098457790948576,,
Birr co offlay,reference,persistence,16,211,8.338578147488152,14.127488764711272,8.338578147488152,14.127488764711272,,
Birr co offlay,reference,persistence,17,212,8.476087709339623,14.522899445768997,8.476087709339623,14.522899445768997,,
Birr co offlay,reference,persistence,18,212,9.711468644433962,16.749104897509746,9.711468644433962,16.749104897509746,,
Birr co offlay,reference,persistence,19,212,11.167648273820756,19.541219110543633,11.167648273820756,19.541219110543633,,
Birr co offlay,reference,persistence,20,212,12.099985763726416,21.467150083627505,12.099985763726416,21.467150083627505,,
Birr co offlay,reference,persistence,21,212,11.91951525754717,21.675368351870524,11.91951525754717,21.675368351870524,,
Birr co offlay,reference,persistence,22,212,9.997427804245282,16.419249589858655,9.997427804245282,16.419249589858655,,
Birr co offlay,reference,persistence,23,212,9.696251708679245,16.221772354270485,9.696251708679245,16.221772354270485,,
Birr co offlay,reference,persistence,24,212,10.198217364292452,15.720667298345692,10.198217364292452,15.720667298345692,,
Birr co offlay,reference,sarima,1,211,7.978744874990409,12.94548124948418,8.473596046303319,14.12406006673371,0.05839919304730057,0.08344476104469623
Birr co offlay,reference,sarima,2,212,7.3924621250953075,12.003499253578982,8.659978836462264,14.533548890991174,0.14636487401449083,0.1740834022294775
Birr co offlay,reference,sarima,3,212,6.696141370707907,10.942568680985417,8.624216583820754,14.701264015382007,0.22356525887000156,0.2556715756185215
Birr co offlay,reference,sarima,4,212,6.45459088430284,10.089596907059846,8.785980914764151,14.87352355890036,0.26535341393054845,0.32164043932802977
Birr co offlay,reference,sarima,5,212,6.029001530463553,9.261962749817418,8.990306351367924,14.95049002185638,0.3293886442983994,0.3804910249578981
Birr co offlay,reference,sarima,6,212,6.199077888504938,9.099470994176128,9.243238354150945,15.105319897589112,0.3293391719449643,0.39759825969468865
Birr co offlay,reference,sarima,7,212,6.403850325576086,8.903977662965927,9.398566399103775,15.071642496595283,0.31863541165312803,0.40922313775838604
Birr co offlay,reference,sarima,8,212,7.520916226153078,10.824012876157473,9.949191829481132,15.604968877578816,0.24406762327495424,0.3063739529971514
Birr co offlay,reference,sarima,9,212,7.966804098463873,10.200358897538846,9.644616588443395,14.845672831313209,0.1739636277495935,0.3129069316397868
Birr co offlay,reference,sarima,10,212,8.723497502562418,11.335363235334478,10.012999592273584,15.328205345664143,0.12878279658636904,0.260489862987066
Birr co offlay,reference,sarima,11,212,8.870911191501591,11.958314667314479,9.785991932273586,15.38092581256083,0.09350924741253008,0.2225230904144455
Birr co offlay,reference,sarima,12,212,9.062758905011329,13.205686413716256,9.526130719575471,15.692270620784226,0.04864218518563357,0.15845917185334024
Birr co offlay,reference,sarima,13,212,9.566834046287775,13.646260039430825,9.151914323867926,15.127060828045241,-0.045336932551668596,0.09789084644050905
Birr co offlay,reference,sarima,14,212,9.69655960621441,13.681250731724829,8.806124925047172,14.790613826526991,-0.10111538148119892,0.07500453380863192
Birr co offlay,reference,sarima,15,211,9.026337720282374,12.273296447025066,8.390366017393365,14.098457790948576,-0.07579784976848791,0.1294582266363411
Birr co offlay,reference,sarima,16,211,9.47609495039872,12.577851821035486,8.338578147488152,14.127488764711272,-0.13641615906102955,0.10968948335295003
Birr co offlay,reference,sarima,17,212,10.863461322071894,14.64587163640842,8.476087709339623,14.522899445768997,-0.28165985235165425,-0.008467468297127745
Birr co offlay,reference,sarima,18,212,13.20531062116369,19.249884417664745,9.711468644433962,16.749104897509746,-0.3597645324975838,-0.14930824873673187
Birr co offlay,reference,sarima,19,212,14.949450252969864,22.46717272832061,11.167648273820756,19.541219110543633,-0.33863906584651504,-0.14973239904967106
Birr co offlay,reference,sarima,20,212,16.036189824575906,24.962851828097417,12.099985763726416,21.467150083627505,-0.32530650347122925,-0.16283958191245906
Birr co offlay,reference,sarima,21,212,16.255942014023724,24.875781664841472,11.91951525754717,21.675368351870524,-0.3638089857497204,-0.147652084200671
Birr co offlay,reference,sarima,22,212,14.335148147074545,19.022569766050317,9.997427804245282,16.419249589858655,-0.4338836376480062,-0.15855293276006965
Birr co offlay,reference,sarima,23,212,13.740988483665907,18.47657510112192,9.696251708679245,16.221772354270485,-0.4171443663499539,-0.1389985445245041
Birr co offlay,reference,sarima,24,212,12.028172864830852,15.612768259507538,10.198217364292452,15.720667298345692,-0.1794387622042377,0.0068635151924821836
Birr co offlay,lags_meteo,xgboost_direct,1,211,5.0488158441399715,6.752772675007041,8.473596046303319,14.12406006673371,0.40417081289323886,0.5218957832874278
Birr co offlay,lags_meteo,xgboost_direct,2,212,4.643344243506104,6.388537323400884,8.659978836462264,14.533548890991174,0.46381575160950594,0.5604282635082399
Birr co offlay,lags_meteo,xgboost_direct,3,212,4.333687048827961,5.831084265617057,8.624216583820754,14.701264015382007,0.49749788787099036,0.6033617068902399
Birr co offlay,lags_meteo,xgboost_direct,4,212,4.189802876509759,5.547995759086673,8.785980914764151,14.87352355890036,0.5231263398866342,0.6269884713520533
Birr co offlay,lags_meteo,xgboost_direct,5,212,4.416684101128981,5.831363625675298,8.990306351367924,14.95049002185638,0.50872818694805,0.6099550170495865
Birr co offlay,lags_meteo,xgboost_direct,6,212,4.56827510019945,6.2099098162746085,9.243238354150945,15.105319897589112,0.5057711458724925,0.5888925320101468
Birr co offlay,lags_meteo,xgboost_direct,7,212,4.809012510021761,6.322450812232855,9.398566399103775,15.071642496595283,0.48832488851913236,0.5805068482973166
Birr co offlay,lags_meteo,xgboost_direct,8,212,5.967527085018547,8.438038661768525,9.949191829481132,15.604968877578816,0.4001998164980839,0.45927231717249495
