station,station_type,model,condition,horizon,n_eval,skill_h,phi_h,r_h,beta_h,kge_h,rmse,rmse_persistence
Birr co offlay,unknown,xgboost_direct,lag_only,1,211,0.4695480108318173,0.6320267276320574,0.33781391023712154,1.0475523018939068,0.24095061552753216,7.492135757529792,14.12406006673371
Birr co offlay,unknown,xgboost_direct,lag_only,2,212,0.5393113573841728,0.631584475344683,0.28022361720558037,1.0585690658957334,0.18929760360809944,6.695440910981485,14.533548890991174
Birr co offlay,unknown,xgboost_direct,lag_only,3,212,0.5861330455845521,0.7047354458116353,0.2518588619657142,1.091515534678051,0.19051163537287363,6.084367364103568,14.701264015382007
Birr co offlay,unknown,xgboost_direct,lag_only,4,212,0.6122145614893917,0.7287804701061694,0.23612544812191397,1.0923367489039852,0.18416273706030384,5.76773585548604,14.87352355890036
Birr co offlay,unknown,xgboost_direct,lag_only,5,212,0.6275513814312709,0.6448227458775414,0.28488378410439047,1.1308187306125541,0.19089208114003386,5.568289355565978,14.95049002185638
Birr co offlay,unknown,xgboost_direct,lag_only,6,212,0.5785267167270907,0.6028237002986941,0.17018099933264197,1.1290169043632405,0.07102532406719075,6.366488772124489,15.105319897589112
Birr co offlay,unknown,xgboost_direct,lag_only,7,212,0.5727730446063188,0.6543534825918006,0.1778769203623116,1.1268489404826598,0.09919562236246482,6.439011936602422,15.071642496595283
Birr co offlay,unknown,xgboost_direct,lag_only,8,212,0.44561144075456494,0.5106521995852704,0.19888691240828024,1.0876482479543206,0.05717145553874192,8.651216213110773,15.604968877578816
Birr co offlay,unknown,xgboost_direct,lag_only,9,212,0.45467587172212953,0.7025800690206075,0.1516375961127719,1.0684330218897187,0.09841225487584304,8.09570359543434,14.845672831313209
Birr co offlay,unknown,xgboost_direct,lag_only,10,212,0.4229800185782173,0.682978956983879,0.23200568249586928,1.0579177765942152,0.1671302128908252,8.844680763784394,15.328205345664143
Birr co offlay,unknown,xgboost_direct,lag_only,11,212,0.4044201748996532,0.6535885015689783,0.3419776677609798,1.0588377396723312,0.2540400844681705,9.160569105326388,15.38092581256083
Birr co offlay,unknown,xgboost_direct,lag_only,12,212,0.343664263067067,0.5782551057214956,0.3380179497800637,1.0111604939215313,0.21500729475494507,10.299398002043429,15.692270620784226
Birr co offlay,unknown,xgboost_direct,lag_only,13,212,0.30565305999233794,0.5874191606602374,0.35335485798026817,0.9567198148590944,0.23172526846586106,10.503428397262985,15.127060828045241
Birr co offlay,unknown,xgboost_direct,lag_only,14,212,0.3686642354701678,0.5875216463766557,0.5277416665610192,0.9467972277777014,0.3707171854543253,9.337843488035926,14.790613826526991
Birr co offlay,unknown,xgboost_direct,lag_only,15,211,0.4127370425105492,0.6935678422012859,0.49300861436805826,1.012549513503911,0.40746441226930763,8.27950201835265,14.098457790948576
Birr co offlay,unknown,xgboost_direct,lag_only,16,211,0.40203779994467914,0.7715067128299556,0.47854680837647806,1.0251937506592912,0.4301251554872664,8.44770426300358,14.127488764711272
Birr co offlay,unknown,xgboost_direct,lag_only,17,212,0.37623451203909775,0.7326463118943466,0.5474349271440148,1.0317713924751297,0.4734047464203205,9.058883459397215,14.522899445768997
Birr co offlay,unknown,xgboost_direct,lag_only,18,212,0.2507923062759875,0.6140084277599863,0.5329658583882955,1.0088814918591413,0.3940385621436432,12.54855825220484,16.749104897509746
Birr co offlay,unknown,xgboost_direct,lag_only,19,212,0.2255332461730053,0.5503736137082018,0.48282619029359597,1.0161813840013973,0.3145115071102522,15.13402453036476,19.541219110543633
Birr co offlay,unknown,xgboost_direct,lag_only,20,212,0.1950409465195745,0.4672043826127943,0.4653026110135534,0.995010152420627,0.24515076586459839,17.280176812239034,21.467150083627505
Birr co offlay,unknown,xgboost_direct,lag_only,21,212,0.16788371680331848,0.43593186146221324,0.3462270838673845,1.007663451735429,0.13648936354290975,18.03642694987748,21.675368351870524
Birr co offlay,unknown,xgboost_direct,lag_only,22,212,0.27934270917783566,0.5871404132491749,0.4445365466726974,1.1020305512953932,0.30042661589223074,11.832651926760471,16.419249589858655
Birr co offlay,unknown,xgboost_direct,lag_only,23,212,0.2582061982459233,0.5112409350364442,0.35805969969579304,1.0364921520632078,0.19234633047270244,12.033210185863481,16.221772354270485
Birr co offlay,unknown,xgboost_direct,lag_only,24,212,0.35331170488471286,0.4816019333796075,0.22547829302319172,1.0320503898718163,0.06745098919951398,10.166371533241822,15.720667298345692
Birr co offlay,unknown,xgboost_direct,lag_plus_met,1,211,0.5218957832874278,0.6345924281414752,0.4799504365613104,1.0211554752301535,0.3640583390463177,6.752772675007041,14.12406006673371
Birr co offlay,unknown,xgboost_direct,lag_plus_met,2,212,0.5604282635082399,0.7072452496286495,0.3872004975859188,1.0519085752422757,0.31888101317932693,6.388537323400884,14.533548890991174
Birr co offlay,unknown,xgboost_direct,lag_plus_met,3,212,0.6033617068902399,0.8022436075441391,0.37297580413757947,1.0936417037691506,0.3358948113146074,5.831084265617057,14.701264015382007
Birr co offlay,unknown,xgboost_direct,lag_plus_met,4,212,0.6269884713520533,0.7928331329305773,0.33669678817252296,1.0944585881758209,0.29870713213937783,5.547995759086673,14.87352355890036
Birr co offlay,unknown,xgboost_direct,lag_plus_met,5,212,0.6099550170495865,0.7577047223970449,0.2811867988108805,1.1391910220921468,0.22878436194310792,5.831363625675298,14.95049002185638
Birr co offlay,unknown,xgboost_direct,lag_plus_met,6,212,0.5888925320101468,0.7119968866867854,0.28630967264698365,1.1297892552594426,0.21952262850473303,6.2099098162746085,15.105319897589112
Birr co offlay,unknown,xgboost_direct,lag_plus_met,7,212,0.5805068482973166,0.7798009637443627,0.2985523209390939,1.1373726233371548,0.2520777449023359,6.322450812232855,15.071642496595283
Birr co offlay,unknown,xgboost_direct,lag_plus_met,8,212,0.45927231717249495,0.5797791891693074,0.2862917387606175,1.0915264736907349,0.16672807115395505,8.438038661768525,15.604968877578816
Birr co offlay,unknown,xgboost_direct,lag_plus_met,9,212,0.4690700971092633,0.776881184477919,0.2567088481873374,1.087385052068813,0.21903912420144878,7.88201163467677,14.845672831313209
Birr co offlay,unknown,xgboost_direct,lag_plus_met,10,212,0.44234888632973257,0.7337680366251239,0.3174303570806256,1.0600332316321948,0.2648913245936161,8.547790781576156,15.328205345664143
Birr co offlay,unknown,xgboost_direct,lag_plus_met,11,212,0.4452924125119698,0.7122608820750598,0.4621697665471712,1.0608583391925996,0.3870082403087065,8.53191625081799,15.38092581256083
Birr co offlay,unknown,xgboost_direct,lag_plus_met,12,212,0.3449902614170285,0.7186336615693908,0.40259152622344885,1.0368993949913088,0.3386185168205864,10.27859007709312,15.692270620784226
Birr co offlay,unknown,xgboost_direct,lag_plus_met,13,212,0.3742473840965549,0.6645494572471143,0.5152133108856739,0.978197747246807,0.41006734384274857,9.465797884079844,15.127060828045241
Birr co offlay,unknown,xgboost_direct,lag_plus_met,14,212,0.36849321035755833,0.6882679968975036,0.5419745941765297,0.9631445877705838,0.44473210470201896,9.34037305443117,14.790613826526991
Birr co offlay,unknown,xgboost_direct,lag_plus_met,15,211,0.42128767587886995,0.7539326710853659,0.5268271667196431,1.014234447834041,0.4664793537088905,8.158951274723503,14.098457790948576
Birr co offlay,unknown,xgboost_direct,lag_plus_met,16,211,0.4429177637395707,0.7933160609456961,0.5580832433784138,1.0210938258004114,0.5116828695070758,7.870173033789445,14.127488764711272
Birr co offlay,unknown,xgboost_direct,lag_plus_met,17,212,0.45892096015629313,0.8006874295350677,0.6806899658604063,1.0415062367416053,0.6213086133326805,7.858036487863392,14.522899445768997
Birr co offlay,unknown,xgboost_direct,lag_plus_met,18,212,0.3979008954184061,0.7043036506695144,0.7308660757476906,1.0114254527280448,0.6000000735489253,10.084621061333806,16.749104897509746
Birr co offlay,unknown,xgboost_direct,lag_plus_met,19,212,0.32342490694099835,0.6915232201012872,0.6435743067625762,1.0281182678318104,0.5277841219078732,13.2211021382024,19.541219110543633
Birr co offlay,unknown,xgboost_direct,lag_plus_met,20,212,0.286931573042683,0.6055587837641412,0.620803525230459,1.0030788259838532,0.45284068251311893,15.307546941388901,21.467150083627505
Birr co offlay,unknown,xgboost_direct,lag_plus_met,21,212,0.2570712386477336,0.5349026042696348,0.5404576241463462,0.9901303193609606,0.34609466027848845,16.103254561509285,21.675368351870524
Birr co offlay,unknown,xgboost_direct,lag_plus_met,22,212,0.4228315823178813,0.7127353970751821,0.6860989894402812,1.0729698557953349,0.5682831988690296,9.476672305306495,16.419249589858655
Birr co offlay,unknown,xgboost_direct,lag_plus_met,23,212,0.4381399500281101,0.6139595312254363,0.7034053211509543,1.031886381173454,0.512134866630549,9.114365825603036,16.221772354270485
Birr co offlay,unknown,xgboost_direct,lag_plus_met,24,212,0.35996163300333706,0.5532455469800982,0.2833729163638717,1.0421053191259773,0.1544724864366419,10.061830225731018,15.720667298345692
Dublin Airport,unknown,xgboost_direct,lag_only,1,145,-0.10653787977029006,0.7012302983830937,0.8572724126046921,0.9603093624344269,0.6665185979424008,6.597053117846819,5.961886383154207
Dublin Airport,unknown,xgboost_direct,lag_only,2,145,-0.024975097149294134,0.6281360165177056,0.8214056278481505,1.0200787234955366,0.5869843500388349,7.151555679804527,6.977297009161245
Dublin Airport,unknown,xgboost_direct,lag_only,3,145,0.24661426597052571,0.6133471269103371,0.758312909223775,1.0162036542358173,0.5437372987773819,6.632655664771155,8.803797795979595
Dublin Airport,unknown,xgboost_direct,lag_only,4,145,0.2646447901488598,0.5568405690560201,0.6361505003567518,1.0279429518502685,0.4259289693919919,7.180178941917111,9.764232095901805
Dublin Airport,unknown,xgboost_direct,lag_only,5,145,0.2069590725643361,0.5802894103551914,0.5137555426308695,1.0614711480993668,0.35473311457130596,8.096648441360324,10.209622430889194
