punto,n_days,valid_days,coverage,n_years,date_min,date_max
24061001_10_47,365,365,1.0,1,2017-01-01,2017-12-31
06083001_10_A,366,366,1.0,1,2024-01-01,2024-12-31
15024006_10_A,366,366,1.0,1,2024-01-01,2024-12-31
25209001_10_47,366,366,1.0,1,2024-01-01,2024-12-31
24115017_10_49,366,366,1.0,1,2024-01-01,2024-12-31
24061001_10_49,365,365,1.0,1,2018-01-01,2018-12-31
24206001_10_47,365,364,0.997,1,2022-01-01,2022-12-31
28134002_10_49,366,365,0.997,1,2024-01-01,2024-12-31
34214001_10_46,730,728,0.997,2,2017-01-01,2018-12-31
34225001_10_49,365,364,0.997,1,2022-01-01,2022-12-31
15024001_10_47,730,727,0.996,2,2017-01-01,2018-12-31
30027002_10_A,366,364,0.995,1,2024-01-01,2024-12-31
28127004_10_49,366,364,0.995,1,2024-01-01,2024-12-31
33024023_10_49,730,725,0.993,2,2017-01-01,2018-12-31
08019043_10_47,366,362,0.989,1,2024-01-01,2024-12-31
24057003_10_47,730,722,0.989,2,2017-01-01,2018-12-31
08022006_10_47,366,362,0.989,1,2024-01-01,2024-12-31
24206002_10_47,365,360,0.986,1,2022-01-01,2022-12-31
46250055_10_46,366,361,0.986,1,2024-01-01,2024-12-31
08019052_10_M,2922,2879,0.985,8,2017-01-01,2024-12-31
08114006_10_47,366,360,0.984,1,2024-01-01,2024-12-31
17079003_10_47,366,360,0.984,1,2024-01-01,2024-12-31
30016020_10_A,366,360,0.984,1,2024-01-01,2024-12-31
08124009_10_47,366,360,0.984,1,2024-01-01,2024-12-31
52001002_10_A,366,359,0.981,1,2024-01-01,2024-12-31
03140001_10_46,366,359,0.981,1,2024-01-01,2024-12-31
08113007_10_47,366,359,0.981,1,2024-01-01,2024-12-31
10182001_10_A,366,358,0.978,1,2024-01-01,2024-12-31
08187012_10_47,366,358,0.978,1,2024-01-01,2024-12-31
08279011_10_47,366,357,0.975,1,2024-01-01,2024-12-31
50008001_10_M,2922,2849,0.975,8,2017-01-01,2024-12-31
52001001_10_A,366,357,0.975,1,2024-01-01,2024-12-31
47186023_10_49,365,355,0.973,1,2022-01-01,2022-12-31
35022002_10_A,730,710,0.973,2,2017-01-01,2018-12-31
38011006_10_47,365,355,0.973,1,2017-01-01,2017-12-31
27028006_10_A,366,356,0.973,1,2024-01-01,2024-12-31
45165003_10_49,730,708,0.97,2,2017-01-01,2018-12-31
34023004_10_49,365,354,0.97,1,2022-01-01,2022-12-31
06158001_10_A,366,355,0.97,1,2024-01-01,2024-12-31
08298008_10_47,366,355,0.97,1,2024-01-01,2024-12-31
44216001_10_M,2922,2825,0.967,8,2017-01-01,2024-12-31
35019002_10_A,730,706,0.967,2,2017-01-01,2018-12-31
09219001_10_49,730,706,0.967,2,2017-01-01,2018-12-31
27057002_10_A,366,354,0.967,1,2024-01-01,2024-12-31
15026001_10_47,730,706,0.967,2,2017-01-01,2018-12-31
35002002_10_A,730,706,0.967,2,2017-01-01,2018-12-31
15055003_10_49,730,705,0.966,2,2017-01-01,2018-12-31
45153999_10_M,2922,2807,0.961,8,2017-01-01,2024-12-31
46263999_10_M,2922,2804,0.96,8,2017-01-01,2024-12-31
11008006_10_49,366,351,0.959,1,2024-01-01,2024-12-31
10148001_10_A,366,350,0.956,1,2024-01-01,2024-12-31
31201013_10_49,730,697,0.955,2,2017-01-01,2018-12-31
08221004_10_M,1095,1046,0.955,3,2017-01-01,2019-12-31
20019001_10_47,730,697,0.955,2,2017-01-01,2018-12-31
15059002_10_47,730,697,0.955,2,2017-01-01,2018-12-31
08019043_10_M,2556,2436,0.953,7,2017-01-01,2023-12-31
08019045_10_M,2922,2781,0.952,8,2017-01-01,2024-12-31
47186024_10_49,365,347,0.951,1,2022-01-01,2022-12-31
22125001_10_M,2922,2776,0.95,8,2017-01-01,2024-12-31
08019004_10_M,2922,2773,0.949,8,2017-01-01,2024-12-31
08019028_10_M,2922,2773,0.949,8,2017-01-01,2024-12-31
08019054_10_M,2922,2762,0.945,8,2017-01-01,2024-12-31
41004007_10_A,366,346,0.945,1,2024-01-01,2024-12-31
44013007_10_M,2922,2756,0.943,8,2017-01-01,2024-12-31
14026002_10_49,365,344,0.942,1,2022-01-01,2022-12-31
08263007_10_M,2922,2751,0.941,8,2017-01-01,2024-12-31
48013006_10_49,730,686,0.94,2,2017-01-01,2018-12-31
