date,pm10
2017-01-01,21.0
2017-01-02,33.0
2017-01-03,44.0
2017-01-04,40.0
2017-01-05,25.0
2017-01-06,26.0
2017-01-07,30.0
2017-01-08,28.0
2017-01-09,32.0
2017-01-10,32.0
2017-01-11,21.0
2017-01-12,24.0
2017-01-13,17.0
2017-01-14,13.0
2017-01-15,9.0
2017-01-16,26.0
2017-01-17,12.0
2017-01-18,18.0
2017-01-19,37.0
2017-01-20,7.0
2017-01-21,11.0
2017-01-22,12.0
2017-01-23,21.0
2017-01-24,32.0
2017-01-25,28.0
2017-01-26,41.0
2017-01-27,24.0
2017-01-28,9.0
2017-01-29,14.0
2017-01-31,40.0
2017-02-01,21.0
2017-02-02,19.0
2017-02-03,24.0
2017-02-05,8.0
2017-02-08,31.0
2017-02-10,26.0
2017-02-12,53.0
2017-02-13,47.0
2017-02-17,45.0
2017-02-18,43.0
2017-02-19,37.0
2017-02-20,36.0
2017-02-21,33.0
2017-02-23,43.0
2017-02-24,44.0
2017-02-25,26.0
2017-02-26,40.0
2017-02-27,37.0
2017-02-28,26.0
2017-03-01,22.0
2017-03-02,34.0
2017-03-03,41.0
2017-03-04,11.0
2017-03-05,12.0
2017-03-06,22.0
2017-03-07,39.0
2017-03-08,30.0
2017-03-09,40.0
2017-03-10,40.0
2017-03-11,51.0
2017-03-12,37.0
2017-03-13,18.0
2017-03-14,33.0
2017-03-15,35.0
2017-03-16,42.0
2017-03-17,31.0
2017-03-18,36.0
2017-03-19,53.0
2017-03-20,51.0
2017-03-21,44.0
2017-03-22,29.0
2017-03-23,21.0
2017-03-24,16.0
2017-03-25,27.0
2017-03-26,24.0
2017-03-27,21.0
2017-03-28,27.0
2017-03-29,32.0
2017-03-30,25.0
2017-03-31,32.0
2017-04-01,28.0
2017-04-02,18.0
2017-04-03,25.0
2017-04-04,52.0
2017-04-05,36.0
2017-04-06,31.0
2017-04-07,35.0
2017-04-08,27.0
2017-04-09,23.0
2017-04-10,29.0
2017-04-11,36.0
2017-04-12,32.0
2017-04-13,40.0
2017-04-14,42.0
2017-04-15,34.0
2017-04-16,33.0
2017-04-17,34.0
2017-04-18,37.0
2017-04-19,31.0
2017-04-20,31.0
2017-04-21,23.0
2017-04-22,20.0
2017-04-23,24.0
2017-04-24,30.0
2017-04-26,30.0
2017-04-27,13.0
2017-04-28,16.0
2017-04-29,25.0
2017-04-30,17.0
2017-05-01,14.0
2017-05-02,25.0
2017-05-03,24.0
2017-05-04,26.0
2017-05-05,29.0
2017-05-06,24.0
2017-05-07,25.0
2017-05-08,26.0
2017-05-09,25.0
2017-05-10,34.0
2017-05-11,33.0
2017-05-12,24.0
2017-05-13,19.0
2017-05-14,22.0
2017-05-15,28.0
2017-05-16,41.0
2017-05-17,21.0
2017-05-18,23.0
2017-05-19,15.0
2017-05-20,16.0
2017-05-21,18.0
2017-05-22,24.0
2017-05-23,22.0
2017-05-24,23.0
2017-05-25,24.0
2017-05-26,27.0
2017-05-27,27.0
2017-05-28,26.0
2017-05-29,21.0
2017-05-30,25.0
2017-05-31,21.0
2017-06-01,27.0
2017-06-02,30.0
2017-06-03,26.0
2017-06-04,17.0
2017-06-05,11.0
2017-06-06,19.0
2017-06-07,22.0
2017-06-08,26.0
2017-06-09,23.0
2017-06-10,19.0
2017-06-11,20.0
2017-06-12,20.0
2017-06-13,23.0
2017-06-14,24.0
2017-06-15,30.0
2017-06-16,29.0
2017-06-17,30.0
2017-06-18,20.0
2017-06-19,24.0
2017-06-20,31.0
2017-06-21,24.0
2017-06-22,29.0
2017-06-23,31.0
2017-06-24,25.0
2017-06-25,25.0
2017-06-26,26.0
2017-06-27,30.0
2017-06-28,22.0
2017-06-29,21.0
2017-06-30,20.0
2017-07-01,14.0
2017-07-02,15.0
2017-07-03,20.0
2017-07-04,16.0
2017-07-05,18.0
2017-07-06,24.0
2017-07-07,40.0
2017-07-08,36.0
2017-07-09,24.0
2017-07-10,29.0
2017-07-11,28.0
2017-07-12,31.0
2017-07-13,28.0
2017-07-14,28.0
2017-07-15,29.0
2017-07-16,24.0
2017-07-17,19.0
2017-07-18,25.0
2017-07-19,34.0
2017-07-20,41.0
2017-07-21,30.0
2017-07-22,28.0
2017-07-23,24.0
2017-07-24,31.0
2017-07-25,25.0
2017-07-26,29.0
2017-07-27,40.0
2017-07-28,30.0
2017-07-29,22.0
2017-07-30,24.0
2017-07-31,25.0
2017-08-01,38.0
2017-08-02,52.0
2017-08-03,54.0
2017-08-11,21.0
2017-08-12,19.0
2017-08-19,29.0
2017-08-21,29.0
2017-08-22,27.0
2017-08-23,27.0
2017-08-25,25.0
2017-08-26,27.0
2017-08-28,28.0
2017-08-29,19.0
2017-09-07,18.0
2017-09-08,21.0
2017-09-09,27.0
2017-09-13,27.0
2017-09-14,36.0
2017-09-15,25.0
2017-09-16,10.0
2017-09-17,16.0
2017-09-18,20.0
2017-09-19,17.0
2017-09-20,17.0
2017-09-21,19.0
2017-09-22,19.0
2017-09-23,19.0
2017-09-24,27.0
2017-09-25,41.0
2017-09-26,19.0
2017-09-27,22.0
2017-09-28,18.0
2017-09-29,20.0
2017-09-30,16.0
2017-10-01,14.0
2017-10-02,19.0
2017-10-03,22.0
2017-10-04,15.0
2017-10-05,31.0
2017-10-06,28.0
2017-10-07,29.0
2017-10-08,22.0
2017-10-09,21.0
2017-10-10,23.0
2017-10-11,25.0
2017-10-12,30.0
2017-10-13,30.0
2017-10-14,27.0
2017-10-15,19.0
2017-10-16,24.0
2017-10-17,25.0
2017-10-19,12.0
2017-10-20,18.0
2017-10-23,23.0
2017-10-25,32.0
2017-10-26,34.0
2017-10-27,32.0
2017-10-28,23.0
2017-10-30,17.0
2017-10-31,17.0
2017-11-01,14.0
2017-11-02,17.0
2017-11-03,26.0
2017-11-04,15.0
2017-11-05,10.0
2017-11-06,17.0
2017-11-07,20.0
2017-11-08,17.0
2017-11-09,26.0
2017-11-10,26.0
2017-11-11,15.0
2017-11-12,15.0
2017-11-13,33.0
2017-11-14,20.0
2017-11-15,34.0
2017-11-16,34.0
2017-11-17,65.0
2017-11-18,40.0
2017-11-19,31.0
2017-11-20,40.0
2017-11-21,41.0
2017-11-22,37.0
2017-11-23,39.0
2017-11-24,46.0
2017-11-25,36.0
2017-11-26,14.0
2017-11-27,22.0
2017-11-28,33.0
2017-11-29,15.0
2017-11-30,10.0
2017-12-01,11.0
2017-12-02,9.0
2017-12-03,9.0
2017-12-04,24.0
2017-12-05,24.0
2017-12-06,24.0
2017-12-07,35.0
2017-12-08,28.0
2017-12-09,21.0
2017-12-10,21.0
2017-12-11,15.0
2017-12-12,12.0
2017-12-13,17.0
2017-12-15,11.0
2017-12-16,8.0
2017-12-17,13.0
2017-12-18,19.0
2017-12-19,18.0
2017-12-20,27.0
2017-12-21,31.0
2017-12-22,34.0
2017-12-23,24.0
2017-12-24,29.0
2017-12-25,18.0
2017-12-26,71.0
2017-12-27,26.0
2017-12-28,18.0
2017-12-29,19.0
2017-12-30,13.0
2017-12-31,18.0
2018-01-01,16.0
2018-01-02,13.0
2018-01-03,14.0
2018-01-04,11.0
2018-01-05,12.0
2018-01-06,15.0
2018-01-07,6.0
2018-01-08,18.0
2018-01-09,12.0
2018-01-10,9.0
2018-01-11,12.0
2018-01-12,18.0
2018-01-13,14.0
2018-01-14,11.0
2018-01-15,15.0
2018-01-16,16.0
2018-01-17,15.0
2018-01-18,24.0
2018-01-19,32.0
2018-01-20,14.0
2018-01-21,8.0
2018-01-22,17.0
2018-01-23,25.0
2018-01-24,28.0
2018-01-25,40.0
2018-01-26,8.0
2018-01-27,9.0
2018-01-28,21.0
2018-01-29,24.0
2018-01-30,26.0
2018-01-31,26.0
2018-02-01,25.0
2018-02-02,7.0
2018-02-03,3.0
2018-02-04,7.0
2018-02-05,12.0
2018-02-06,6.0
2018-02-07,7.0
2018-02-08,7.0
2018-02-10,7.0
2018-02-11,9.0
2018-02-12,10.0
2018-02-13,10.0
2018-02-14,9.0
2018-02-15,16.0
2018-02-16,33.0
2018-02-17,34.0
2018-02-18,10.0
2018-02-19,19.0
2018-02-20,11.0
2018-02-21,9.0
2018-02-22,18.0
2018-02-23,22.0
2018-02-24,20.0
2018-02-25,25.0
2018-02-26,29.0
2018-02-27,12.0
2018-02-28,17.0
2018-03-01,34.0
2018-03-02,33.0
2018-03-03,16.0
2018-03-04,16.0
2018-03-05,10.0
2018-03-06,11.0
2018-03-07,13.0
2018-03-08,16.0
2018-03-09,22.0
2018-03-10,23.0
2018-03-11,16.0
2018-03-12,14.0
2018-03-13,19.0
2018-03-14,23.0
2018-03-15,12.0
2018-03-16,12.0
2018-03-17,8.0
2018-03-18,12.0
2018-03-19,22.0
2018-03-20,10.0
2018-03-21,11.0
2018-03-22,22.0
2018-03-23,20.0
2018-03-24,17.0
2018-03-25,9.0
2018-03-26,13.0
2018-03-27,25.0
2018-03-28,24.0
2018-03-29,21.0
2018-03-30,23.0
2018-03-31,21.0
2018-04-01,15.0
2018-04-02,14.0
2018-04-03,22.0
2018-04-04,24.0
2018-04-05,17.0
2018-04-06,19.0
2018-04-07,26.0
2018-04-08,6.0
2018-04-09,8.0
2018-04-10,8.0
2018-04-11,8.0
2018-04-12,10.0
2018-04-13,15.0
2018-04-14,21.0
2018-04-15,15.0
2018-04-16,11.0
2018-04-17,20.0
2018-04-18,22.0
2018-04-19,30.0
2018-04-20,32.0
2018-04-21,38.0
2018-04-22,34.0
2018-04-23,45.0
2018-04-24,40.0
2018-04-25,38.0
2018-04-26,38.0
2018-04-27,52.0
