date,pm10
2017-01-01,8.0
2017-01-02,9.0
2017-01-03,19.0
2017-01-04,12.0
2017-01-05,7.0
2017-01-06,7.0
2017-01-07,6.0
2017-01-08,9.0
2017-01-09,10.0
2017-01-10,4.0
2017-01-11,4.0
2017-01-12,7.0
2017-01-13,4.0
2017-01-14,2.0
2017-01-15,2.0
2017-01-16,2.0
2017-01-18,6.0
2017-01-19,5.0
2017-01-22,4.0
2017-01-23,7.0
2017-01-24,8.0
2017-01-25,12.0
2017-01-26,13.0
2017-01-27,4.0
2017-01-28,6.0
2017-01-29,5.0
2017-01-30,4.0
2017-01-31,7.0
2017-02-01,6.0
2017-02-02,8.0
2017-02-03,12.0
2017-02-04,4.0
2017-02-05,5.0
2017-02-06,7.0
2017-02-07,6.0
2017-02-08,2.0
2017-02-09,6.0
2017-02-10,8.0
2017-02-11,27.0
2017-02-12,50.0
2017-02-13,10.0
2017-02-14,6.0
2017-02-15,11.0
2017-02-16,14.0
2017-02-17,14.0
2017-02-18,16.0
2017-02-19,13.0
2017-02-20,9.0
2017-02-21,8.0
2017-02-22,16.0
2017-02-23,47.0
2017-02-24,24.0
2017-02-25,19.0
2017-02-26,30.0
2017-02-27,12.0
2017-02-28,4.0
2017-03-01,5.0
2017-03-02,10.0
2017-03-03,7.0
2017-03-04,2.0
2017-03-05,2.0
2017-03-06,5.0
2017-03-08,7.0
2017-03-09,8.0
2017-03-10,8.0
2017-03-11,15.0
2017-03-12,9.0
2017-03-13,6.0
2017-03-14,16.0
2017-03-15,17.0
2017-03-16,10.0
2017-03-17,12.0
2017-03-18,25.0
2017-03-19,21.0
2017-03-20,17.0
2017-03-21,9.0
2017-03-22,5.0
2017-03-23,4.0
2017-03-24,5.0
2017-03-25,5.0
2017-03-26,9.0
2017-03-27,4.0
2017-03-28,5.0
2017-03-29,10.0
2017-03-30,10.0
2017-03-31,9.0
2017-04-01,5.0
2017-04-04,14.0
2017-04-05,9.0
2017-04-06,10.0
2017-04-07,13.0
2017-04-08,11.0
2017-04-09,12.0
2017-04-10,9.0
2017-04-11,14.0
2017-04-12,17.0
2017-04-13,20.0
2017-04-14,26.0
2017-04-15,15.0
2017-04-16,17.0
2017-04-17,17.0
2017-04-18,14.0
2017-04-19,13.0
2017-04-20,11.0
2017-04-21,8.0
2017-04-22,9.0
2017-04-23,8.0
2017-04-24,15.0
2017-04-25,37.0
2017-04-26,12.0
2017-04-27,3.0
2017-04-28,7.0
2017-04-29,6.0
2017-04-30,6.0
2017-05-01,5.0
2017-05-02,9.0
2017-05-03,8.0
