dataset,station,model,horizon,threshold_type,threshold_value,recall,precision,f1,flag_rate,base_rate,station_id,station_name,station_type,province
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,1,abs_50,50.0,0.1666666666666666,0.4,0.2352941176470588,0.0036927621861152,0.0088626292466765,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,1,p75,28.828914327917285,0.4120171673819742,0.5748502994011976,0.48,0.1233382570162481,0.1720827178729689,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,1,p90,35.16906203840473,0.1149425287356321,0.217391304347826,0.150375939849624,0.0339734121122599,0.0642540620384047,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,2,abs_50,50.0,0.0,,,0.0,0.0096510764662212,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,2,p75,28.831607275426876,0.2121212121212121,0.3769230769230769,0.2714681440443213,0.0965107646622123,0.1714922048997773,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,2,p90,35.17281365998515,0.0465116279069767,0.3636363636363636,0.0824742268041237,0.0081662954714179,0.0638455827765404,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,3,abs_50,50.0,0.0,,,0.0,0.0111358574610244,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,3,p75,28.827004454342983,0.1982758620689655,0.3770491803278688,0.2598870056497175,0.0905716406829992,0.1722345953971789,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,3,p90,35.167297698589465,0.0,0.0,,0.0066815144766146,0.0660727542687453,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,4,abs_50,50.0,0.0,,,0.0,0.0111524163568773,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,4,p75,28.82587360594796,0.1983122362869198,0.3821138211382114,0.2611111111111111,0.091449814126394,0.1762081784386617,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,4,p90,35.16591821561339,0.0,0.0,,0.0044609665427509,0.0676579925650557,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,5,abs_50,50.0,0.0,,,0.0,0.0104555638536221,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,5,p75,28.82520537714712,0.1757322175732217,0.3387096774193548,0.2314049586776859,0.09260642270351,0.1784914115011202,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,5,p90,35.16529499626587,0.0219780219780219,0.25,0.0404040404040404,0.0059746079163554,0.0679611650485436,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,6,abs_50,50.0,0.0,,,0.0,0.0097451274362818,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,6,p75,28.826686656671665,0.175,0.4,0.2434782608695652,0.0787106446776611,0.1799100449775112,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,6,p90,35.167383808095956,0.0,0.0,,0.0044977511244377,0.0689655172413793,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,7,abs_50,50.0,0.0,,,0.0,0.0097670924117205,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,7,p75,28.825131480090157,0.15,0.3185840707964602,0.2039660056657224,0.0848985725018782,0.1803155522163786,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,7,p90,35.165266716754324,0.0,0.0,,0.0022539444027047,0.0706235912847483,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,1,abs_50,50.0,0.25,0.2307692307692307,0.24,0.0096011816838995,0.0088626292466765,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,1,p75,28.828914327917285,0.5321888412017167,0.5344827586206896,0.5333333333333332,0.1713441654357459,0.1720827178729689,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,1,p90,35.16906203840473,0.3103448275862069,0.313953488372093,0.3121387283236994,0.0635155096011816,0.0642540620384047,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,2,abs_50,50.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0096510764662212,0.0096510764662212,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,2,p75,28.831607275426876,0.3852813852813853,0.3852813852813853,0.3852813852813853,0.1714922048997773,0.1714922048997773,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,2,p90,35.17281365998515,0.1511627906976744,0.1529411764705882,0.1520467836257309,0.0631031922791388,0.0638455827765404,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,3,abs_50,50.0,0.0,0.0,,0.0096510764662212,0.0111358574610244,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,3,p75,28.827004454342983,0.3362068965517241,0.3362068965517241,0.3362068965517241,0.1722345953971789,0.1722345953971789,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,3,p90,35.167297698589465,0.1011235955056179,0.1058823529411764,0.1034482758620689,0.0631031922791388,0.0660727542687453,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,4,abs_50,50.0,0.0,0.0,,0.0089219330855018,0.0111524163568773,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,4,p75,28.82587360594796,0.2953586497890295,0.3153153153153153,0.3050108932461873,0.1650557620817843,0.1762081784386617,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,4,p90,35.16591821561339,0.0879120879120879,0.0963855421686747,0.0919540229885057,0.0617100371747211,0.0676579925650557,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,5,abs_50,50.0,0.0,0.0,,0.0097087378640776,0.0104555638536221,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,5,p75,28.82520537714712,0.301255230125523,0.3185840707964602,0.3096774193548387,0.1687826736370425,0.1784914115011202,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,5,p90,35.16529499626587,0.1758241758241758,0.1904761904761904,0.1828571428571428,0.0627333831217326,0.0679611650485436,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,6,abs_50,50.0,0.0769230769230769,0.0833333333333333,0.08,0.0089955022488755,0.0097451274362818,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,6,p75,28.826686656671665,0.3125,0.3303964757709251,0.3211991434689508,0.1701649175412294,0.1799100449775112,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,6,p90,35.167383808095956,0.1521739130434782,0.1647058823529411,0.1581920903954802,0.0637181409295352,0.0689655172413793,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,7,abs_50,50.0,0.0,0.0,,0.0097670924117205,0.0097670924117205,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,7,p75,28.825131480090157,0.3041666666666666,0.3273542600896861,0.3153347732181425,0.1675432006010518,0.1803155522163786,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,persistence,7,p90,35.165266716754324,0.1063829787234042,0.119047619047619,0.1123595505617977,0.0631104432757325,0.0706235912847483,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,1,abs_50,50.0,0.0833333333333333,0.25,0.125,0.0029542097488921,0.0088626292466765,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,1,p75,28.828914327917285,0.3948497854077253,0.5443786982248521,0.4577114427860696,0.1248153618906942,0.1720827178729689,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,1,p90,35.16906203840473,0.1379310344827586,0.3529411764705882,0.1983471074380165,0.0251107828655834,0.0642540620384047,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
