path_in_evidence_package,original_filename,source_location,original_sha256,copied_sha256,hashes_match,row_count,column_count,station_coverage,horizon_coverage,model_coverage,discovery_date,description
aggregates/variance_retention_all_stations.csv,variance_retention_all_stations.csv,/home/fede/investigacion/repos/varret-pm10-paper/outputs/tables/variance_retention_all_stations.csv,5cb0c3a4240962b2fbe3a9ba11ebaf2e633fe7bca95ade32a506c0a34a28318d,5cb0c3a4240962b2fbe3a9ba11ebaf2e633fe7bca95ade32a506c0a34a28318d,TRUE,595,23,17/17,7/7,5/5,2026-07-28,RECOVERED FROM LOCAL SOURCE COPY -- tabla agregada principal de variance retention
aggregates/master_diagnostic_table.csv,master_diagnostic_table.csv,/home/fede/investigacion/repos/varret-pm10-paper/outputs/tables/master_diagnostic_table.csv,6dfb12c5a8a1c2263ecfad71e441cd2af6f451c9b73ba9049b1986eaeee62af6,6dfb12c5a8a1c2263ecfad71e441cd2af6f451c9b73ba9049b1986eaeee62af6,TRUE,595,51,17/17,7/7,5/5,2026-07-28,RECOVERED FROM LOCAL SOURCE COPY -- superset con DM/Murphy/exceedance fusionados
aggregates/dm_significance_all_stations.csv,dm_significance_all_stations.csv,/home/fede/investigacion/repos/varret-pm10-paper/outputs/tables/dm_significance_all_stations.csv,ce4e16085a658ba89d5fe366ba3e472c27a6c2e6854b07f244c93e5fbc5d611c,ce4e16085a658ba89d5fe366ba3e472c27a6c2e6854b07f244c93e5fbc5d611c,TRUE,595,9,17/17,7/7,5/5,2026-07-28,RECOVERED FROM LOCAL SOURCE COPY -- test Diebold-Mariano por celda
aggregates/exceedance_all_stations.csv,exceedance_all_stations.csv,/home/fede/investigacion/repos/varret-pm10-paper/outputs/tables/exceedance_all_stations.csv,4be164b72ee8332a9ae379d0179368efb04238cd78d22383d9844a2063a349dd,4be164b72ee8332a9ae379d0179368efb04238cd78d22383d9844a2063a349dd,TRUE,2142,15,17/17,7/7,5/5,2026-07-28,RECOVERED FROM LOCAL SOURCE COPY -- metricas de deteccion de eventos por celda x umbral
aggregates/murphy_decomposition_all_stations.csv,murphy_decomposition_all_stations.csv,/home/fede/investigacion/repos/varret-pm10-paper/outputs/tables/murphy_decomposition_all_stations.csv,4c5d891ec857fef21326df88f6121cb782f96d36f21e7e02f3347719b989166a,4c5d891ec857fef21326df88f6121cb782f96d36f21e7e02f3347719b989166a,TRUE,714,11,17/17,7/7,6/5 (incluye persistence),2026-07-28,RECOVERED FROM LOCAL SOURCE COPY -- descomposicion de Murphy por celda
aggregates/alpha_threshold_sensitivity.csv,alpha_threshold_sensitivity.csv,/home/fede/investigacion/repos/varret-pm10-paper/outputs/tables/alpha_threshold_sensitivity.csv,0a979b14aca72c294839d79d790840baeb25d6bbdf9b8f9bce07c95b0c98764f,0a979b14aca72c294839d79d790840baeb25d6bbdf9b8f9bce07c95b0c98764f,TRUE,15,5,n/a,n/a,n/a,2026-07-28,RECOVERED FROM LOCAL SOURCE COPY -- sensibilidad de colapso al umbral de alpha
source_tables/variance_retention_<14 estaciones>.csv,variance_retention_<station_id>.csv,/home/fede/investigacion/repos/varret-pm10-paper/outputs/tables/,ver source_manifest.sha256 (14 hashes individuales),identico (verificado por copia byte-a-byte),TRUE,35 c/u,14 c/u,1/17 c/u (14 archivos = 14 estaciones),7/7 c/u,5/5 c/u,2026-07-28,RECOVERED FROM LOCAL SOURCE COPY -- 14 estaciones que faltaban en el repo git principal (que ya tenia 3/17)
source_tables/variance_retention_03014002_10_M.csv,variance_retention_summary.csv,YA VERSIONADO en outputs/tables/variance_retention_summary.csv del repo principal (no recuperado en esta tarea),ver git blame del repo principal,identico al ya versionado,TRUE,35,14,1/17,7/7,5/5,YA_CONOCIDO (PR#9),Copia de conveniencia para colocar los 17 archivos por estacion juntos; el original YA estaba versionado, no es un archivo recuperado
source_tables/variance_retention_46250043_10_M.csv,variance_retention_valencia_vivers.csv,YA VERSIONADO en outputs/tables/variance_retention_valencia_vivers.csv del repo principal,ver git blame del repo principal,identico al ya versionado,TRUE,35,14,1/17,7/7,5/5,YA_CONOCIDO (PR#9),Idem -- ya versionado, solo copiado por conveniencia estructural
source_tables/variance_retention_46263999_10_M.csv,variance_retention_zarra_emep.csv,YA VERSIONADO en outputs/tables/variance_retention_zarra_emep.csv del repo principal,ver git blame del repo principal,identico al ya versionado,TRUE,35,14,1/17,7/7,5/5,YA_CONOCIDO (PR#9),Idem -- ya versionado, solo copiado por conveniencia estructural
row_level/predictions_all_stations.csv (NO copiado aqui -- ver manifest),predictions_all_stations.csv,/home/fede/investigacion/repos/varret-pm10-paper/outputs/metrics/predictions_all_stations.csv,2551b3a2acf549e94cd92e39386b96aca2358cca41fed7f85c933d35c77ef823,2551b3a2acf549e94cd92e39386b96aca2358cca41fed7f85c933d35c77ef823 (copia de respaldo en outputs/p3_12r_artifact_consolidation/recovered_candidates/ y en el backup rsync),TRUE,895737,8,17/17,7/7,6/5 (incluye persistence),2026-07-28,"RECOVERED FROM LOCAL SOURCE COPY -- row-level; NO trackeado en git por politica de almacenamiento (77 MiB), distribuido como release asset (ver row_level/predictions_all_stations_manifest.md)"
metadata/station_metadata.csv,(derivado),derivado de aggregates/variance_retention_all_stations.csv (columnas station_id/station_name/province/station_type/lat/lon/altitude_m/dem_code),n/a (tabla derivada, no un archivo recuperado independiente),n/a,n/a,17,9,17/17,n/a,n/a,2026-07-28,Tabla de metadatos de estacion extraida de los 17 valores unicos de station_id en variance_retention_all_stations.csv
