station_id,station_name,province,station_type,station_class,lat,lon,altitude_m,dem_code
03014002_10_M,Elx-Agroalimentari,Alicante,Suburban/Industrial,industrial,38.24222,-0.68278,44,ES1624A
08019004_10_M,Barcelona El Poblenou,Barcelona,Urban/Background,urban,41.40388,2.20452,3,ES0691A
08019028_10_M,Barcelona Pl. Universitat,Barcelona,Urban/Traffic,urban,41.3874,2.1649,24,ES0559A
08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
08019045_10_M,Barcelona Zona Universitaria,Barcelona,Urban/Background,urban,41.3849,2.1196,24,ES0567A
08019052_10_M,Barcelona El Port Vell,Barcelona,Suburban/Industrial,industrial,41.37494,2.18684,1,ES1870A
08019054_10_M,Barcelona Vall d'Hebron,Barcelona,Urban/Background,urban,41.42608,2.14799,136,ES1856A
08263007_10_M,Sant Vicenc dels Horts Alaba,Barcelona,Suburban/Industrial,industrial,41.40077,1.99963,65,ES2011A
22125001_10_M,Huesca,Huesca,Urban/Traffic,urban,42.13611,-0.40389,488,ES1417A
43004005_10_M,Alcanar Llar de Jubilats,Tarragona,Rural Near-city/Industrial,rural,40.55282,0.52998,7,ES2017A
43004006_10_M,Alcanar Montecarlo,Tarragona,Rural Remote/Industrial,rural,40.57987,0.55352,6,ES2091A
44013007_10_M,Alcaniz Capuchinos,Teruel,Urban/Industrial,industrial,41.05417,-0.13889,340,ES1966A
44216001_10_M,Teruel,Teruel,Urban/Background,urban,40.33639,-1.10667,915,ES1421A
45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
46250043_10_M,Valencia-Vivers,Valencia,Urban/Residential,urban,39.47806,-0.36833,11,ES1619A
46263999_10_M,Zarra-EMEP,Valencia,Rural Remote EMEP,rural,39.08278,-1.10083,855,ES0012R
50008001_10_M,Alagon,Zaragoza,Suburban/Traffic,urban,41.7628,-1.1433,235,ES1418A
