term,occurrences,classification,status,notes
H*,0,CLEAN,PASS,Zero occurrences in paper_a.tex
H_relax,0,CLEAN,PASS,Zero occurrences in paper_a.tex
H_strict,0,CLEAN,PASS,Zero occurrences in paper_a.tex
right-censored,0,CLEAN,PASS,Zero occurrences in paper_a.tex
oracle envelope,0,CLEAN,PASS,Zero occurrences in paper_a.tex
max_m,0,CLEAN,PASS,Zero occurrences in paper_a.tex
prequential,0,CLEAN,PASS,Zero occurrences in paper_a.tex
Yule-Walker,0,CLEAN,PASS,Zero occurrences in paper_a.tex
predictability bound,0,CLEAN,PASS,Zero occurrences in paper_a.tex
8/21,0,CLEAN,PASS,Zero occurrences in paper_a.tex
0/8,0,CLEAN,PASS,Zero occurrences in paper_a.tex
Elche,0,CLEAN,PASS,Zero occurrences in paper_a.tex
Valencia Vivers,0,CLEAN,PASS,Zero occurrences in paper_a.tex
Zarra EMEP,0,CLEAN,PASS,Zero occurrences in paper_a.tex
