journal,fact,value,source,source_type,verification_date,status,notes
Environmental Modelling & Software,subscription_route_available,YES,Official Elsevier Guide for Authors,Official Website,2026-07-27,VERIFIED,Subscription option available with 0 APC
Environmental Modelling & Software,wos_indexing,SCIE (JCR Q1),Clarivate WoS Master Journal List,Official Database,2026-07-27,VERIFIED,Impact Factor 4.8
Environmental Modelling & Software,crue_umh_agreement,APPLIES,UMH Library / CRUE Agreement,Institutional,2026-07-27,VERIFIED,100% APC waiver covered if OA route chosen
Atmospheric Environment,subscription_route_available,YES,Official Elsevier Guide for Authors,Official Website,2026-07-27,VERIFIED,Subscription option available with 0 APC
Atmospheric Environment,wos_indexing,SCIE (JCR Q1),Clarivate WoS Master Journal List,Official Database,2026-07-27,VERIFIED,Impact Factor 4.2
Atmospheric Environment,crue_umh_agreement,APPLIES,UMH Library / CRUE Agreement,Institutional,2026-07-27,VERIFIED,100% APC waiver covered if OA route chosen
Air Quality Atmosphere & Health,subscription_route_available,YES,Official Springer Author Guide,Official Website,2026-07-27,VERIFIED,Subscription option available with 0 APC
Air Quality Atmosphere & Health,wos_indexing,SCIE (JCR Q2),Clarivate WoS Master Journal List,Official Database,2026-07-27,VERIFIED,Impact Factor 2.9
Atmosphere (MDPI),publication_model,Gold OA Only,Official MDPI Website,Official Website,2026-07-27,VERIFIED,Mandatory APC 2400 CHF (EXCLUDED BY POLICY)
International Journal of Forecasting,desk_reject_threshold,HIGH_THEORETICAL_NOVELTY,Official IJF Editorial Policy,Official Website,2026-07-27,VERIFIED,Requires major theoretical forecasting contribution
