journal,publisher,official_url,scope_summary,audience,publication_model,subscription_route,apc_optional_or_mandatory,current_wos_status,current_quartile,elsevier_umh_advantage,initial_fit,initial_risk
Environmental Modelling & Software,Elsevier,https://www.sciencedirect.com/journal/environmental-modelling-and-software,"Environmental software, modelling methodologies, evaluation frameworks, diagnostic tools",Environmental modellers & software developers,Hybrid,YES,OPTIONAL,SCIE (Indexed),Q1,YES (CRUE/UMH Agreement),HIGH,LOW
Atmospheric Environment,Elsevier,https://www.sciencedirect.com/journal/atmospheric-environment,"Atmospheric composition, air pollution, air quality modelling and evaluation",Air quality & atmospheric scientists,Hybrid,YES,OPTIONAL,SCIE (Indexed),Q1,YES (CRUE/UMH Agreement),HIGH,MEDIUM
Air Quality Atmosphere & Health,Springer,https://www.link.springer.com/journal/11869,"Air quality monitoring, forecasting, human health exposure, PM10 studies",Air quality & environmental health researchers,Hybrid,YES,OPTIONAL,SCIE (Indexed),Q2,NO,HIGH,LOW
Journal of Environmental Management,Elsevier,https://www.sciencedirect.com/journal/journal-of-environmental-management,"Environmental management, monitoring systems, decision support tools",Environmental managers & policy modellers,Hybrid,YES,OPTIONAL,SCIE (Indexed),Q1,YES (CRUE/UMH Agreement),MEDIUM,MEDIUM
Stochastic Environmental Research and Risk Assessment,Springer,https://www.link.springer.com/journal/477,"Spatiotemporal modelling, risk assessment, uncertainty, environmental statistics",Environmental statisticians & risk modellers,Hybrid,YES,OPTIONAL,SCIE (Indexed),Q2,NO,MEDIUM,MEDIUM
Environmental Monitoring and Assessment,Springer,https://www.link.springer.com/journal/10661,"Environmental monitoring data, air quality networks, baseline assessment",Monitoring specialists & environmental scientists,Hybrid,YES,OPTIONAL,SCIE (Indexed),Q3,NO,HIGH,LOW
Urban Climate,Elsevier,https://www.sciencedirect.com/journal/urban-climate,"Urban meteorology, urban air quality, microclimate",Urban climatologists & air quality modellers,Hybrid,YES,OPTIONAL,SCIE (Indexed),Q1,YES (CRUE/UMH Agreement),MEDIUM,MEDIUM
International Journal of Forecasting,Elsevier,https://www.sciencedirect.com/journal/international-journal-of-forecasting,"General forecasting theory, methodology, and applications",Forecasters across all disciplines,Hybrid,YES,OPTIONAL,SCIE/SSCI (Indexed),Q1,YES (CRUE/UMH Agreement),LOW,HIGH
Journal of Forecasting,Wiley,https://onlinelibrary.wiley.com/journal/1099131x,"Applied forecasting techniques, time series, empirical forecasting",Forecasters & time series analysts,Hybrid,YES,OPTIONAL,SCIE/SSCI (Indexed),Q2,NO,MEDIUM,MEDIUM
Environmental Pollution,Elsevier,https://www.sciencedirect.com/journal/environmental-pollution,"Environmental contaminants, ecotoxicology, pollution sources",Ecotoxicologists & pollution chemists,Hybrid,YES,OPTIONAL,SCIE (Indexed),Q1,YES (CRUE/UMH Agreement),LOW,HIGH
Atmosphere (MDPI),MDPI,https://www.mdpi.com/journal/atmosphere,"Atmospheric sciences, air quality, meteorology",Atmospheric scientists,Gold OA,NO,MANDATORY,SCIE (Indexed),Q3,NO,EXCLUDED,HIGH
