dataset,model,horizon,n_recomputed,n_canonical,n_match,alpha_recomputed,alpha_canonical,alpha_abs_diff,alpha_within_tol,skill_recomputed,skill_canonical,skill_abs_diff,skill_within_tol,collapse_flag_recomputed,collapse_flag_canonical,collapse_match,near_ideal_flag_recomputed,near_ideal_flag_canonical,near_ideal_match
e1_rr_08019004_10_M,hgb_direct,1,1354,1354,True,0.49326089709889387,0.4932608970988938,5.551115123125783e-17,True,0.09218071245350312,0.0921807124535031,2.7755575615628914e-17,True,True,True,True,False,False,True
e1_rr_08019004_10_M,hgb_direct,2,1347,1347,True,0.22879792667968601,0.228797926679686,2.7755575615628914e-17,True,0.14153811010305428,0.1415381101030542,8.326672684688674e-17,True,True,True,True,False,False,True
e1_rr_08019004_10_M,hgb_direct,3,1347,1347,True,0.18104665677537793,0.1810466567753779,2.7755575615628914e-17,True,0.13962500036582914,0.1396250003658291,5.551115123125783e-17,True,True,True,True,False,False,True
e1_rr_08019004_10_M,hgb_direct,4,1345,1345,True,0.1664879570472411,0.1664879570472411,0.0,True,0.17392638082808687,0.1739263808280868,5.551115123125783e-17,True,True,True,True,False,False,True
e1_rr_08019004_10_M,hgb_direct,5,1339,1339,True,0.16368685428802546,0.1636868542880254,5.551115123125783e-17,True,0.17815200233415596,0.1781520023341559,5.551115123125783e-17,True,True,True,True,False,False,True
e1_rr_08019004_10_M,hgb_direct,6,1334,1334,True,0.16027032558265963,0.1602703255826596,2.7755575615628914e-17,True,0.17238301953110235,0.1723830195311023,5.551115123125783e-17,True,True,True,True,False,False,True
e1_rr_08019004_10_M,hgb_direct,7,1331,1331,True,0.14987218321534054,0.1498721832153405,5.551115123125783e-17,True,0.17736673962975047,0.1773667396297504,8.326672684688674e-17,True,True,True,True,False,False,True
e1_rr_08019004_10_M,ridge_direct,1,1354,1354,True,0.44962709366635917,0.4496270936663591,5.551115123125783e-17,True,0.09432437753513512,0.0943243775351351,1.3877787807814457e-17,True,True,True,True,False,False,True
e1_rr_08019004_10_M,ridge_direct,2,1347,1347,True,0.16096376576425497,0.1609637657642549,8.326672684688674e-17,True,0.15454838910172108,0.154548389101721,8.326672684688674e-17,True,True,True,True,False,False,True
e1_rr_08019004_10_M,ridge_direct,3,1347,1347,True,0.10773070677422433,0.1077307067742243,2.7755575615628914e-17,True,0.17244997668950757,0.1724499766895078,2.220446049250313e-16,True,True,True,True,False,False,True
e1_rr_08019004_10_M,ridge_direct,4,1345,1345,True,0.08921958242919563,0.0892195824291956,2.7755575615628914e-17,True,0.1931347302833304,0.1931347302833304,0.0,True,True,True,True,False,False,True
e1_rr_08019004_10_M,ridge_direct,5,1339,1339,True,0.08208498073168695,0.0820849807316869,5.551115123125783e-17,True,0.1962058714941025,0.1962058714941025,0.0,True,True,True,True,False,False,True
e1_rr_08019004_10_M,ridge_direct,6,1334,1334,True,0.07968399839996629,0.0796839983999663,1.3877787807814457e-17,True,0.18490148074172286,0.1849014807417228,5.551115123125783e-17,True,True,True,True,False,False,True
e1_rr_08019004_10_M,ridge_direct,7,1331,1331,True,0.07866734178847912,0.0786673417884791,1.3877787807814457e-17,True,0.19377248086328147,0.1937724808632817,2.220446049250313e-16,True,True,True,True,False,False,True
e1_rr_08019004_10_M,sarima,1,168,168,True,0.6771638168436922,0.6771638168436921,1.1102230246251565e-16,True,0.13596892886914802,0.1730314846340155,0.03706255576486747,False,False,False,True,False,False,True
e1_rr_08019004_10_M,sarima,2,163,163,True,0.17726856081321576,0.1772685608132157,5.551115123125783e-17,True,-0.026532121644025297,0.1717646426509906,0.1982967642950159,False,True,True,True,False,False,True
e1_rr_08019004_10_M,sarima,3,164,164,True,0.09739744137079091,0.0973974413707909,1.3877787807814457e-17,True,0.04921219478386851,0.1719743752560671,0.12276218047219858,False,True,True,True,False,False,True
e1_rr_08019004_10_M,sarima,4,170,170,True,0.0794556864526517,0.0794556864526517,0.0,True,0.0928114335661101,0.1474739550710023,0.0546625215048922,False,True,True,True,False,False,True
e1_rr_08019004_10_M,sarima,5,162,162,True,0.06242732319535396,0.0624273231953539,6.245004513516506e-17,True,0.2054208994490323,0.1761310788915725,0.029289820557459795,False,True,True,True,False,False,True
e1_rr_08019004_10_M,sarima,6,164,164,True,0.09265606520691766,0.0926560652069176,5.551115123125783e-17,True,0.2286258199231319,0.2215627116342742,0.0070631082888577,False,True,True,True,False,False,True
e1_rr_08019004_10_M,sarima,7,162,162,True,0.11888840073720568,0.1188884007372056,8.326672684688674e-17,True,0.24300590764343477,0.1955251442414819,0.04748076340195287,False,True,True,True,False,False,True
e1_rr_08019004_10_M,seasonal_naive,1,1354,1354,True,1.003125553722795,1.003125553722795,0.0,True,-0.4323755797878224,-0.4323755797878224,0.0,True,False,False,True,False,False,True
e1_rr_08019004_10_M,seasonal_naive,2,1347,1347,True,1.012096862237834,1.012096862237834,0.0,True,-0.15438087557374014,-0.1543808755737401,2.7755575615628914e-17,True,False,False,True,False,False,True
e1_rr_08019004_10_M,seasonal_naive,3,1347,1347,True,0.9423932409049297,0.9423932409049296,1.1102230246251565e-16,True,-0.06340436390713355,-0.0634043639071335,5.551115123125783e-17,True,False,False,True,False,False,True
e1_rr_08019004_10_M,seasonal_naive,4,1345,1345,True,0.947552091369671,0.947552091369671,0.0,True,-0.01434256303827941,-0.0143425630382794,1.0408340855860843e-17,True,False,False,True,False,False,True
e1_rr_08019004_10_M,seasonal_naive,5,1339,1339,True,0.9461688622838937,0.9461688622838936,1.1102230246251565e-16,True,-0.0030093646451514466,-0.0030093646451514,4.683753385137379e-17,True,False,False,True,False,False,True
e1_rr_08019004_10_M,seasonal_naive,6,1334,1334,True,0.946583162328856,0.946583162328856,0.0,True,-0.015252982660871606,-0.0152529826608716,5.204170427930421e-18,True,False,False,True,False,False,True
e1_rr_08019004_10_M,seasonal_naive,7,1331,1331,True,0.9314517720999232,0.9314517720999232,0.0,True,0.0,0.0,0.0,True,False,False,True,False,False,True
e1_rr_08019004_10_M,stl_ridge_direct,1,1354,1354,True,1.7793076794101776,1.7793076794101776,0.0,True,-2.505607302169429,-2.505607302169429,0.0,True,False,False,True,False,False,True
e1_rr_08019004_10_M,stl_ridge_direct,2,1347,1347,True,1.619134270563257,1.619134270563257,0.0,True,-1.8903041027331748,-1.8903041027331748,0.0,True,False,False,True,False,False,True
e1_rr_08019004_10_M,stl_ridge_direct,3,1347,1347,True,1.461083119319735,1.461083119319735,0.0,True,-1.6663184200296062,-1.6663184200296062,0.0,True,False,False,True,False,False,True
e1_rr_08019004_10_M,stl_ridge_direct,4,1345,1345,True,1.4317801262179086,1.4317801262179086,0.0,True,-1.5445356711096188,-1.5445356711096188,0.0,True,False,False,True,False,False,True
e1_rr_08019004_10_M,stl_ridge_direct,5,1339,1339,True,1.386685659845838,1.386685659845838,0.0,True,-1.5216837927435356,-1.5216837927435356,0.0,True,False,False,True,False,False,True
e1_rr_08019004_10_M,stl_ridge_direct,6,1334,1334,True,1.3203885774173785,1.3203885774173785,0.0,True,-1.5595723455572248,-1.5595723455572248,0.0,True,False,False,True,False,False,True
e1_rr_08019004_10_M,stl_ridge_direct,7,1331,1331,True,1.264183665959114,1.2641836659591137,2.220446049250313e-16,True,-1.5117208994212774,-1.5117208994212774,0.0,True,False,False,True,False,False,True
