dataset,model,horizon,n,rmse_model,var_true,var_pred,alpha,n_pers,rmse_pers,skill,collapse_flag,near_ideal_flag
e1_rr_08019004_10_M,hgb_direct,1,1354,6.64407659879138,65.36390512601209,32.24145848034371,0.49326089709889387,1354,7.318721567095018,0.09218071245350312,True,False
e1_rr_08019004_10_M,hgb_direct,2,1347,7.826326129996404,65.96564904605302,15.092803733816737,0.22879792667968601,1347,9.11668441208953,0.14153811010305428,True,False
e1_rr_08019004_10_M,hgb_direct,3,1347,8.577094566604508,70.19233143133658,12.708086936912768,0.18104665677537793,1347,9.969018823479837,0.13962500036582914,True,False
e1_rr_08019004_10_M,hgb_direct,4,1345,8.691971983733676,71.21304235154295,11.856113936227043,0.1664879570472411,1345,10.522030702840786,0.17392638082808687,True,False
e1_rr_08019004_10_M,hgb_direct,5,1339,8.738202277809105,71.04094819570967,11.628469335794295,0.16368685428802546,1339,10.63238251188388,0.17815200233415596,True,False
e1_rr_08019004_10_M,hgb_direct,6,1334,8.670006448888406,71.12710876758022,11.399564879933328,0.16027032558265963,1334,10.47586825004037,0.17238301953110235,True,False
e1_rr_08019004_10_M,hgb_direct,7,1331,8.785086784647534,71.84032562243128,10.766866443934743,0.14987218321534054,1331,10.679226342846333,0.17736673962975047,True,False
e1_rr_08019004_10_M,ridge_direct,1,1354,6.628387710925812,65.36390512601209,29.38938269249245,0.44962709366635917,1354,7.318721567095018,0.09432437753513512,True,False
e1_rr_08019004_10_M,ridge_direct,2,1347,7.707715522252322,65.96564904605302,10.618079281535927,0.16096376576425497,1347,9.11668441208953,0.15454838910172108,True,False
e1_rr_08019004_10_M,ridge_direct,3,1347,8.249861759753477,70.19233143133658,7.561869475228492,0.10773070677422433,1347,9.969018823479837,0.17244997668950757,True,False
e1_rr_08019004_10_M,ridge_direct,4,1345,8.489861141014709,71.21304235154295,6.3535979021172855,0.08921958242919563,1345,10.522030702840786,0.1931347302833304,True,False
e1_rr_08019004_10_M,ridge_direct,5,1339,8.546246635081049,71.04094819570967,5.831394863805599,0.08208498073168695,1339,10.63238251188388,0.1962058714941025,True,False
e1_rr_08019004_10_M,ridge_direct,6,1334,8.538864698552706,71.12710876758022,5.6676924212300905,0.07968399839996629,1334,10.47586825004037,0.18490148074172286,True,False
e1_rr_08019004_10_M,ridge_direct,7,1331,8.60988616069249,71.84032562243128,5.651487449935435,0.07866734178847912,1331,10.679226342846333,0.19377248086328147,True,False
e1_rr_08019004_10_M,sarima,1,168,6.323602834925576,58.86757936507937,39.86299473120612,0.6771638168436922,1354,7.318721567095018,0.13596892886914802,False,False
e1_rr_08019004_10_M,sarima,2,163,9.358569391901279,99.93458090255562,17.715259332067912,0.17726856081321576,1347,9.11668441208953,-0.026532121644025297,True,False
e1_rr_08019004_10_M,sarima,3,164,9.478421527334696,100.93371616597265,9.830685702611373,0.09739744137079091,1347,9.969018823479837,0.04921219478386851,True,False
e1_rr_08019004_10_M,sarima,4,170,9.545465949283507,99.7184515570934,7.923198020464352,0.0794556864526517,1345,10.522030702840786,0.0928114335661101,True,False
e1_rr_08019004_10_M,sarima,5,162,8.448268933006533,80.06842592592592,4.998457503021036,0.06242732319535396,1339,10.63238251188388,0.2054208994490323,True,False
e1_rr_08019004_10_M,sarima,6,164,8.080814281968186,67.23918612433076,6.230118413996064,0.09265606520691766,1334,10.47586825004037,0.2286258199231319,True,False
e1_rr_08019004_10_M,sarima,7,162,8.084111252473281,64.48873532998019,7.666962608946278,0.11888840073720568,1331,10.679226342846333,0.24300590764343477,True,False
e1_rr_08019004_10_M,seasonal_naive,1,1354,10.483158047973367,65.36390512601209,65.56820352301511,1.003125553722795,1354,7.318721567095018,-0.4323755797878224,False,False
e1_rr_08019004_10_M,seasonal_naive,2,1347,10.52412613395738,65.96564904605302,66.76362641499242,1.012096862237834,1347,9.11668441208953,-0.15438087557374014,False,False
e1_rr_08019004_10_M,seasonal_naive,3,1347,10.601098120760817,70.19233143133658,66.14877870425025,0.9423932409049297,1347,9.969018823479837,-0.06340436390713355,False,False
