station,horizon,model,n_cases,threshold,skill,csi,hit_rate,false_alarm_rate,precision,event_bias,exceedance_intensity_error
Zarra,1,hgb_direct,1463,15.0,0.05767453566311054,0.5024038461538461,0.6551724137931034,0.08479020979020979,0.6830065359477124,0.9592476489028213,-7.066660908771001
Zarra,1,ridge_direct,1463,15.0,0.08521530861537485,0.4587378640776699,0.5924764890282131,0.08129370629370629,0.6702127659574468,0.8840125391849529,-6.658983943498459
Zarra,1,sarima,100,15.0,0.3054720868074329,0.4,0.5454545454545454,0.10256410256410256,0.6,0.9090909090909091,-5.638778585346244
Zarra,1,seasonal_naive,1463,15.0,-0.7016714016935104,0.21722846441947566,0.36363636363636365,0.18793706293706294,0.3504531722054381,1.0376175548589341,-9.206896551724139
Zarra,1,stl_ridge_direct,1463,15.0,-1.2432735641872794,0.26356589147286824,0.9592476489028213,0.736013986013986,0.2665505226480836,3.5987460815047023,7.982753872233412
Zarra,2,hgb_direct,1459,15.0,0.19440101982002223,0.3288888888888889,0.4625,0.1141352063213345,0.5323741007194245,0.86875,-10.408035431886997
Zarra,2,ridge_direct,1459,15.0,0.1800284101493156,0.27951807228915665,0.3625,0.08340649692712906,0.5497630331753555,0.659375,-10.173431382006726
Zarra,2,sarima,101,15.0,0.48705866568940326,0.18518518518518517,0.2631578947368421,0.0975609756097561,0.38461538461538464,0.6842105263157895,-8.106538035670145
Zarra,2,seasonal_naive,1459,15.0,-0.22566786923129412,0.21415270018621974,0.359375,0.19051799824407376,0.3463855421686747,1.0375,-9.06875
Zarra,2,stl_ridge_direct,1459,15.0,-0.6772051326064006,0.2562814070351759,0.95625,0.7673397717295873,0.2593220338983051,3.6875,5.296496693441858
Zarra,3,hgb_direct,1456,15.0,0.2313148450813498,0.22863247863247863,0.33229813664596275,0.12874779541446207,0.42292490118577075,0.7857142857142857,-11.717198973252597
Zarra,3,ridge_direct,1456,15.0,0.21898691725352093,0.20327102803738317,0.2701863354037267,0.09347442680776014,0.45077720207253885,0.5993788819875776,-11.528971535014497
Zarra,3,sarima,104,15.0,0.45749441103851796,0.12903225806451613,0.18181818181818182,0.10975609756097561,0.3076923076923077,0.5909090909090909,-8.14469551403053
Zarra,3,seasonal_naive,1456,15.0,-0.099388999661014,0.21495327102803738,0.35714285714285715,0.18783068783068782,0.35060975609756095,1.0186335403726707,-9.51552795031056
Zarra,3,stl_ridge_direct,1456,15.0,-0.5039775306055656,0.2512315270935961,0.9503105590062112,0.7901234567901234,0.2545757071547421,3.732919254658385,3.842217171543205
Zarra,4,hgb_direct,1456,15.0,0.2350524348857933,0.19957537154989385,0.2919254658385093,0.13139329805996472,0.3868312757201646,0.7546583850931677,-12.453683257259366
Zarra,4,ridge_direct,1456,15.0,0.22464627710834983,0.18401937046004843,0.2360248447204969,0.08024691358024691,0.4550898203592814,0.5186335403726708,-12.137150518707463
Zarra,4,sarima,101,15.0,0.4249470901796063,0.10344827586206896,0.10714285714285714,0.0136986301369863,0.75,0.14285714285714285,-8.971824303775886
Zarra,4,seasonal_naive,1456,15.0,-0.07232084673008377,0.21320754716981133,0.35093167701863354,0.18342151675485008,0.35202492211838005,0.9968944099378882,-9.968944099378882
Zarra,4,stl_ridge_direct,1456,15.0,-0.4473887200197133,0.25061025223759154,0.9565217391304348,0.7998236331569665,0.25349794238683127,3.7732919254658386,3.1482468987288064
Zarra,5,hgb_direct,1454,15.0,0.21583802945620845,0.1913978494623656,0.27300613496932513,0.12322695035460993,0.39035087719298245,0.6993865030674846,-13.019018978781615
Zarra,5,ridge_direct,1454,15.0,0.20777749994575112,0.1750599520383693,0.22392638036809817,0.08067375886524823,0.4451219512195122,0.5030674846625767,-12.779214213889874
Zarra,5,sarima,101,15.0,0.5111260613384936,0.0,0.0,0.013333333333333334,0.0,0.038461538461538464,-9.44391406872734
Zarra,5,seasonal_naive,1454,15.0,-0.030114677426707148,0.20943396226415095,0.34049079754601225,0.18085106382978725,0.3523809523809524,0.9662576687116564,-10.63803680981595
Zarra,5,stl_ridge_direct,1454,15.0,-0.37324070321058556,0.24898621248986214,0.941717791411043,0.8040780141843972,0.2528830313014827,3.723926380368098,2.389802021972334
Zarra,6,hgb_direct,1451,15.0,0.21229870113513594,0.17620137299771166,0.23547400611620795,0.09786476868327403,0.4117647058823529,0.5718654434250765,-13.282975523293242
Zarra,6,ridge_direct,1451,15.0,0.20816015156662904,0.17266187050359713,0.22018348623853212,0.0800711743772242,0.4444444444444444,0.4954128440366973,-12.98687591395971
Zarra,6,sarima,99,15.0,0.4785094719878791,0.0,0.0,0.0,0.0,0.0,-11.848046527835185
Zarra,6,seasonal_naive,1451,15.0,-0.006908009524277725,0.20864661654135339,0.3394495412844037,0.18238434163701067,0.3512658227848101,0.9663608562691132,-10.795107033639145
Zarra,6,stl_ridge_direct,1451,15.0,-0.3430493175813982,0.24899274778404512,0.944954128440367,0.8131672597864769,0.2526573998364677,3.7400611620795106,2.1996178197081018
Zarra,7,hgb_direct,1449,15.0,0.20478460462716586,0.16883116883116883,0.23780487804878048,0.11953612845673506,0.36792452830188677,0.6463414634146342,-13.675171120213774
Zarra,7,ridge_direct,1449,15.0,0.20646136954212646,0.15777262180974477,0.2073170731707317,0.09188224799286351,0.39766081871345027,0.5213414634146342,-13.332297795948916
Zarra,7,sarima,101,15.0,0.13138641514791394,0.0,0.0,0.0,0.0,0.0,-16.250099883541367
Zarra,7,seasonal_naive,1449,15.0,0.0,0.205607476635514,0.3353658536585366,0.18465655664585193,0.3470031545741325,0.9664634146341463,-11.03048780487805
Zarra,7,stl_ridge_direct,1449,15.0,-0.31571863962431723,0.24960127591706538,0.9542682926829268,0.8260481712756468,0.25262308313155774,3.777439024390244,1.830413444852311
