input_file,input_sha256,producer_commit,analysis_commit,execution_timestamp,evidence_label,station_status,model,horizon,fold,N,rmse_skill,variance_retention,std_ratio,alpha_kge,correlation,amplitude_ratio,temporal_variability,event_amplitude_retention,tp,fp,fn,tn,POD,CSI,event_bias,positive_skill,concordant_degradation
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,1,0,856,-0.001674708525780444,0.5055424214568099,0.7110150641560345,0.7110150641560345,0.7868853065885727,0.5399143719600131,0.6244433668580542,0.7656708412670131,247,70,107,432,0.6977401129943502,0.5825471698113207,0.8954802259887006,False,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,1,1,853,0.0026097375985513205,0.7117672985664063,0.8436630242972643,0.8436630242972643,0.8840741650453504,0.7888247551233576,0.7222059173736789,0.8802711137254503,383,63,69,338,0.8473451327433629,0.7436893203883496,0.9867256637168141,True,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,1,2,818,-0.03992489871581473,0.6632648672743525,0.8144107485012415,0.8144107485012415,0.9010719942887959,0.7780100156943232,0.7418881554363828,0.9094681162207816,125,49,54,590,0.6983240223463687,0.5482456140350878,0.9720670391061452,False,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,1,3,786,-0.07284425954709772,0.6676470621389352,0.8170967275292046,0.8170967275292046,0.8964123891330151,0.8002479391002673,0.7195012036795897,0.8445309541270136,28,4,15,739,0.6511627906976745,0.5957446808510638,0.7441860465116279,False,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,1,4,868,-0.02565816538028365,0.8523083416259346,0.9232054709683726,0.9232054709683726,0.933818418067577,0.9420631328543678,0.7648057496204068,0.9274457219697887,183,34,38,613,0.8280542986425339,0.7176470588235294,0.9819004524886877,False,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,6,0,851,0.0842015066673214,0.5438590741722912,0.7374680156944375,0.7374680156944375,0.5390804435402043,0.5298394981985434,0.37860233852668396,0.709522852527562,163,90,191,407,0.4604519774011299,0.36711711711711714,0.7146892655367232,True,True
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,6,1,848,0.10276415269458383,0.5176496747383991,0.7194787521104421,0.7194787521104421,0.6634142062006532,0.7212508987643811,0.5071545161572115,0.7942542415518773,314,85,133,316,0.7024608501118568,0.5902255639097744,0.8926174496644296,True,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,6,2,813,0.01815019965980147,0.5640214447031844,0.7510136115299005,0.7510136115299005,0.6372334016762304,0.7298868570964687,0.4929457820881415,0.8554041379506314,115,145,64,489,0.6424581005586593,0.3549382716049383,1.452513966480447,True,True
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,6,3,783,0.012826340740573428,0.409487717589097,0.6399122733540098,0.6399122733540098,0.5472274816856677,0.6516856054270115,0.43725854691763855,0.5987974375176061,2,13,41,727,0.046511627906976744,0.03571428571428571,0.3488372093023256,True,True
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,lightgbm,6,4,866,0.06076693085245377,0.6729715255734152,0.8203484171822454,0.8203484171822454,0.7079331921902501,0.8250463240279685,0.5069360380375539,0.8006777601120191,133,41,86,606,0.6073059360730594,0.5115384615384615,0.7945205479452054,True,False
