dataset,station,model,horizon,n_pairs,dm_stat,dm_pval_raw,dm_pval_bh,dm_significant
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,1,1354,4.094494491723044,4.481498035380227e-05,6.925951509223987e-05,True
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,2,1347,4.684487568072765,3.0907401920021726e-06,5.004055548955899e-06,True
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,3,1347,4.941123294843102,8.742298873709586e-07,1.4861908085306297e-06,True
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,4,1345,5.779908969182842,9.279359280967014e-09,2.10332143701919e-08,True
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,5,1339,5.977220703982396,2.9067448448216733e-09,8.157559858381966e-09,True
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,6,1334,5.631574659834158,2.1752100787253426e-08,4.350420157450685e-08,True
e1_rr_08019004_10_M,08019004_10_M,hgb_direct,7,1331,5.951698278603671,3.389604374959276e-09,8.231896339186814e-09,True
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,1,1354,5.05736454416901,4.834260960429049e-07,8.650782771294087e-07,True
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,2,1347,5.28401872054323,1.4726599073533464e-07,2.781690936111877e-07,True
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,3,1347,5.965173565489364,3.119067004675457e-09,8.157559858381966e-09,True
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,4,1345,6.250298542024756,5.489586563101057e-10,1.987373998701969e-09,True
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,5,1339,6.240408597864259,5.845217643241084e-10,1.987373998701969e-09,True
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,6,1334,5.713338827086398,1.3647344809797346e-08,2.9000607720819364e-08,True
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,7,1331,6.181643198892434,8.42169889381239e-10,2.603070567178375e-09,True
e1_rr_08019004_10_M,08019004_10_M,sarima,1,97,2.3039674032550193,0.023380872808582,0.0283910598389924,True
e1_rr_08019004_10_M,08019004_10_M,sarima,2,94,3.224607727320248,0.0017409361167839,0.002192289924839,True
e1_rr_08019004_10_M,08019004_10_M,sarima,3,95,3.465348559088066,0.0007997222408988,0.0010876222476224,True
e1_rr_08019004_10_M,08019004_10_M,sarima,4,100,3.4133507378584516,0.0009310696857751,0.0012175526660136,True
e1_rr_08019004_10_M,08019004_10_M,sarima,5,95,3.780261983362621,0.0002750209449766,0.0004065527012698,True
e1_rr_08019004_10_M,08019004_10_M,sarima,6,94,1.965546516672526,0.0523341043925791,0.0593119849782563,False
e1_rr_08019004_10_M,08019004_10_M,sarima,7,95,2.0199184643731285,0.0462382993490635,0.0542104199264882,False
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,1,1354,-8.438181048541994,0.0,0.0,True
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,2,1347,-3.5105780191141394,0.0004618978386972,0.0006543552714877,True
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,3,1347,-1.7084348571459924,0.0877862384528789,0.0962816808838026,False
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,4,1345,-0.6869277663174105,0.4922467532999208,0.5071633215817366,False
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,5,1339,-0.174812975736929,0.8612530402053795,0.8612530402053795,False
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,6,1334,-0.979065968032017,0.3277250374706086,0.3482078523125217,False
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,7,1331,,,,False
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,1,1354,-36.72214479585384,0.0,0.0,True
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,2,1347,-26.005234231343216,0.0,0.0,True
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,3,1347,-22.33767593209652,0.0,0.0,True
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,4,1345,-21.35239965320976,0.0,0.0,True
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,5,1339,-21.030947626606935,0.0,0.0,True
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,6,1334,-21.647923279430547,0.0,0.0,True
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,7,1331,-23.50102877511291,0.0,0.0,True
e1_rr_08019028_10_M,08019028_10_M,hgb_direct,1,1437,1.6608029069149564,0.0969713390465307,0.1143324468744953,False
e1_rr_08019028_10_M,08019028_10_M,hgb_direct,2,1426,3.7502038727995206,0.0001837684722711,0.0002975299074866,True
e1_rr_08019028_10_M,08019028_10_M,hgb_direct,3,1418,4.25443443124658,2.233265506124127e-05,3.996369853064227e-05,True
e1_rr_08019028_10_M,08019028_10_M,hgb_direct,4,1410,4.93599103619557,8.924587859837629e-07,1.896474920215496e-06,True
e1_rr_08019028_10_M,08019028_10_M,hgb_direct,5,1402,5.1440005433001454,3.0708659148892536e-07,7.457817221873902e-07,True
e1_rr_08019028_10_M,08019028_10_M,hgb_direct,6,1400,5.574902503095645,2.9679249502478914e-08,1.009094483084283e-07,True
e1_rr_08019028_10_M,08019028_10_M,hgb_direct,7,1396,4.890741106194507,1.1210913948289658e-06,2.2421827896579316e-06,True
e1_rr_08019028_10_M,08019028_10_M,ridge_direct,1,1437,4.096285495520559,4.4327276428113294e-05,7.53563699277926e-05,True
e1_rr_08019028_10_M,08019028_10_M,ridge_direct,2,1426,4.437504155924391,9.801217300875464e-06,1.851341045720921e-05,True
e1_rr_08019028_10_M,08019028_10_M,ridge_direct,3,1418,4.9517998557464145,8.23527006588165e-07,1.866661214933174e-06,True
e1_rr_08019028_10_M,08019028_10_M,ridge_direct,4,1410,5.384696591005454,8.491983805036797e-08,2.4060620780937586e-07,True
e1_rr_08019028_10_M,08019028_10_M,ridge_direct,5,1402,5.530060037620192,3.8140139935194384e-08,1.178877052542372e-07,True
e1_rr_08019028_10_M,08019028_10_M,ridge_direct,6,1400,5.742335089245713,1.1437485403220649e-08,4.320827818994467e-08,True
e1_rr_08019028_10_M,08019028_10_M,ridge_direct,7,1396,5.249018573089386,1.7658095252670594e-07,4.618271066083078e-07,True
e1_rr_08019028_10_M,08019028_10_M,sarima,1,100,0.9531048840711605,0.3428582505372075,0.3532478944928804,False
e1_rr_08019028_10_M,08019028_10_M,sarima,2,102,1.6370866011533145,0.1047245711647943,0.114859207083968,False
e1_rr_08019028_10_M,08019028_10_M,sarima,3,103,1.655574774797581,0.1008815707716135,0.1143324468744953,False
e1_rr_08019028_10_M,08019028_10_M,sarima,4,99,1.6679757286235244,0.0985128878932115,0.1143324468744953,False
e1_rr_08019028_10_M,08019028_10_M,sarima,5,98,1.987642322170461,0.0496705790741183,0.064953834173847,False
e1_rr_08019028_10_M,08019028_10_M,sarima,6,99,2.032717215560448,0.0447859655190951,0.0609089131059694,False
e1_rr_08019028_10_M,08019028_10_M,sarima,7,100,2.6976872893960775,0.0082090585989746,0.0126867269256881,True
e1_rr_08019028_10_M,08019028_10_M,seasonal_naive,1,1437,-7.168864248364176,1.20570220474292e-12,5.12423437015741e-12,True
e1_rr_08019028_10_M,08019028_10_M,seasonal_naive,2,1426,-2.507640085160024,0.0122645062572004,0.0181301396845571,True
e1_rr_08019028_10_M,08019028_10_M,seasonal_naive,3,1418,-0.6165556428552339,0.5376268986964332,0.5376268986964332,False
e1_rr_08019028_10_M,08019028_10_M,seasonal_naive,4,1410,1.1265080916868062,0.2601423382204246,0.2764012343592011,False
e1_rr_08019028_10_M,08019028_10_M,seasonal_naive,5,1402,2.441457218475521,0.0147511617192133,0.0208974791022188,True
e1_rr_08019028_10_M,08019028_10_M,seasonal_naive,6,1400,1.6848689832331665,0.0922368860458533,0.1143324468744953,False
e1_rr_08019028_10_M,08019028_10_M,seasonal_naive,7,1396,,,,False
e1_rr_08019028_10_M,08019028_10_M,stl_ridge_direct,1,1437,-35.51489631913739,0.0,0.0,True
e1_rr_08019028_10_M,08019028_10_M,stl_ridge_direct,2,1426,-24.55277848950592,0.0,0.0,True
e1_rr_08019028_10_M,08019028_10_M,stl_ridge_direct,3,1418,-20.63755083823083,0.0,0.0,True
e1_rr_08019028_10_M,08019028_10_M,stl_ridge_direct,4,1410,-19.788803090503,0.0,0.0,True
e1_rr_08019028_10_M,08019028_10_M,stl_ridge_direct,5,1402,-19.804530264537203,0.0,0.0,True
e1_rr_08019028_10_M,08019028_10_M,stl_ridge_direct,6,1400,-20.334950199086517,0.0,0.0,True
e1_rr_08019028_10_M,08019028_10_M,stl_ridge_direct,7,1396,-23.39404740874381,0.0,0.0,True
e1_rr_08019043_10_M,08019043_10_M,hgb_direct,1,1155,2.7045824060093255,0.0069396476369054,0.010258609550208,True
e1_rr_08019043_10_M,08019043_10_M,hgb_direct,2,1148,3.637976213380856,0.0002870030233486,0.000464671561612,True
e1_rr_08019043_10_M,08019043_10_M,hgb_direct,3,1139,4.062495030094413,5.187991898902844e-05,8.819586228134835e-05,True
e1_rr_08019043_10_M,08019043_10_M,hgb_direct,4,1134,4.853217365884601,1.3845847162130551e-06,2.9422425219527426e-06,True
e1_rr_08019043_10_M,08019043_10_M,hgb_direct,5,1127,4.987325023946947,7.08540342175823e-07,1.606024775598532e-06,True
e1_rr_08019043_10_M,08019043_10_M,hgb_direct,6,1123,5.688995544927252,1.629461565677559e-08,5.036517566639728e-08,True
