dataset,model,horizon,n,skill,alpha,skill_vp,collapse_flag,inflation_flag,near_ideal_flag,low_sample_flag
e1_rr_zarra_emep,hgb_direct,1,1463,0.0576745356631105,0.38676376635886917,0.02230642063606354,True,False,False,False
e1_rr_zarra_emep,hgb_direct,2,1459,0.1944010198200222,0.1955083502333943,0.03800702266870193,True,False,False,False
e1_rr_zarra_emep,hgb_direct,3,1456,0.2313148450813498,0.1340004470383874,0.030996292647516202,True,False,False,False
e1_rr_zarra_emep,hgb_direct,4,1456,0.2350524348857933,0.10795409831253414,0.025374873664261458,True,False,False,False
e1_rr_zarra_emep,hgb_direct,5,1454,0.2158380294562084,0.09280186943267191,0.020030172628200244,True,False,False,False
e1_rr_zarra_emep,hgb_direct,6,1451,0.2122987011351359,0.07937590826527263,0.016851402226139078,True,False,False,False
e1_rr_zarra_emep,hgb_direct,7,1449,0.2047846046271658,0.07835256314589266,0.01604539866535667,True,False,False,False
e1_rr_zarra_emep,ridge_direct,1,1463,0.0852153086153748,0.4755109408749363,0.04052081157664493,True,False,False,False
e1_rr_zarra_emep,ridge_direct,2,1459,0.1800284101493153,0.22892173043494524,0.04121241517883332,True,False,False,False
e1_rr_zarra_emep,ridge_direct,3,1456,0.2189869172535209,0.1419788223533167,0.03109150462243811,True,False,False,False
e1_rr_zarra_emep,ridge_direct,4,1456,0.2246462771083498,0.10775962065316498,0.024207797602341555,True,False,False,False
e1_rr_zarra_emep,ridge_direct,5,1454,0.2077774999457512,0.08742973644416524,0.018165932059284587,True,False,False,False
e1_rr_zarra_emep,ridge_direct,6,1451,0.2081601515666289,0.07834941218304585,0.016309225515179104,True,False,False,False
e1_rr_zarra_emep,ridge_direct,7,1449,0.2064613695421265,0.06775584161549589,0.013988963854414688,True,False,False,False
