station_id,provincia,municipio,estacion,magnitud,punto_muestreo,years_present,source_year_count,first_source_date,last_source_date,metadata_conflict_flag,metadata_conflict_details
01022001_10_47,1,22,1,10,01022001_10_47,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
01036004_10_47,1,36,4,10,01036004_10_47,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
01051001_10_49,1,51,1,10,01051001_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
01055001_10_47,1,55,1,10,01055001_10_47,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
01059008_10_49,1,59,8,10,01059008_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
01059009_10_47,1,59,9,10,01059009_10_47,"2020,2021,2022,2023",4,2020-01-02,2023-12-31,NO,[]
01059012_10_47,1,59,12,10,01059012_10_47,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
02003001_10_49,2,3,1,10,02003001_10_49,"2020,2021",2,2020-01-01,2021-11-16,NO,[]
02003002_10_49,2,3,2,10,02003002_10_49,"2021,2022,2023",3,2021-11-19,2023-12-31,NO,[]
03014009_10_46,3,14,9,10,03014009_10_46,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
03066003_10_46,3,66,3,10,03066003_10_46,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
03133002_10_46,3,133,2,10,03133002_10_46,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
03140001_10_46,3,140,1,10,03140001_10_46,2023,1,2023-01-01,2023-12-31,NO,[]
04013004_10_49,4,13,4,10,04013004_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
04022001_10_49,4,22,1,10,04022001_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
04024001_10_A,4,24,1,10,04024001_10_A,"2022,2023",2,2022-02-02,2023-12-31,NO,[]
04032005_10_49,4,32,5,10,04032005_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
04035003_10_49,4,35,3,10,04035003_10_49,2023,1,2023-01-01,2023-12-31,NO,[]
04902001_10_49,4,902,1,10,04902001_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
05019002_10_49,5,19,2,10,05019002_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
07003001_10_49,7,3,1,10,07003001_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
07003004_10_49,7,3,4,10,07003004_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-29,NO,[]
07010001_10_47,7,10,1,10,07010001_10_47,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
07015001_10_49,7,15,1,10,07015001_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
07026001_10_49,7,26,1,10,07026001_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
07032002_10_49,7,32,2,10,07032002_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
07032003_10_49,7,32,3,10,07032003_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
07040002_10_49,7,40,2,10,07040002_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-14,NO,[]
07040003_10_49,7,40,3,10,07040003_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
07040006_10_47,7,40,6,10,07040006_10_47,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
07042001_10_49,7,42,1,10,07042001_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-11-27,NO,[]
07044001_10_49,7,44,1,10,07044001_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
07046001_10_49,7,46,1,10,07046001_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
07054001_10_47,7,54,1,10,07054001_10_47,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
08022006_10_47,8,22,6,10,08022006_10_47,2023,1,2023-01-01,2023-12-31,NO,[]
08096014_10_47,8,96,14,10,08096014_10_47,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
08101001_10_47,8,101,1,10,08101001_10_47,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
08112003_10_47,8,112,3,10,08112003_10_47,2022,1,2022-01-01,2022-12-31,NO,[]
08113007_10_47,8,113,7,10,08113007_10_47,2023,1,2023-01-01,2023-12-31,NO,[]
08114006_10_47,8,114,6,10,08114006_10_47,2023,1,2023-01-01,2023-12-31,NO,[]
08125002_10_47,8,125,2,10,08125002_10_47,2023,1,2023-01-01,2023-12-31,NO,[]
08184006_10_47,8,184,6,10,08184006_10_47,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
08187012_10_47,8,187,12,10,08187012_10_47,2023,1,2023-01-01,2023-12-31,NO,[]
08194008_10_47,8,194,8,10,08194008_10_47,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
08202001_10_47,8,202,1,10,08202001_10_47,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
08260010_10_47,8,260,10,10,08260010_10_47,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
08263001_10_47,8,263,1,10,08263001_10_47,"2020,2021,2022,2023",4,2020-01-02,2023-12-31,NO,[]
08279011_10_47,8,279,11,10,08279011_10_47,2023,1,2023-01-01,2023-12-31,NO,[]
08298008_10_47,8,298,8,10,08298008_10_47,2023,1,2023-01-01,2023-12-31,NO,[]
09018002_10_49,9,18,2,10,09018002_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
09059003_10_49,9,59,3,10,09059003_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
09059006_10_49,9,59,6,10,09059006_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
09209001_10_49,9,209,1,10,09209001_10_49,"2020,2021,2022",3,2020-02-03,2022-12-31,NO,[]
09219001_10_49,9,219,1,10,09219001_10_49,2020,1,2020-01-01,2020-05-11,NO,[]
09219002_10_49,9,219,2,10,09219002_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
11004007_10_49,11,4,7,10,11004007_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
11006001_10_49,11,6,1,10,11006001_10_49,2020,1,2020-01-01,2020-12-31,NO,[]
11008001_10_49,11,8,1,10,11008001_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
11008003_10_49,11,8,3,10,11008003_10_49,2023,1,2023-03-19,2023-12-31,NO,[]
11008006_10_49,11,8,6,10,11008006_10_49,2023,1,2023-01-01,2023-12-31,NO,[]
11008009_10_49,11,8,9,10,11008009_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
11012002_10_49,11,12,2,10,11012002_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
11020003_10_49,11,20,3,10,11020003_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
11020004_10_49,11,20,4,10,11020004_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
11022005_10_49,11,22,5,10,11022005_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-26,NO,[]
11026001_10_49,11,26,1,10,11026001_10_49,"2020,2023",2,2020-01-01,2023-09-13,NO,[]
11028001_10_49,11,28,1,10,11028001_10_49,"2020,2021,2022,2023",4,2020-01-02,2023-12-29,NO,[]
11031001_10_49,11,31,1,10,11031001_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
11033003_10_49,11,33,3,10,11033003_10_49,2023,1,2023-01-01,2023-12-31,NO,[]
11033004_10_49,11,33,4,10,11033004_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
12005005_10_49,12,5,5,10,12005005_10_49,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
12009007_10_46,12,9,7,10,12009007_10_46,"2020,2021,2022,2023",4,2020-01-01,2023-12-31,NO,[]
