station_id,province,municipality,station_code,first_date,last_date,usable_days,usable_years,coverage_total,support_days,source_years_present,usable_days_2020,usable_days_2021,usable_days_2022,usable_days_2023
01022001_10_47,1,22,1,2020-01-01,2023-12-31,1446,4,0.989733059548,1461,4,366,360,359,361
01036004_10_47,1,36,4,2020-01-01,2023-12-31,1409,4,0.964407939767,1461,4,328,360,365,356
01051001_10_49,1,51,1,2020-01-01,2023-12-31,1428,4,0.977412731006,1461,4,364,356,347,361
01055001_10_47,1,55,1,2020-01-01,2023-12-31,1427,4,0.976728268309,1461,4,350,356,362,359
01059008_10_49,1,59,8,2020-01-01,2023-12-31,1442,4,0.986995208761,1461,4,364,360,362,356
01059009_10_47,1,59,9,2020-01-02,2023-12-31,1426,4,0.976712328767,1460,4,358,358,355,355
01059012_10_47,1,59,12,2020-01-01,2023-12-31,1448,4,0.991101984942,1461,4,362,360,365,361
03014009_10_46,3,14,9,2020-01-01,2023-12-31,1391,4,0.952087611225,1461,4,352,340,350,349
03066003_10_46,3,66,3,2020-01-01,2023-12-31,1416,4,0.969199178645,1461,4,361,332,358,365
03133002_10_46,3,133,2,2020-01-01,2023-12-31,1430,4,0.978781656400,1461,4,364,365,339,362
04013004_10_49,4,13,4,2020-01-01,2023-12-31,1382,4,0.945927446954,1461,4,351,352,338,341
04022001_10_49,4,22,1,2020-01-01,2023-12-31,1396,4,0.955509924709,1461,4,352,355,338,351
04032005_10_49,4,32,5,2020-01-01,2023-12-31,1378,4,0.943189596167,1461,4,362,357,309,350
04902001_10_49,4,902,1,2020-01-01,2023-12-31,1441,4,0.986310746064,1461,4,362,350,365,364
05019002_10_49,5,19,2,2020-01-01,2023-12-31,1432,4,0.980150581793,1461,4,352,365,365,350
07003001_10_49,7,3,1,2020-01-01,2023-12-31,1433,4,0.980835044490,1461,4,361,355,356,361
07003004_10_49,7,3,4,2020-01-01,2023-12-29,1428,4,0.978752570254,1459,4,361,353,356,358
07015001_10_49,7,15,1,2020-01-01,2023-12-31,1315,3,0.900068446270,1461,4,275,343,340,357
07026001_10_49,7,26,1,2020-01-01,2023-12-31,1370,4,0.937713894593,1461,4,357,341,325,347
07032002_10_49,7,32,2,2020-01-01,2023-12-31,1429,4,0.978097193703,1461,4,361,354,359,355
07032003_10_49,7,32,3,2020-01-01,2023-12-31,1424,4,0.974674880219,1461,4,358,355,357,354
07040003_10_49,7,40,3,2020-01-01,2023-12-31,1431,4,0.979466119097,1461,4,359,360,352,360
07040006_10_47,7,40,6,2020-01-01,2023-12-31,1308,4,0.895277207392,1461,4,331,311,333,333
07042001_10_49,7,42,1,2020-01-01,2023-11-27,1374,4,0.962859145060,1427,4,362,345,343,324
07044001_10_49,7,44,1,2020-01-01,2023-12-31,1418,4,0.970568104038,1461,4,361,355,353,349
07046001_10_49,7,46,1,2020-01-01,2023-12-31,1424,4,0.974674880219,1461,4,361,362,346,355
07054001_10_47,7,54,1,2020-01-01,2023-12-31,1305,3,0.893223819302,1461,4,325,271,354,355
