station_id,horizon,expected_keys,xgboost_keys,sarima_keys,persistence_keys,common_keys,removed_keys,duplicate_xgboost_keys,duplicate_sarima_keys,y_true_mismatch_keys,y_persistence_mismatch_keys,reason
01022001_10_47,all,6948,6948,6948,6948,6948,0,0,0,0,0,OK
01022001_10_47,1,996,996,996,996,996,0,0,0,0,0,OK
01022001_10_47,2,994,994,994,994,994,0,0,0,0,0,OK
01022001_10_47,3,992,992,992,992,992,0,0,0,0,0,OK
01022001_10_47,4,992,992,992,992,992,0,0,0,0,0,OK
01022001_10_47,5,993,993,993,993,993,0,0,0,0,0,OK
01022001_10_47,6,991,991,991,991,991,0,0,0,0,0,OK
01022001_10_47,7,990,990,990,990,990,0,0,0,0,0,OK
01036004_10_47,all,6356,6356,6356,6356,6356,0,0,0,0,0,OK
01036004_10_47,1,912,912,912,912,912,0,0,0,0,0,OK
01036004_10_47,2,909,909,909,909,909,0,0,0,0,0,OK
01036004_10_47,3,907,907,907,907,907,0,0,0,0,0,OK
01036004_10_47,4,907,907,907,907,907,0,0,0,0,0,OK
01036004_10_47,5,908,908,908,908,908,0,0,0,0,0,OK
01036004_10_47,6,907,907,907,907,907,0,0,0,0,0,OK
01036004_10_47,7,906,906,906,906,906,0,0,0,0,0,OK
01051001_10_49,all,6335,6335,6335,6335,6335,0,0,0,0,0,OK
01051001_10_49,1,913,913,913,913,913,0,0,0,0,0,OK
01051001_10_49,2,909,909,909,909,909,0,0,0,0,0,OK
01051001_10_49,3,905,905,905,905,905,0,0,0,0,0,OK
01051001_10_49,4,903,903,903,903,903,0,0,0,0,0,OK
01051001_10_49,5,903,903,903,903,903,0,0,0,0,0,OK
01051001_10_49,6,901,901,901,901,901,0,0,0,0,0,OK
01051001_10_49,7,901,901,901,901,901,0,0,0,0,0,OK
01055001_10_47,all,6396,6396,6396,6396,6396,0,0,0,0,0,OK
01055001_10_47,1,917,917,917,917,917,0,0,0,0,0,OK
01055001_10_47,2,916,916,916,916,916,0,0,0,0,0,OK
01055001_10_47,3,913,913,913,913,913,0,0,0,0,0,OK
01055001_10_47,4,913,913,913,913,913,0,0,0,0,0,OK
01055001_10_47,5,914,914,914,914,914,0,0,0,0,0,OK
01055001_10_47,6,912,912,912,912,912,0,0,0,0,0,OK
01055001_10_47,7,911,911,911,911,911,0,0,0,0,0,OK
01059008_10_49,all,6862,6862,6862,6862,6862,0,0,0,0,0,OK
01059008_10_49,1,985,985,985,985,985,0,0,0,0,0,OK
01059008_10_49,2,982,982,982,982,982,0,0,0,0,0,OK
01059008_10_49,3,980,980,980,980,980,0,0,0,0,0,OK
01059008_10_49,4,980,980,980,980,980,0,0,0,0,0,OK
01059008_10_49,5,980,980,980,980,980,0,0,0,0,0,OK
01059008_10_49,6,978,978,978,978,978,0,0,0,0,0,OK
01059008_10_49,7,977,977,977,977,977,0,0,0,0,0,OK
01059009_10_47,all,6436,6436,6436,6436,6436,0,0,0,0,0,OK
01059009_10_47,1,925,925,925,925,925,0,0,0,0,0,OK
01059009_10_47,2,922,922,922,922,922,0,0,0,0,0,OK
01059009_10_47,3,920,920,920,920,920,0,0,0,0,0,OK
01059009_10_47,4,917,917,917,917,917,0,0,0,0,0,OK
01059009_10_47,5,919,919,919,919,919,0,0,0,0,0,OK
01059009_10_47,6,917,917,917,917,917,0,0,0,0,0,OK
01059009_10_47,7,916,916,916,916,916,0,0,0,0,0,OK
01059012_10_47,all,7221,7221,7221,7221,7221,0,0,0,0,0,OK
01059012_10_47,1,1035,1035,1035,1035,1035,0,0,0,0,0,OK
01059012_10_47,2,1033,1033,1033,1033,1033,0,0,0,0,0,OK
01059012_10_47,3,1031,1031,1031,1031,1031,0,0,0,0,0,OK
01059012_10_47,4,1031,1031,1031,1031,1031,0,0,0,0,0,OK
01059012_10_47,5,1032,1032,1032,1032,1032,0,0,0,0,0,OK
01059012_10_47,6,1030,1030,1030,1030,1030,0,0,0,0,0,OK
01059012_10_47,7,1029,1029,1029,1029,1029,0,0,0,0,0,OK
03014009_10_46,all,5894,5894,5894,5894,5894,0,0,0,0,0,OK
03014009_10_46,1,856,856,856,856,856,0,0,0,0,0,OK
03014009_10_46,2,852,852,852,852,852,0,0,0,0,0,OK
03014009_10_46,3,847,847,847,847,847,0,0,0,0,0,OK
03014009_10_46,4,842,842,842,842,842,0,0,0,0,0,OK
03014009_10_46,5,837,837,837,837,837,0,0,0,0,0,OK
03014009_10_46,6,832,832,832,832,832,0,0,0,0,0,OK
03014009_10_46,7,828,828,828,828,828,0,0,0,0,0,OK
03066003_10_46,all,6911,6911,6911,6911,6911,0,0,0,0,0,OK
03066003_10_46,1,995,995,995,995,995,0,0,0,0,0,OK
03066003_10_46,2,992,992,992,992,992,0,0,0,0,0,OK
03066003_10_46,3,990,990,990,990,990,0,0,0,0,0,OK
