timestamp_utc,station_id,model,failure_type,fold,refit_block,origin_start,origin_end,horizon,target_time,exception
2026-08-16T09:28:06Z,07044001_10_49,all,missing_target,0,0,2021-01-06,2021-01-06,4,2021-01-10,
2026-08-16T09:28:06Z,07044001_10_49,all,missing_target,0,0,2021-01-07,2021-01-07,3,2021-01-10,
2026-08-16T09:28:06Z,07044001_10_49,all,missing_target,0,0,2021-01-08,2021-01-08,2,2021-01-10,
2026-08-16T09:28:06Z,07044001_10_49,all,missing_target,0,0,2021-01-09,2021-01-09,1,2021-01-10,
2026-08-16T09:28:17Z,07044001_10_49,all,missing_target,8,8,2021-08-24,2021-08-24,7,2021-08-31,
2026-08-16T09:28:17Z,07044001_10_49,all,missing_target,8,8,2021-08-25,2021-08-25,6,2021-08-31,
2026-08-16T09:28:17Z,07044001_10_49,all,missing_target,8,8,2021-08-26,2021-08-26,5,2021-08-31,
2026-08-16T09:28:17Z,07044001_10_49,all,missing_target,8,8,2021-08-27,2021-08-27,4,2021-08-31,
2026-08-16T09:28:17Z,07044001_10_49,all,missing_target,8,8,2021-08-28,2021-08-28,3,2021-08-31,
2026-08-16T09:28:17Z,07044001_10_49,all,missing_target,8,8,2021-08-29,2021-08-29,2,2021-08-31,
2026-08-16T09:28:17Z,07044001_10_49,all,missing_target,8,8,2021-08-30,2021-08-30,1,2021-08-31,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-17,2021-12-17,7,2021-12-24,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-18,2021-12-18,6,2021-12-24,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-18,2021-12-18,7,2021-12-25,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-19,2021-12-19,5,2021-12-24,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-19,2021-12-19,6,2021-12-25,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-19,2021-12-19,7,2021-12-26,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-20,2021-12-20,4,2021-12-24,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-20,2021-12-20,5,2021-12-25,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-20,2021-12-20,6,2021-12-26,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-20,2021-12-20,7,2021-12-27,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-21,2021-12-21,3,2021-12-24,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-21,2021-12-21,4,2021-12-25,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-21,2021-12-21,5,2021-12-26,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-21,2021-12-21,6,2021-12-27,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-21,2021-12-21,7,2021-12-28,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-22,2021-12-22,2,2021-12-24,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-22,2021-12-22,3,2021-12-25,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-22,2021-12-22,4,2021-12-26,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-22,2021-12-22,5,2021-12-27,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-22,2021-12-22,6,2021-12-28,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-22,2021-12-22,7,2021-12-29,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-23,2021-12-23,1,2021-12-24,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-23,2021-12-23,2,2021-12-25,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-23,2021-12-23,3,2021-12-26,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-23,2021-12-23,4,2021-12-27,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-23,2021-12-23,5,2021-12-28,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-23,2021-12-23,6,2021-12-29,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-23,2021-12-23,7,2021-12-30,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-24,2021-12-24,1,2021-12-25,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-24,2021-12-24,2,2021-12-26,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-24,2021-12-24,3,2021-12-27,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-24,2021-12-24,4,2021-12-28,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-24,2021-12-24,5,2021-12-29,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-24,2021-12-24,6,2021-12-30,
2026-08-16T09:28:23Z,07044001_10_49,all,missing_target,12,12,2021-12-24,2021-12-24,7,2021-12-31,
2026-08-16T09:28:26Z,07044001_10_49,all,missing_target,14,14,2022-03-04,2022-03-04,7,2022-03-11,
