station_id,model,horizon,condition,raw_p_value,bh_q_value,bh_reject_q_0_05,family,family_size,alpha,primary_inferential_metric
01022001_10_47,sarima,1,lags_only,0.0324,0.07238774703557312,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01022001_10_47,sarima,2,lags_only,0.0081,0.023479615384615383,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01022001_10_47,sarima,3,lags_only,0.0099,0.027685714285714286,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01022001_10_47,sarima,4,lags_only,0.016,0.04092307692307692,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01022001_10_47,sarima,5,lags_only,0.0655,0.12450231189575453,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01022001_10_47,sarima,6,lags_only,0.2088,0.30795616438356166,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01022001_10_47,sarima,7,lags_only,0.409,0.4987858683926645,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01022001_10_47,xgboost_direct,1,lags_only,1.0,1.0,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01022001_10_47,xgboost_direct,2,lags_only,0.3068,0.40901909814323606,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01022001_10_47,xgboost_direct,3,lags_only,0.0006,0.002552398871119473,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01022001_10_47,xgboost_direct,4,lags_only,0.0,0.0,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01022001_10_47,xgboost_direct,5,lags_only,0.0,0.0,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01022001_10_47,xgboost_direct,6,lags_only,0.0,0.0,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01022001_10_47,xgboost_direct,7,lags_only,0.0,0.0,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01036004_10_47,sarima,1,lags_only,0.3542,0.449787250772255,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01036004_10_47,sarima,2,lags_only,0.0005,0.0021887705711519847,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
