station_id,model,horizon,condition,bootstrap_n,bootstrap_blocks_per_resample,bootstrap_seed,mae_diff_mean,mae_diff_ci_lower,mae_diff_ci_upper,mae_raw_p_one_sided,rmse_squared_diff_mean,rmse_squared_diff_ci_lower,rmse_squared_diff_ci_upper,rmse_squared_raw_p_one_sided,bootstrap_type,block_length_days,resamples
01022001_10_47,sarima,1,lags_only,996,36,20260816,0.1310735700216648,0.04649852975336415,0.22093879059756721,0.9984,-2.23669942811249,-5.32355061326871,0.12717746452621637,0.0324,circular moving block bootstrap over ordered origin-level pairs,28,10000
01022001_10_47,sarima,2,lags_only,994,36,20260817,-0.09235876580120159,-0.35081093157280274,0.13078234421888268,0.2297,-9.44777769997286,-20.186810390480346,-1.3039147476105615,0.0081,circular moving block bootstrap over ordered origin-level pairs,28,10000
01022001_10_47,sarima,3,lags_only,992,36,20260818,0.031169637869597523,-0.30217052114988735,0.33935083054324294,0.5895,-15.427077776649755,-33.4997960950081,-1.815808839265487,0.0099,circular moving block bootstrap over ordered origin-level pairs,28,10000
01022001_10_47,sarima,4,lags_only,992,36,20260819,0.0027422677594789195,-0.39590377361851553,0.38316905176635135,0.5069,-17.16570895577024,-37.447592417998344,-0.8753848994864641,0.016,circular moving block bootstrap over ordered origin-level pairs,28,10000
01022001_10_47,sarima,5,lags_only,993,36,20260820,0.13793414309072585,-0.3368730254913547,0.5921823395988743,0.7189,-13.607446446131851,-33.727497518666496,2.9231704483720162,0.0655,circular moving block bootstrap over ordered origin-level pairs,28,10000
01022001_10_47,sarima,6,lags_only,991,36,20260821,0.29813130647638597,-0.23108483674592356,0.7913594830705961,0.8714,-8.26936697533879,-30.068876562022595,9.124000661618577,0.2088,circular moving block bootstrap over ordered origin-level pairs,28,10000
01022001_10_47,sarima,7,lags_only,990,36,20260822,0.5123290492710039,-0.045016304562019736,1.0571412728091372,0.9645,-3.6535130361303843,-27.699921952535174,15.863177733257691,0.409,circular moving block bootstrap over ordered origin-level pairs,28,10000
01022001_10_47,xgboost_direct,1,lags_only,996,36,20260823,1.3765481141370735,1.001187327695005,1.7935193530956235,1.0,27.4469109653105,13.290083725796139,44.88375517371326,1.0,circular moving block bootstrap over ordered origin-level pairs,28,10000
01022001_10_47,xgboost_direct,2,lags_only,994,36,20260824,0.010001707647872386,-0.4509407455546528,0.4841879658537891,0.5141,-5.069160215266777,-25.939621510896668,13.175455835732146,0.3068,circular moving block bootstrap over ordered origin-level pairs,28,10000
01022001_10_47,xgboost_direct,3,lags_only,992,36,20260825,-0.6216106099315492,-1.166917911744105,-0.09357887062552833,0.0115,-32.43679026381309,-59.60872738413133,-10.221950836784139,0.0006,circular moving block bootstrap over ordered origin-level pairs,28,10000
