station_id,model,horizon,condition,n,mae,rmse,bias,mae_persistence,rmse_persistence,skill_mae,skill_rmse
01022001_10_47,persistence,1,lags_only,996,4.003602184004227,7.05674565646237,,,,,
01022001_10_47,sarima,1,lags_only,996,4.134675754025891,6.896445449062004,-1.5488498848160686,4.003602184004227,7.05674565646237,-0.03273890961128668,0.022715882816828917
01022001_10_47,xgboost_direct,1,lags_only,996,5.3801502981413005,8.788889021105627,-0.24877727279188297,4.003602184004227,7.05674565646237,-0.34382739614761393,-0.24545923134653555
01022001_10_47,persistence,2,lags_only,994,5.6995047927315445,9.577105280084444,,,,,
01022001_10_47,sarima,2,lags_only,994,5.607146026930343,9.070455768364038,-2.9347016589247885,5.6995047927315445,9.577105280084444,0.01620470008534515,0.05290215539072978
01022001_10_47,xgboost_direct,2,lags_only,994,5.709506500379417,9.308694072239916,-0.14032606572214523,5.6995047927315445,9.577105280084444,-0.0017548380098965147,0.028026339900709654
01022001_10_47,persistence,3,lags_only,992,6.368991139543603,10.726927456121343,,,,,
01022001_10_47,sarima,3,lags_only,992,6.4001607774132,9.981978504897722,-4.011106253942381,6.368991139543603,10.726927456121343,-0.004893967849330523,0.06944662898773636
01022001_10_47,xgboost_direct,3,lags_only,992,5.747380529612054,9.090114541911824,-0.26566128509944,6.368991139543603,10.726927456121343,0.09759954069838642,0.15258916599417002
01022001_10_47,persistence,4,lags_only,992,6.853617923246693,11.318463969190395,,,,,
01022001_10_47,sarima,4,lags_only,992,6.856360191006171,10.532896926586291,-4.90538816754647,6.853617923246693,11.318463969190395,-0.0004001197309492125,0.06940579965112484
01022001_10_47,xgboost_direct,4,lags_only,992,5.785332199182906,9.23776736593761,-0.23071836528590103,6.853617923246693,11.318463969190395,0.15587179443433566,0.18383206492652868
01022001_10_47,persistence,5,lags_only,993,7.134408031071633,11.630387673399797,,,,,
01022001_10_47,sarima,5,lags_only,993,7.27234217416236,11.029889890086757,-5.724512048125728,7.134408031071633,11.630387673399797,-0.019333649335726132,0.0516317942424616
01022001_10_47,xgboost_direct,5,lags_only,993,5.974741778708046,9.448684235455147,-0.12128709869278889,7.134408031071633,11.630387673399797,0.1625455464998681,0.18758647598088998
01022001_10_47,persistence,6,lags_only,991,7.2832706811899985,11.680692543670437,,,,,
01022001_10_47,sarima,6,lags_only,991,7.581401987666385,11.321184183839575,-6.419495680122891,7.2832706811899985,11.680692543670437,-0.040933712273848254,0.03077800040423744
01022001_10_47,xgboost_direct,6,lags_only,991,5.839906868490676,9.201925027436387,-0.21914598933399063,7.2832706811899985,11.680692543670437,0.198175225922469,0.21221066362004806
01022001_10_47,persistence,7,lags_only,990,7.5135249968155104,11.986838484860954,,,,,
01022001_10_47,sarima,7,lags_only,990,8.025854046086515,11.833460348774286,-7.071177547520995,7.5135249968155104,11.986838484860954,-0.06818757500482757,0.012795545404268159
01022001_10_47,xgboost_direct,7,lags_only,990,5.908660105908615,9.295433603951649,-0.16751916011348117,7.5135249968155104,11.986838484860954,0.2135967993168443,0.22453000299524142
01036004_10_47,persistence,1,lags_only,912,5.117042085409506,9.910592700703805,,,,,
01036004_10_47,sarima,1,lags_only,912,5.270310215971174,9.688168184639405,-1.6048862206067191,5.117042085409506,9.910592700703805,-0.029952485831353518,0.02244310938624334
01036004_10_47,xgboost_direct,1,lags_only,912,6.674708276720851,11.488746050416804,-0.6410867515223554,5.117042085409506,9.910592700703805,-0.3044075396121525,-0.15923904829636729
01036004_10_47,persistence,2,lags_only,909,7.285010338507971,13.229813928431875,,,,,
01036004_10_47,sarima,2,lags_only,909,7.0150146205739325,12.207243312121934,-2.608111910509006,7.285010338507971,13.229813928431875,0.037061816715188836,0.07729289480877427
01036004_10_47,xgboost_direct,2,lags_only,909,7.071285008810749,11.871332733416672,-0.5766009670821827,7.285010338507971,13.229813928431875,0.029337683787143996,0.10268331832662621
01036004_10_47,persistence,3,lags_only,907,8.198014211426608,14.039080463336115,,,,,
01036004_10_47,sarima,3,lags_only,907,7.781505704401276,12.885307135282408,-3.5741848690634117,8.198014211426608,14.039080463336115,0.05080602403015986,0.08218296996493846
01036004_10_47,xgboost_direct,3,lags_only,907,7.350281601193863,12.066838012805754,-1.1083746161833323,8.198014211426608,14.039080463336115,0.10340706765928179,0.14048230976957418
01036004_10_47,persistence,4,lags_only,907,8.55734538326677,14.577560745276994,,,,,
01036004_10_47,sarima,4,lags_only,907,8.191065398318777,13.251634839300554,-4.360080544434693,8.55734538326677,14.577560745276994,0.04280299187926018,0.09095663733769925
01036004_10_47,xgboost_direct,4,lags_only,907,7.484493884137308,12.011876606273583,-0.9961489602747334,8.55734538326677,14.577560745276994,0.1253719992682941,0.17600229447403748
01036004_10_47,persistence,5,lags_only,908,8.820163253875664,14.872990010723806,,,,,
01036004_10_47,sarima,5,lags_only,908,8.492692973950449,13.4196359981961,-5.058066298924585,8.820163253875664,14.872990010723806,0.03712746244025832,0.09771767556354174
01036004_10_47,xgboost_direct,5,lags_only,908,7.31278479235385,11.61656476397099,-0.9536282238678313,8.820163253875664,14.872990010723806,0.17090142417255805,0.21894892986580708
01036004_10_47,persistence,6,lags_only,907,8.88930163627187,15.219417993345605,,,,,
01036004_10_47,sarima,6,lags_only,907,8.720927486076889,13.849052284548257,-5.824072515418457,8.88930163627187,15.219417993345605,0.018941212379153454,0.09004061189439132
01036004_10_47,xgboost_direct,6,lags_only,907,7.192099350240987,11.628264801500231,-1.0696262247566004,8.88930163627187,15.219417993345605,0.1909263916870169,0.23595864134985553
01036004_10_47,persistence,7,lags_only,906,9.061202540528393,15.515676771650886,,,,,
01036004_10_47,sarima,7,lags_only,906,9.036736076666907,14.236038999289471,-6.611268030683478,9.061202540528393,15.515676771650886,0.0027001343091112165,0.08247386119176418
01036004_10_47,xgboost_direct,7,lags_only,906,7.273805770531863,11.802573300599123,-0.7683662818501443,9.061202540528393,15.515676771650886,0.19725822946810553,0.23931302035345794
01051001_10_49,persistence,1,lags_only,913,4.271553950970039,7.559267023619093,,,,,
01051001_10_49,sarima,1,lags_only,913,4.282734083664345,7.335112146892862,-1.4375875948463268,4.271553950970039,7.559267023619093,-0.002617345542777868,0.029652990961405907
01051001_10_49,xgboost_direct,1,lags_only,913,5.304680640671668,8.689639462833702,-0.8470824610867493,4.271553950970039,7.559267023619093,-0.24186202528637474,-0.1495346619828002
01051001_10_49,persistence,2,lags_only,909,5.88629989131273,10.171153432646804,,,,,
01051001_10_49,sarima,2,lags_only,909,5.71097321289411,9.490313669464097,-2.6242206051047026,5.88629989131273,10.171153432646804,0.0297855497776072,0.06693830426324957
01051001_10_49,xgboost_direct,2,lags_only,909,5.571300575705296,9.058661431235995,-0.9795345368963816,5.88629989131273,10.171153432646804,0.05351397676362432,0.1093771722919835
01051001_10_49,persistence,3,lags_only,905,6.399029974365595,11.13203380267782,,,,,
01051001_10_49,sarima,3,lags_only,905,6.26583595848793,10.26890281978315,-3.6537546565195873,6.399029974365595,11.13203380267782,0.020814719795224895,0.07753578530160786
01051001_10_49,xgboost_direct,3,lags_only,905,5.640828032208766,9.044909885462824,-1.0728915597499116,6.399029974365595,11.13203380267782,0.11848701212436459,0.18748810452883607
01051001_10_49,persistence,4,lags_only,903,6.623872001872792,11.568520384824774,,,,,
01051001_10_49,sarima,4,lags_only,903,6.69841734781214,10.715045049425596,-4.5317211961207144,6.623872001872792,11.568520384824774,-0.01125404384599694,0.07377566940356008
01051001_10_49,xgboost_direct,4,lags_only,903,5.721146416095118,9.161599868877397,-0.9210967004179178,6.623872001872792,11.568520384824774,0.13628366996259025,0.2080577667568188
01051001_10_49,persistence,5,lags_only,903,6.928535056971352,11.628579429906024,,,,,
01051001_10_49,sarima,5,lags_only,903,7.136518422524323,11.133706267248716,-5.408966356344377,6.928535056971352,11.628579429906024,-0.030018375290416108,0.04255663089720216
01051001_10_49,xgboost_direct,5,lags_only,903,5.984436798551105,9.451714290961432,-0.7926007118460292,6.928535056971352,11.628579429906024,0.13626231961838955,0.18719957601581128
01051001_10_49,persistence,6,lags_only,901,7.020919220508972,11.647326866753968,,,,,
01051001_10_49,sarima,6,lags_only,901,7.585488716162305,11.564803427858743,-6.165901851085416,7.020919220508972,11.647326866753968,-0.08041247562059337,0.007085182706667098
01051001_10_49,xgboost_direct,6,lags_only,901,5.881578103106999,9.341343315698794,-0.8871411623974468,7.020919220508972,11.647326866753968,0.16227805528282072,0.19798393034176404
01051001_10_49,persistence,7,lags_only,901,7.084483859529868,11.772236758047175,,,,,
