station_id,provincia,municipio,estacion,first_timestamp_utc,last_timestamp_utc,expected_hourly_observations,observed_valid_pm10_observations,coverage_fraction,number_of_source_years_present,longest_missing_run_hours,days_with_sufficient_hourly_support_75pct,expected_hours_2020,valid_hours_2020,coverage_2020,source_days_2020,usable_days_75pct_2020,expected_hours_2021,valid_hours_2021,coverage_2021,source_days_2021,usable_days_75pct_2021,expected_hours_2022,valid_hours_2022,coverage_2022,source_days_2022,usable_days_75pct_2022,expected_hours_2023,valid_hours_2023,coverage_2023,source_days_2023,usable_days_75pct_2023
01022001_10_47,1,22,1,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34725,0.9903319644079398,4,31,1446,8784,8753,0.9964708561020036,366,366,8760,8654,0.9878995433789954,365,360,8760,8649,0.9873287671232877,365,359,8760,8669,0.9896118721461187,365,361
01036004_10_47,1,36,4,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,33996,0.9695414099931554,4,448,1409,8784,8013,0.9122267759562842,344,328,8760,8630,0.9851598173515982,363,360,8760,8741,0.9978310502283105,365,365,8760,8612,0.9831050228310503,365,356
01051001_10_49,1,51,1,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34416,0.9815195071868583,4,131,1428,8784,8752,0.9963570127504554,366,364,8760,8581,0.9795662100456621,365,356,8760,8409,0.959931506849315,356,347,8760,8674,0.9901826484018265,365,361
01055001_10_47,1,55,1,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34225,0.9760723248916268,4,98,1427,8784,8366,0.9524134790528234,362,350,8760,8553,0.9763698630136987,362,356,8760,8669,0.9896118721461187,365,362,8760,8637,0.9859589041095891,365,359
01059008_10_49,1,59,8,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34612,0.987109285877253,4,53,1442,8784,8709,0.9914617486338798,365,364,8760,8660,0.9885844748858448,365,360,8760,8677,0.9905251141552511,365,362,8760,8566,0.9778538812785388,363,356
01059009_10_47,1,59,9,2020-01-02T02:00:00Z,2024-01-01T00:00:00Z,35064,34346,0.9795231576545745,4,75,1426,8784,8606,0.979735883424408,365,358,8760,8611,0.9829908675799087,365,358,8760,8549,0.9759132420091324,362,355,8760,8580,0.9794520547945206,365,355
01059012_10_47,1,59,12,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34744,0.9908738307095597,4,76,1448,8784,8683,0.9885018214936248,364,362,8760,8661,0.9886986301369863,365,360,8760,8727,0.9962328767123287,365,365,8760,8673,0.9900684931506849,365,361
02003001_10_49,2,3,1,2020-01-01T01:00:00Z,2021-11-16T14:00:00Z,35064,16107,0.4593600273785079,2,18610,667,8784,8548,0.9731329690346083,363,355,8760,7559,0.8628995433789954,319,312,8760,0,0.0,0,0,8760,0,0.0,0,0
02003002_10_49,2,3,2,2021-11-19T01:00:00Z,2024-01-01T00:00:00Z,35064,17142,0.48887748117727586,3,16512,704,8784,0,0.0,0,0,8760,857,0.0978310502283105,39,34,8760,7967,0.9094748858447489,346,324,8760,8318,0.9495433789954338,354,346
03014009_10_46,3,14,9,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,33647,0.9595881816107689,4,348,1391,8784,8581,0.9768897996357013,364,352,8760,8183,0.9341324200913242,345,340,8760,8479,0.9679223744292238,357,350,8760,8404,0.9593607305936073,353,349
