station_id,province,municipality,station_code,fails_id_stability,fails_daily_support,fails_year_count,fails_300_days_rule,fails_total_coverage,reason_codes
02003001_10_49,2,3,1,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
02003002_10_49,2,3,2,NO,NO,NO,YES,NO,fails_300_days_rule
03140001_10_46,3,140,1,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
04024001_10_A,4,24,1,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
04035003_10_49,4,35,3,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
07010001_10_47,7,10,1,NO,NO,NO,YES,NO,fails_300_days_rule
07040002_10_49,7,40,2,NO,NO,NO,NO,YES,fails_total_coverage
08022006_10_47,8,22,6,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
08112003_10_47,8,112,3,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
08113007_10_47,8,113,7,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
08114006_10_47,8,114,6,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
08125002_10_47,8,125,2,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
08187012_10_47,8,187,12,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
08279011_10_47,8,279,11,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
08298008_10_47,8,298,8,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
09209001_10_49,9,209,1,NO,NO,NO,YES,YES,fails_300_days_rule;fails_total_coverage
09219001_10_49,9,219,1,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
11006001_10_49,11,6,1,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
11008003_10_49,11,8,3,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
11008006_10_49,11,8,6,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
11026001_10_49,11,26,1,NO,NO,YES,YES,YES,fails_year_count;fails_300_days_rule;fails_total_coverage
11031001_10_49,11,31,1,NO,NO,NO,YES,NO,fails_300_days_rule
11033003_10_49,11,33,3,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
12040020_10_46,12,40,20,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
15005015_10_A,15,5,15,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
15024001_10_47,15,24,1,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
15026001_10_47,15,26,1,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
15030001_10_49,15,30,1,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
15055003_10_49,15,55,3,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
