station_id,province,municipality,station_code,magnitude,years_present,unique_identity_count,id_stable,station_code_point_count,identity_values
01022001_10_47,1,22,1,10,"2020,2021,2022,2023",1,YES,1,"[[""1"", ""22"", ""1"", ""10""]]"
01036004_10_47,1,36,4,10,"2020,2021,2022,2023",1,YES,1,"[[""1"", ""36"", ""4"", ""10""]]"
01051001_10_49,1,51,1,10,"2020,2021,2022,2023",1,YES,1,"[[""1"", ""51"", ""1"", ""10""]]"
01055001_10_47,1,55,1,10,"2020,2021,2022,2023",1,YES,1,"[[""1"", ""55"", ""1"", ""10""]]"
01059008_10_49,1,59,8,10,"2020,2021,2022,2023",1,YES,1,"[[""1"", ""59"", ""8"", ""10""]]"
01059009_10_47,1,59,9,10,"2020,2021,2022,2023",1,YES,1,"[[""1"", ""59"", ""9"", ""10""]]"
01059012_10_47,1,59,12,10,"2020,2021,2022,2023",1,YES,1,"[[""1"", ""59"", ""12"", ""10""]]"
02003001_10_49,2,3,1,10,"2020,2021",1,YES,1,"[[""2"", ""3"", ""1"", ""10""]]"
02003002_10_49,2,3,2,10,"2021,2022,2023",1,YES,1,"[[""2"", ""3"", ""2"", ""10""]]"
03014009_10_46,3,14,9,10,"2020,2021,2022,2023",1,YES,1,"[[""3"", ""14"", ""9"", ""10""]]"
03066003_10_46,3,66,3,10,"2020,2021,2022,2023",1,YES,1,"[[""3"", ""66"", ""3"", ""10""]]"
03133002_10_46,3,133,2,10,"2020,2021,2022,2023",1,YES,1,"[[""3"", ""133"", ""2"", ""10""]]"
03140001_10_46,3,140,1,10,2023,1,YES,1,"[[""3"", ""140"", ""1"", ""10""]]"
04013004_10_49,4,13,4,10,"2020,2021,2022,2023",1,YES,1,"[[""4"", ""13"", ""4"", ""10""]]"
04022001_10_49,4,22,1,10,"2020,2021,2022,2023",1,YES,1,"[[""4"", ""22"", ""1"", ""10""]]"
04024001_10_A,4,24,1,10,"2022,2023",1,YES,1,"[[""4"", ""24"", ""1"", ""10""]]"
04032005_10_49,4,32,5,10,"2020,2021,2022,2023",1,YES,1,"[[""4"", ""32"", ""5"", ""10""]]"
04035003_10_49,4,35,3,10,2023,1,YES,1,"[[""4"", ""35"", ""3"", ""10""]]"
04902001_10_49,4,902,1,10,"2020,2021,2022,2023",1,YES,1,"[[""4"", ""902"", ""1"", ""10""]]"
05019002_10_49,5,19,2,10,"2020,2021,2022,2023",1,YES,1,"[[""5"", ""19"", ""2"", ""10""]]"
07003001_10_49,7,3,1,10,"2020,2021,2022,2023",1,YES,1,"[[""7"", ""3"", ""1"", ""10""]]"
07003004_10_49,7,3,4,10,"2020,2021,2022,2023",1,YES,1,"[[""7"", ""3"", ""4"", ""10""]]"
07010001_10_47,7,10,1,10,"2020,2021,2022,2023",1,YES,1,"[[""7"", ""10"", ""1"", ""10""]]"
07015001_10_49,7,15,1,10,"2020,2021,2022,2023",1,YES,1,"[[""7"", ""15"", ""1"", ""10""]]"
07026001_10_49,7,26,1,10,"2020,2021,2022,2023",1,YES,1,"[[""7"", ""26"", ""1"", ""10""]]"
07032002_10_49,7,32,2,10,"2020,2021,2022,2023",1,YES,1,"[[""7"", ""32"", ""2"", ""10""]]"
07032003_10_49,7,32,3,10,"2020,2021,2022,2023",1,YES,1,"[[""7"", ""32"", ""3"", ""10""]]"
07040002_10_49,7,40,2,10,"2020,2021,2022,2023",1,YES,1,"[[""7"", ""40"", ""2"", ""10""]]"
07040003_10_49,7,40,3,10,"2020,2021,2022,2023",1,YES,1,"[[""7"", ""40"", ""3"", ""10""]]"
07040006_10_47,7,40,6,10,"2020,2021,2022,2023",1,YES,1,"[[""7"", ""40"", ""6"", ""10""]]"
07042001_10_49,7,42,1,10,"2020,2021,2022,2023",1,YES,1,"[[""7"", ""42"", ""1"", ""10""]]"
07044001_10_49,7,44,1,10,"2020,2021,2022,2023",1,YES,1,"[[""7"", ""44"", ""1"", ""10""]]"
07046001_10_49,7,46,1,10,"2020,2021,2022,2023",1,YES,1,"[[""7"", ""46"", ""1"", ""10""]]"
07054001_10_47,7,54,1,10,"2020,2021,2022,2023",1,YES,1,"[[""7"", ""54"", ""1"", ""10""]]"
08022006_10_47,8,22,6,10,2023,1,YES,1,"[[""8"", ""22"", ""6"", ""10""]]"
08096014_10_47,8,96,14,10,"2020,2021,2022,2023",1,YES,1,"[[""8"", ""96"", ""14"", ""10""]]"
08101001_10_47,8,101,1,10,"2020,2021,2022,2023",1,YES,1,"[[""8"", ""101"", ""1"", ""10""]]"
08112003_10_47,8,112,3,10,2022,1,YES,1,"[[""8"", ""112"", ""3"", ""10""]]"
08113007_10_47,8,113,7,10,2023,1,YES,1,"[[""8"", ""113"", ""7"", ""10""]]"
08114006_10_47,8,114,6,10,2023,1,YES,1,"[[""8"", ""114"", ""6"", ""10""]]"
08125002_10_47,8,125,2,10,2023,1,YES,1,"[[""8"", ""125"", ""2"", ""10""]]"
08184006_10_47,8,184,6,10,"2020,2021,2022,2023",1,YES,1,"[[""8"", ""184"", ""6"", ""10""]]"
08187012_10_47,8,187,12,10,2023,1,YES,1,"[[""8"", ""187"", ""12"", ""10""]]"
08194008_10_47,8,194,8,10,"2020,2021,2022,2023",1,YES,1,"[[""8"", ""194"", ""8"", ""10""]]"
08202001_10_47,8,202,1,10,"2020,2021,2022,2023",1,YES,1,"[[""8"", ""202"", ""1"", ""10""]]"
08260010_10_47,8,260,10,10,"2020,2021,2022,2023",1,YES,1,"[[""8"", ""260"", ""10"", ""10""]]"
08263001_10_47,8,263,1,10,"2020,2021,2022,2023",1,YES,1,"[[""8"", ""263"", ""1"", ""10""]]"
08279011_10_47,8,279,11,10,2023,1,YES,1,"[[""8"", ""279"", ""11"", ""10""]]"
08298008_10_47,8,298,8,10,2023,1,YES,1,"[[""8"", ""298"", ""8"", ""10""]]"
09018002_10_49,9,18,2,10,"2020,2021,2022,2023",1,YES,1,"[[""9"", ""18"", ""2"", ""10""]]"
09059003_10_49,9,59,3,10,"2020,2021,2022,2023",1,YES,1,"[[""9"", ""59"", ""3"", ""10""]]"
09059006_10_49,9,59,6,10,"2020,2021,2022,2023",1,YES,1,"[[""9"", ""59"", ""6"", ""10""]]"
09209001_10_49,9,209,1,10,"2020,2021,2022",1,YES,1,"[[""9"", ""209"", ""1"", ""10""]]"
09219001_10_49,9,219,1,10,2020,1,YES,1,"[[""9"", ""219"", ""1"", ""10""]]"
09219002_10_49,9,219,2,10,"2020,2021,2022,2023",1,YES,1,"[[""9"", ""219"", ""2"", ""10""]]"
11004007_10_49,11,4,7,10,"2020,2021,2022,2023",1,YES,1,"[[""11"", ""4"", ""7"", ""10""]]"
11006001_10_49,11,6,1,10,2020,1,YES,1,"[[""11"", ""6"", ""1"", ""10""]]"
