station_id,provincia,municipio,estacion,source_years_present,usable_years_300_days_at_75pct,overall_coverage_fraction,metadata_conflict_flag,included_under_proposed_contract,exclusion_reasons
01022001_10_47,1,22,1,4,4,0.9903319644079398,NO,YES,
01036004_10_47,1,36,4,4,4,0.9695414099931554,NO,YES,
01051001_10_49,1,51,1,4,4,0.9815195071868583,NO,YES,
01055001_10_47,1,55,1,4,4,0.9760723248916268,NO,YES,
01059008_10_49,1,59,8,4,4,0.987109285877253,NO,YES,
01059009_10_47,1,59,9,4,4,0.9795231576545745,NO,YES,
01059012_10_47,1,59,12,4,4,0.9908738307095597,NO,YES,
02003001_10_49,2,3,1,2,2,0.4593600273785079,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
02003002_10_49,2,3,2,3,2,0.48887748117727586,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
03014009_10_46,3,14,9,4,4,0.9595881816107689,NO,YES,
03066003_10_46,3,66,3,4,4,0.9683150809947525,NO,YES,
03133002_10_46,3,133,2,4,4,0.9792094455852156,NO,YES,
03140001_10_46,3,140,1,1,1,0.24686287930641113,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
04013004_10_49,4,13,4,4,4,0.9433892311202373,NO,YES,
04022001_10_49,4,22,1,4,4,0.9565080994752453,NO,YES,
04024001_10_A,4,24,1,2,2,0.463694957791467,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
04032005_10_49,4,32,5,4,4,0.9474674880219028,NO,YES,
04035003_10_49,4,35,3,1,1,0.24883070955966233,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
04902001_10_49,4,902,1,4,4,0.9867670545288615,NO,YES,
05019002_10_49,5,19,2,4,4,0.9765571526351814,NO,YES,
07003001_10_49,7,3,1,4,4,0.979409080538444,NO,YES,
07003004_10_49,7,3,4,4,4,0.9777834816335843,NO,YES,
07010001_10_47,7,10,1,4,2,0.8639060004563085,NO,NO,fewer_than_3_years_with_300_usable_days
07015001_10_49,7,15,1,4,3,0.9029488934519735,NO,YES,
07026001_10_49,7,26,1,4,4,0.9466689482089893,NO,YES,
07032002_10_49,7,32,2,4,4,0.9774982888432581,NO,YES,
07032003_10_49,7,32,3,4,4,0.9703114305270363,NO,YES,
07040002_10_49,7,40,2,4,3,0.7391056354095369,NO,NO,overall_hourly_coverage_below_0.75
07040003_10_49,7,40,3,4,4,0.9770704996577686,NO,YES,
07040006_10_47,7,40,6,4,4,0.8959331508099475,NO,YES,
07042001_10_49,7,42,1,4,4,0.9427332877024869,NO,YES,
07044001_10_49,7,44,1,4,4,0.9690280629705681,NO,YES,
07046001_10_49,7,46,1,4,4,0.9759867670545289,NO,YES,
07054001_10_47,7,54,1,4,3,0.8979295003422314,NO,YES,
08022006_10_47,8,22,6,1,1,0.2458361852612366,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
08096014_10_47,8,96,14,4,4,0.9741330139174081,NO,YES,
08101001_10_47,8,101,1,4,4,0.9784964636093999,NO,YES,
08112003_10_47,8,112,3,1,1,0.24247091033538673,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
08113007_10_47,8,113,7,1,1,0.2389630390143737,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
