station_id,keys_A_only
01022001_10_47,0
01036004_10_47,0
01051001_10_49,0
01055001_10_47,0
01059008_10_49,0
01059009_10_47,0
01059012_10_47,0
03014009_10_46,0
03066003_10_46,0
03133002_10_46,0
04013004_10_49,0
04022001_10_49,0
04032005_10_49,0
04902001_10_49,0
05019002_10_49,0
07003001_10_49,0
07003004_10_49,0
07015001_10_49,0
07026001_10_49,0
07032002_10_49,0
07032003_10_49,0
07040003_10_49,0
07040006_10_47,0
07042001_10_49,0
07044001_10_49,0
07046001_10_49,0
07054001_10_47,0
08096014_10_47,0
08101001_10_47,0
08184006_10_47,0
08194008_10_47,0
08202001_10_47,0
08260010_10_47,0
08263001_10_47,0
09018002_10_49,0
09059003_10_49,0
09059006_10_49,0
09219002_10_49,0
11004007_10_49,0
11008001_10_49,0
11008009_10_49,0
11012002_10_49,0
11020003_10_49,0
11020004_10_49,0
11022005_10_49,0
11028001_10_49,0
11033004_10_49,0
12005005_10_49,0
12009007_10_46,0
12028001_10_46,0
12032001_10_46,0
12040008_10_46,0
12040010_10_46,0
12140002_10_46,0
12141002_10_46,0
13034002_10_49,0
13071015_10_49,0
13071017_10_49,0
14021006_10_49,0
14021007_10_49,0
14021009_10_49,0
14026002_10_49,0
14047001_10_49,0
15005011_10_47,0
15005014_10_49,0
15023004_10_47,0
15030021_10_47,0
15030027_10_49,0
15030028_10_49,0
15032001_10_46,0
15034008_10_47,0
15036003_10_49,0
15036004_10_47,0
15041001_10_47,0
15070002_10_47,0
15070006_10_47,0
15078005_10_49,0
15078007_10_49,0
15078008_10_49,0
16078001_10_49,0
18021001_10_49,0
18087007_10_49,0
18087010_10_49,0
18140001_10_49,0
19130001_10_49,0
20009001_10_49,0
20016001_10_47,0
20018001_10_47,0
20019001_10_49,0
20040001_10_47,0
20055001_10_47,0
20069002_10_49,0
20069004_10_47,0
20069005_10_47,0
20069006_10_46,0
20069007_10_49,0
20071001_10_47,0
20073001_10_49,0
20080001_10_49,0
21005002_10_49,0
21041008_10_49,967
21041016_10_49,0
21041017_10_49,0
21050001_10_49,0
21055004_10_49,0
21055007_10_49,2594
21060002_10_49,0
21064002_10_49,0
23010002_10_49,0
23050003_10_49,0
23097001_10_49,0
24038001_10_47,0
24089006_10_49,0
24089010_10_49,0
24115015_10_49,0
24134006_10_49,0
24181001_10_49,0
26011001_10_49,0
26019001_10_49,0
26066001_10_49,0
26089001_10_49,0
26117001_10_49,0
27013002_10_47,0
27025015_10_47,0
27028005_10_49,0
27033001_10_47,0
27065004_10_47,0
28005002_10_49,0
28006004_10_49,0
28013002_10_49,0
28014002_10_49,0
28016001_10_49,0
28045002_10_49,0
28049003_10_49,0
28058004_10_49,0
28065014_10_49,0
28067001_10_49,0
28074007_10_49,0
28079008_10_47,0
28079018_10_47,0
28079024_10_47,0
28079036_10_47,0
28079038_10_47,0
28079040_10_47,0
28079047_10_47,0
28079048_10_47,0
28079050_10_47,0
28079055_10_47,0
28079056_10_47,0
28079057_10_47,0
28079060_10_47,0
28080003_10_49,0
28092005_10_49,0
28102001_10_49,0
28120001_10_49,0
28123002_10_49,0
28133002_10_49,0
28148004_10_49,0
28171001_10_49,0
29067005_10_49,0
29067006_10_49,0
29067008_10_49,0
30005002_10_47,0
30015001_10_47,0
30016001_10_47,0
30016018_10_47,0
30016020_10_47,0
30016021_10_47,0
30024002_10_47,0
30030007_10_49,0
31010001_10_49,0
31107001_10_49,0
31149002_10_49,0
31191001_10_49,0
31201012_10_49,0
31201014_10_49,0
31201015_10_49,0
31216001_10_49,0
31232002_10_49,0
31232003_10_49,0
32032001_10_49,0
32039001_10_49,0
32054004_10_49,0
33004020_10_49,0
33004021_10_49,0
33004048_10_49,0
33004049_10_49,0
33004052_10_49,0
33011001_10_49,0
33024024_10_49,0
33024025_10_49,0
33024027_10_49,0
33024031_10_49,0
33024032_10_49,0
33031029_10_49,0
33031030_10_49,0
33031032_10_49,0
33037012_10_49,0
33044029_10_49,0
33044030_10_49,0
33044032_10_49,0
33044033_10_49,0
33060003_10_49,0
33066004_10_49,0
34023003_10_49,0
34080004_10_49,0
34120008_10_49,0
35002001_10_A,0
35004001_10_49,0
35006001_10_49,0
35016010_10_49,0
35016012_10_49,0
35017001_10_47,0
35017002_10_47,0
35017003_10_49,0
35017004_10_49,0
35017005_10_49,0
35019001_10_A,0
35019004_10_47,0
35022003_10_49,0
35024001_10_49,0
35024002_10_49,0
35026001_10_49,0
35026003_10_49,0
35026004_10_49,0
36024001_10_49,0
36038008_10_49,0
36038010_10_49,0
36041001_10_47,0
36057019_10_49,0
36057022_10_47,0
36057026_10_49,0
37274010_10_49,0
37274011_10_49,0
38004001_10_49,0
38005001_10_46,0
38006001_10_46,0
38006002_10_46,0
38006003_10_46,0
38008001_10_49,0
38011004_10_49,0
38011005_10_49,0
38011006_10_A,0
38011007_10_49,0
38017001_10_46,0
38017002_10_46,0
38017003_10_46,0
38033001_10_49,0
38036001_10_49,0
38036002_10_49,0
38037001_10_49,0
38038012_10_46,0
38038021_10_49,0
38038022_10_46,0
38038023_10_49,0
38038025_10_46,0
