station_id,condition,fold,origin,target_time,horizon,reason
21041008_10_49,lags_only,13,2022-11-12,2022-11-13,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,14,2022-12-07,2022-12-08,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,14,2022-12-07,2022-12-09,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,14,2022-12-07,2022-12-10,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,14,2022-12-07,2022-12-11,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,14,2022-12-07,2022-12-12,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,14,2022-12-10,2022-12-11,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,14,2022-12-10,2022-12-12,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,14,2022-12-10,2022-12-15,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,14,2022-12-10,2022-12-16,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,14,2022-12-10,2022-12-17,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,15,2022-12-11,2022-12-12,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,15,2022-12-11,2022-12-15,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,15,2022-12-11,2022-12-16,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,15,2022-12-11,2022-12-17,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,15,2022-12-11,2022-12-18,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,15,2022-12-22,2022-12-28,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,15,2022-12-22,2022-12-29,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-01-27,2023-01-28,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-01-27,2023-01-29,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-01-27,2023-01-30,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-01-27,2023-01-31,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-01-27,2023-02-01,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-01-27,2023-02-02,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-01-27,2023-02-03,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-01-28,2023-01-29,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-01-28,2023-01-30,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-01-28,2023-01-31,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-01-28,2023-02-01,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-01-28,2023-02-02,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-01-28,2023-02-03,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-01-28,2023-02-04,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-02-03,2023-02-04,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-02-03,2023-02-05,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-02-03,2023-02-06,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-02-03,2023-02-07,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-02-03,2023-02-08,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-02-03,2023-02-09,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-02-03,2023-02-10,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-02-04,2023-02-05,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-02-04,2023-02-06,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-02-04,2023-02-07,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-02-04,2023-02-08,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-02-04,2023-02-09,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-02-04,2023-02-10,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,16,2023-02-04,2023-02-11,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-05,2023-02-06,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-05,2023-02-07,2,historical_nan_block_numbering_divergence
