station_id,keys_A,keys_B,keys_intersection,keys_B_only,keys_A_only,primary_support_fraction,B_inflation_vs_A_pct
01022001_10_47,6948,6948,6948,0,0,1.0,0.0
01036004_10_47,6356,6356,6356,0,0,1.0,0.0
01051001_10_49,6335,6335,6335,0,0,1.0,0.0
01055001_10_47,6396,6396,6396,0,0,1.0,0.0
01059008_10_49,6862,6862,6862,0,0,1.0,0.0
01059009_10_47,6436,6436,6436,0,0,1.0,0.0
01059012_10_47,7221,7221,7221,0,0,1.0,0.0
03014009_10_46,1127,5894,1127,4767,0,1.0,422.98136645962734
03066003_10_46,672,6911,672,6239,0,1.0,928.422619047619
03133002_10_46,3932,6767,3932,2835,0,1.0,72.10071210579858
04013004_10_49,5183,5183,5183,0,0,1.0,0.0
04022001_10_49,3118,5864,3118,2746,0,1.0,88.06927517639512
04032005_10_49,3175,5737,3175,2562,0,1.0,80.69291338582677
04902001_10_49,7026,7026,7026,0,0,1.0,0.0
05019002_10_49,6988,6988,6988,0,0,1.0,0.0
07003001_10_49,6715,6715,6715,0,0,1.0,0.0
07003004_10_49,6472,6472,6472,0,0,1.0,0.0
07015001_10_49,4504,4504,4504,0,0,1.0,0.0
07026001_10_49,5076,5076,5076,0,0,1.0,0.0
07032002_10_49,6550,6550,6550,0,0,1.0,0.0
07032003_10_49,6291,6291,6291,0,0,1.0,0.0
07040003_10_49,6586,6586,6586,0,0,1.0,0.0
07040006_10_47,4238,4238,4238,0,0,1.0,0.0
07042001_10_49,5749,5749,5749,0,0,1.0,0.0
07044001_10_49,2320,6370,2320,4050,0,1.0,174.56896551724137
07046001_10_49,6518,6518,6518,0,0,1.0,0.0
07054001_10_47,5009,5009,5009,0,0,1.0,0.0
08096014_10_47,6180,6180,6180,0,0,1.0,0.0
08101001_10_47,6677,6677,6677,0,0,1.0,0.0
08184006_10_47,5897,5897,5897,0,0,1.0,0.0
08194008_10_47,6656,6656,6656,0,0,1.0,0.0
08202001_10_47,7406,7406,7406,0,0,1.0,0.0
08260010_10_47,6476,6476,6476,0,0,1.0,0.0
08263001_10_47,6455,6455,6455,0,0,1.0,0.0
09018002_10_49,6929,6929,6929,0,0,1.0,0.0
09059003_10_49,7118,7118,7118,0,0,1.0,0.0
09059006_10_49,6014,6014,6014,0,0,1.0,0.0
09219002_10_49,6998,6998,6998,0,0,1.0,0.0
11004007_10_49,3889,3889,3889,0,0,1.0,0.0
11008001_10_49,3339,3606,3339,267,0,1.0,7.996406109613657
11008009_10_49,5924,5924,5924,0,0,1.0,0.0
11012002_10_49,5493,5493,5493,0,0,1.0,0.0
11020003_10_49,1296,2801,1296,1505,0,1.0,116.12654320987654
11020004_10_49,974,1731,974,757,0,1.0,77.72073921971253
11022005_10_49,4704,4704,4704,0,0,1.0,0.0
11028001_10_49,2469,3942,2469,1473,0,1.0,59.65978128797084
11033004_10_49,5730,5730,5730,0,0,1.0,0.0
12005005_10_49,1617,2469,1617,852,0,1.0,52.69016697588126
12009007_10_46,2798,4021,2798,1223,0,1.0,43.70979270907791
12028001_10_46,2669,4609,2669,1940,0,1.0,72.68639940052454
12032001_10_46,5506,5506,5506,0,0,1.0,0.0
12040008_10_46,6855,6855,6855,0,0,1.0,0.0
12040010_10_46,2429,6149,2429,3720,0,1.0,153.14944421572662
12140002_10_46,1628,3839,1628,2211,0,1.0,135.8108108108108
12141002_10_46,2707,5158,2707,2451,0,1.0,90.54303657185075
13034002_10_49,5324,5324,5324,0,0,1.0,0.0
13071015_10_49,5831,5831,5831,0,0,1.0,0.0
13071017_10_49,5682,5682,5682,0,0,1.0,0.0
14021006_10_49,6644,6644,6644,0,0,1.0,0.0
14021007_10_49,6240,6240,6240,0,0,1.0,0.0
14021009_10_49,5696,5696,5696,0,0,1.0,0.0
14026002_10_49,2685,2957,2685,272,0,1.0,10.130353817504655
14047001_10_49,2108,2108,2108,0,0,1.0,0.0
15005011_10_47,7644,7644,7644,0,0,1.0,0.0
15005014_10_49,4781,4781,4781,0,0,1.0,0.0
15023004_10_47,7441,7441,7441,0,0,1.0,0.0
15030021_10_47,7169,7169,7169,0,0,1.0,0.0
15030027_10_49,6862,6862,6862,0,0,1.0,0.0
15030028_10_49,7232,7232,7232,0,0,1.0,0.0
15032001_10_46,7031,7031,7031,0,0,1.0,0.0
15034008_10_47,7030,7030,7030,0,0,1.0,0.0
15036003_10_49,6495,6495,6495,0,0,1.0,0.0
15036004_10_47,7078,7078,7078,0,0,1.0,0.0
15041001_10_47,6996,6996,6996,0,0,1.0,0.0
15070002_10_47,5850,5850,5850,0,0,1.0,0.0
15070006_10_47,5039,5039,5039,0,0,1.0,0.0
15078005_10_49,6270,6270,6270,0,0,1.0,0.0
15078007_10_49,6513,6513,6513,0,0,1.0,0.0
15078008_10_49,4968,4968,4968,0,0,1.0,0.0
16078001_10_49,4880,4880,4880,0,0,1.0,0.0
18021001_10_49,2563,2563,2563,0,0,1.0,0.0
18087007_10_49,7321,7321,7321,0,0,1.0,0.0
18087010_10_49,6721,6721,6721,0,0,1.0,0.0
18140001_10_49,4300,4300,4300,0,0,1.0,0.0
19130001_10_49,6423,6423,6423,0,0,1.0,0.0
20009001_10_49,4133,4133,4133,0,0,1.0,0.0
20016001_10_47,1082,4509,1082,3427,0,1.0,316.728280961183
20018001_10_47,5961,5961,5961,0,0,1.0,0.0
20019001_10_49,6608,6608,6608,0,0,1.0,0.0
20040001_10_47,6538,6538,6538,0,0,1.0,0.0
20055001_10_47,6750,6750,6750,0,0,1.0,0.0
20069002_10_49,6305,6305,6305,0,0,1.0,0.0
20069004_10_47,476,5142,476,4666,0,1.0,980.2521008403362
20069005_10_47,823,5500,823,4677,0,1.0,568.2867557715674
20069006_10_46,4754,4754,4754,0,0,1.0,0.0
20069007_10_49,4610,4610,4610,0,0,1.0,0.0
20071001_10_47,2770,6520,2770,3750,0,1.0,135.37906137184115
20073001_10_49,4789,4789,4789,0,0,1.0,0.0
20080001_10_49,7088,7088,7088,0,0,1.0,0.0
21005002_10_49,680,3332,680,2652,0,1.0,390.0
21041008_10_49,2249,2249,1282,967,967,0.5700311249444198,0.0
21041016_10_49,2340,2340,2340,0,0,1.0,0.0
21041017_10_49,3425,5051,3425,1626,0,1.0,47.47445255474452
21050001_10_49,1590,1632,1590,42,0,1.0,2.6415094339622645
21055004_10_49,2820,4798,2820,1978,0,1.0,70.1418439716312
21055007_10_49,4250,4250,1656,2594,2594,0.3896470588235294,0.0
21060002_10_49,2943,2943,2943,0,0,1.0,0.0
21064002_10_49,1529,4301,1529,2772,0,1.0,181.29496402877697
23010002_10_49,6896,6896,6896,0,0,1.0,0.0
23050003_10_49,6205,6205,6205,0,0,1.0,0.0
23097001_10_49,6222,6222,6222,0,0,1.0,0.0
24038001_10_47,5864,5864,5864,0,0,1.0,0.0
24089006_10_49,6952,6952,6952,0,0,1.0,0.0
24089010_10_49,6643,6643,6643,0,0,1.0,0.0
24115015_10_49,4696,4696,4696,0,0,1.0,0.0
24134006_10_49,7342,7342,7342,0,0,1.0,0.0
24181001_10_49,6392,6392,6392,0,0,1.0,0.0
26011001_10_49,5277,5277,5277,0,0,1.0,0.0
26019001_10_49,5429,5429,5429,0,0,1.0,0.0
26066001_10_49,6814,6814,6814,0,0,1.0,0.0
26089001_10_49,6184,6184,6184,0,0,1.0,0.0
26117001_10_49,5778,5778,5778,0,0,1.0,0.0
27013002_10_47,6587,6587,6587,0,0,1.0,0.0
27025015_10_47,7308,7308,7308,0,0,1.0,0.0
27028005_10_49,5921,5921,5921,0,0,1.0,0.0
27033001_10_47,6113,6113,6113,0,0,1.0,0.0
27065004_10_47,6796,6796,6796,0,0,1.0,0.0
28005002_10_49,6892,6892,6892,0,0,1.0,0.0
