station,horizon,lag,valid_pairs
Elche,1,0,2350
Elche,1,1,2211
Elche,1,2,2167
Elche,1,3,2118
Elche,1,4,2098
Elche,1,5,2070
Elche,1,6,2065
Elche,1,7,2054
Elche,1,8,2056
Elche,1,9,2043
Elche,1,10,2045
Elche,1,11,2033
Elche,1,12,2028
Elche,1,13,2013
Elche,1,14,2009
Elche,2,0,2350
Elche,2,1,2211
Elche,2,2,2167
Elche,2,3,2118
Elche,2,4,2098
Elche,2,5,2070
Elche,2,6,2065
Elche,2,7,2054
Elche,2,8,2056
Elche,2,9,2043
Elche,2,10,2045
Elche,2,11,2033
Elche,2,12,2028
Elche,2,13,2013
Elche,2,14,2009
Elche,2,15,1989
Elche,3,0,2350
Elche,3,1,2211
Elche,3,2,2167
Elche,3,3,2118
Elche,3,4,2098
Elche,3,5,2070
Elche,3,6,2065
Elche,3,7,2054
Elche,3,8,2056
Elche,3,9,2043
Elche,3,10,2045
Elche,3,11,2033
Elche,3,12,2028
Elche,3,13,2013
Elche,3,14,2009
Elche,3,15,1989
Elche,3,16,1989
Elche,4,0,2350
Elche,4,1,2211
Elche,4,2,2167
Elche,4,3,2118
Elche,4,4,2098
Elche,4,5,2070
Elche,4,6,2065
Elche,4,7,2054
Elche,4,8,2056
Elche,4,9,2043
Elche,4,10,2045
Elche,4,11,2033
Elche,4,12,2028
Elche,4,13,2013
Elche,4,14,2009
Elche,4,15,1989
Elche,4,16,1989
Elche,4,17,1980
Elche,5,0,2350
Elche,5,1,2211
Elche,5,2,2167
Elche,5,3,2118
Elche,5,4,2098
Elche,5,5,2070
Elche,5,6,2065
Elche,5,7,2054
Elche,5,8,2056
Elche,5,9,2043
Elche,5,10,2045
Elche,5,11,2033
Elche,5,12,2028
Elche,5,13,2013
Elche,5,14,2009
Elche,5,15,1989
Elche,5,16,1989
Elche,5,17,1980
Elche,5,18,1976
Elche,6,0,2350
Elche,6,1,2211
Elche,6,2,2167
Elche,6,3,2118
Elche,6,4,2098
Elche,6,5,2070
Elche,6,6,2065
Elche,6,7,2054
Elche,6,8,2056
Elche,6,9,2043
Elche,6,10,2045
Elche,6,11,2033
Elche,6,12,2028
Elche,6,13,2013
Elche,6,14,2009
Elche,6,15,1989
Elche,6,16,1989
Elche,6,17,1980
Elche,6,18,1976
Elche,6,19,1970
Elche,7,0,2350
Elche,7,1,2211
Elche,7,2,2167
Elche,7,3,2118
Elche,7,4,2098
Elche,7,5,2070
Elche,7,6,2065
Elche,7,7,2054
Elche,7,8,2056
Elche,7,9,2043
Elche,7,10,2045
Elche,7,11,2033
Elche,7,12,2028
Elche,7,13,2013
Elche,7,14,2009
Elche,7,15,1989
Elche,7,16,1989
Elche,7,17,1980
Elche,7,18,1976
Elche,7,19,1970
Elche,7,20,1969
Valencia Vivers,1,0,2679
Valencia Vivers,1,1,2563
Valencia Vivers,1,2,2557
Valencia Vivers,1,3,2529
Valencia Vivers,1,4,2518
Valencia Vivers,1,5,2497
Valencia Vivers,1,6,2499
Valencia Vivers,1,7,2489
Valencia Vivers,1,8,2482
Valencia Vivers,1,9,2474
Valencia Vivers,1,10,2477
Valencia Vivers,1,11,2472
Valencia Vivers,1,12,2465
Valencia Vivers,1,13,2467
