station,horizon,p,gamma0,min_eigenvalue,max_eigenvalue,condition_number,psd_status,regularization,numerical_status
Elche,1,14,165.83566301493892,41.103505848598815,480.409619900168,11.68780156295463,PSD,0.0,OK
Elche,2,14,165.83566301493892,41.103505848598815,480.409619900168,11.68780156295463,PSD,0.0,OK
Elche,3,14,165.83566301493892,41.103505848598815,480.409619900168,11.68780156295463,PSD,0.0,OK
Elche,4,14,165.83566301493892,41.103505848598815,480.409619900168,11.68780156295463,PSD,0.0,OK
Elche,5,14,165.83566301493892,41.103505848598815,480.409619900168,11.68780156295463,PSD,0.0,OK
Elche,6,14,165.83566301493892,41.103505848598815,480.409619900168,11.68780156295463,PSD,0.0,OK
Elche,7,14,165.83566301493892,41.103505848598815,480.409619900168,11.68780156295463,PSD,0.0,OK
Valencia Vivers,1,14,96.39625438951792,22.332571677668724,455.5278378469593,20.397464493641845,PSD,0.0,OK
Valencia Vivers,2,14,96.39625438951792,22.332571677668724,455.5278378469593,20.397464493641845,PSD,0.0,OK
Valencia Vivers,3,14,96.39625438951792,22.332571677668724,455.5278378469593,20.397464493641845,PSD,0.0,OK
Valencia Vivers,4,14,96.39625438951792,22.332571677668724,455.5278378469593,20.397464493641845,PSD,0.0,OK
Valencia Vivers,5,14,96.39625438951792,22.332571677668724,455.5278378469593,20.397464493641845,PSD,0.0,OK
Valencia Vivers,6,14,96.39625438951792,22.332571677668724,455.5278378469593,20.397464493641845,PSD,0.0,OK
Valencia Vivers,7,14,96.39625438951792,22.332571677668724,455.5278378469593,20.397464493641845,PSD,0.0,OK
Zarra EMEP,1,14,98.70366258920923,15.14396738797871,426.53633913416184,28.16542905875158,PSD,0.0,OK
Zarra EMEP,2,14,98.70366258920923,15.14396738797871,426.53633913416184,28.16542905875158,PSD,0.0,OK
Zarra EMEP,3,14,98.70366258920923,15.14396738797871,426.53633913416184,28.16542905875158,PSD,0.0,OK
Zarra EMEP,4,14,98.70366258920923,15.14396738797871,426.53633913416184,28.16542905875158,PSD,0.0,OK
Zarra EMEP,5,14,98.70366258920923,15.14396738797871,426.53633913416184,28.16542905875158,PSD,0.0,OK
Zarra EMEP,6,14,98.70366258920923,15.14396738797871,426.53633913416184,28.16542905875158,PSD,0.0,OK
Zarra EMEP,7,14,98.70366258920923,15.14396738797871,426.53633913416184,28.16542905875158,PSD,0.0,OK
