site,horizon,n,mean_loss_diff,dm_stat,dm_hln_stat,q,p_raw,p_bonferroni,bonferroni_reject,p_bh_station,bh_station_reject,dependence_specification,source_loss_ledger_sha256
Madrid Casa de Campo,1,354,1.09896156831,1.09599197042,1.09444286438,5,0.274507007573,1,False,0.499712256018,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Madrid Casa de Campo,6,356,-0.137730298132,-0.0503313781311,-0.0502606382815,5,0.959942956776,1,False,0.959942956776,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Madrid Casa de Campo,12,346,21.4457980849,2.45817415868,2.45461931349,5,0.0145966537132,0.525479533676,False,0.0583866148529,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Madrid Casa de Campo,24,354,46.5442261308,0.889930493502,0.888672640586,5,0.374784192014,1,False,0.499712256018,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Birr (Co. Offaly),1,211,10.4133941232,2.77140174495,2.76482664258,4,0.00620211969451,0.223276309002,False,0.024808478778,True,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Birr (Co. Offaly),6,212,-3.2297592209,-0.533751260241,-0.532490924927,4,0.594946325488,1,False,0.594946325488,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Birr (Co. Offaly),12,212,5.35270820929,0.807759552021,0.805852206852,4,0.421235321327,1,False,0.594946325488,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Birr (Co. Offaly),24,212,3.21576833179,0.719430018235,0.717731243685,4,0.473716890067,1,False,0.594946325488,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Dublin Airport,1,145,8.87691982101,2.07480555472,2.06763867474,4,0.0404637959258,1,False,0.161855183703,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Dublin Airport,6,145,-2.2839814509,-0.280991730364,-0.280021116996,4,0.779863152556,1,False,0.779863152556,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Dublin Airport,12,145,-4.71088420474,-0.437292277596,-0.435781764352,4,0.663647630671,1,False,0.779863152556,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Dublin Airport,24,145,10.4111154064,1.04046059393,1.0368665915,4,0.301536043364,1,False,0.603072086728,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Dundalk (Co. Louth),1,151,18.7981444331,1.14130085081,1.13751543125,4,0.25713663346,1,False,0.319920528826,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Dundalk (Co. Louth),6,152,4.68334045334,1.00120666268,0.997907784974,4,0.319920528826,1,False,0.319920528826,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Dundalk (Co. Louth),12,153,3.58485473326,1.13581486422,1.13209696598,4,0.259376459853,1,False,0.319920528826,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Dundalk (Co. Louth),24,152,25.0341469615,1.35016627841,1.34571761301,4,0.180410726124,1,False,0.319920528826,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Pearse St. Dublin,1,212,7.56598881392,1.87693884237,1.87250686726,4,0.0625197018369,1,False,0.0833596024492,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Pearse St. Dublin,6,212,6.62247214042,2.95596642524,2.94898656562,4,0.00354760341693,0.127713723009,False,0.0141904136677,True,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Pearse St. Dublin,12,212,7.22848951203,2.5190413478,2.51309318992,4,0.0127154842108,0.457757431589,False,0.0254309684216,True,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Pearse St. Dublin,24,212,22.4717666513,0.925382824956,0.923197738495,4,0.356958657325,1,False,0.356958657325,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Ringsend Dublin,1,212,2.76381354943,1.2295502586,1.22664694816,4,0.221322349742,1,False,0.782338913659,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Ringsend Dublin,6,212,-1.10292432686,-0.197673288818,-0.197206527154,4,0.843855758549,1,False,0.93579706645,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Ringsend Dublin,12,212,17.8723813286,0.861298805943,0.859265039691,4,0.391169456829,1,False,0.782338913659,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Ringsend Dublin,24,212,0.397594802568,0.0808404831627,0.0806495962773,4,0.93579706645,1,False,0.93579706645,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Edenderry (Co. Offaly),1,208,3.42160468448,0.336522266187,0.335712343794,4,0.737427809091,1,False,0.806936687333,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Edenderry (Co. Offaly),6,211,-21.3952305212,-1.27788288812,-1.27485113322,4,0.203770651136,1,False,0.806936687333,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Edenderry (Co. Offaly),12,211,3.46522616033,0.245270227536,0.244688328193,4,0.806936687333,1,False,0.806936687333,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Edenderry (Co. Offaly),24,210,5.27606283118,0.7219903131,0.7202692372,4,0.472164006214,1,False,0.806936687333,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Henry St. Limerick,1,211,0.800117546761,0.819059697012,0.817116492146,4,0.414787897338,1,False,0.553050529784,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Henry St. Limerick,6,211,-17.3324990527,-1.41086302613,-1.40751577817,4,0.160752949782,1,False,0.462213206051,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Henry St. Limerick,12,210,2.91403504825,0.447029537538,0.44596391138,4,0.656084967302,1,False,0.656084967302,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Henry St. Limerick,24,211,3.91907920329,1.20384952474,1.20099341271,4,0.231106603025,1,False,0.462213206051,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Portlaoise (Co. Laois),1,212,3.15271057086,1.20791947905,1.2050672449,4,0.229527144141,1,False,0.376582394821,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Portlaoise (Co. Laois),6,212,-1.18375554537,-1.08016391573,-1.07761334803,4,0.282436796115,1,False,0.376582394821,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Portlaoise (Co. Laois),12,212,3.97332069414,1.85871649457,1.85432754749,4,0.065087759069,1,False,0.260351036276,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
Portlaoise (Co. Laois),24,212,2.64491450596,0.705360821062,0.703695267802,4,0.482398379991,1,False,0.482398379991,False,automatic Newey-West (Bartlett HAC),3e58bc5fedf11a2c56274470529c44421b071346771af16fb8b5de490e07a10b
