site,source_station,origin,target_date,forecast_timestamp,horizon,y_true,yhat_lags,yhat_meteo,error_lags,error_meteo,sq_error_lags,sq_error_meteo,loss_differential
Birr (Co. Offaly),Birr co offlay,2023-01-01,2023-01-01 01:00:00,2023-01-01 01:00:00,1,21.38,13.7007751465,14.7904968262,7.67922485352,6.58950317383,58.9704943509,43.4215520779,15.548942273
Birr (Co. Offaly),Birr co offlay,2023-01-02,2023-01-02 01:00:00,2023-01-02 01:00:00,1,6.7,13.354637146,15.2440166473,-6.654637146,-8.54401664734,44.2841955449,73.00022047,-28.7160249251
Birr (Co. Offaly),Birr co offlay,2023-01-03,2023-01-03 01:00:00,2023-01-03 01:00:00,1,4.83,16.4832420349,17.2307872772,-11.6532420349,-12.4007872772,135.798049924,153.779525095,-17.9814751707
Birr (Co. Offaly),Birr co offlay,2023-01-04,2023-01-04 01:00:00,2023-01-04 01:00:00,1,12.52,9.90288352966,8.59588718414,2.61711647034,3.92411281586,6.84929861931,15.3986613916,-8.54936277226
Birr (Co. Offaly),Birr co offlay,2023-01-05,2023-01-05 01:00:00,2023-01-05 01:00:00,1,13.16235836,10.9608955383,8.91907119751,2.20146282167,4.24328716249,4.84643855519,18.0054859434,-13.1590473882
Birr (Co. Offaly),Birr co offlay,2023-01-06,2023-01-06 01:00:00,2023-01-06 01:00:00,1,12.92762047,11.9554977417,12.4448413849,0.972122728301,0.482779085112,0.945022598879,0.233075645022,0.711946953857
Birr (Co. Offaly),Birr co offlay,2023-01-07,2023-01-07 01:00:00,2023-01-07 01:00:00,1,12.76888966,12.6617908478,11.9000759125,0.107098812222,0.868813747524,0.0114701555793,0.754837327887,-0.743367172308
Birr (Co. Offaly),Birr co offlay,2023-01-08,2023-01-08 01:00:00,2023-01-08 01:00:00,1,13.4589295,12.1664714813,12.4022808075,1.29245801868,1.0566486925,1.67044773004,1.11650645937,0.55394127067
Birr (Co. Offaly),Birr co offlay,2023-01-09,2023-01-09 01:00:00,2023-01-09 01:00:00,1,6.48,12.742348671,10.4569644928,-6.26234867096,-3.9769644928,39.2170108767,15.816246577,23.4007642997
Birr (Co. Offaly),Birr co offlay,2023-01-10,2023-01-10 01:00:00,2023-01-10 01:00:00,1,15.93,16.5399780273,14.8197927475,-0.609978027344,1.1102072525,0.372073193842,1.23256014351,-0.860486949667
Birr (Co. Offaly),Birr co offlay,2023-01-11,2023-01-11 01:00:00,2023-01-11 01:00:00,1,8.49,13.1384525299,11.4603013992,-4.64845252991,-2.97030139923,21.6081109228,8.82269040227,12.7854205205
Birr (Co. Offaly),Birr co offlay,2023-01-12,2023-01-12 01:00:00,2023-01-12 01:00:00,1,14.46,12.118897438,11.8792562485,2.34110256195,2.58074375153,5.48076120557,6.66023831104,-1.17947710547
Birr (Co. Offaly),Birr co offlay,2023-01-13,2023-01-13 01:00:00,2023-01-13 01:00:00,1,8.48,10.9248638153,10.4356641769,-2.44486381531,-1.95566417694,5.9773590754,3.82462237297,2.15273670243
Birr (Co. Offaly),Birr co offlay,2023-01-14,2023-01-14 01:00:00,2023-01-14 01:00:00,1,16.4133,15.0281982422,11.355173111,1.38510175781,5.05812688904,1.9185068795,25.5846476256,-23.6661407461
Birr (Co. Offaly),Birr co offlay,2023-01-15,2023-01-15 01:00:00,2023-01-15 01:00:00,1,12.20004322,13.5656347275,11.8563175201,-1.36559150748,0.343725699858,1.8648401653,0.118147356743,1.74669280855
Birr (Co. Offaly),Birr co offlay,2023-01-16,2023-01-16 01:00:00,2023-01-16 01:00:00,1,28.79,15.7493457794,16.8603630066,13.0406542206,11.9296369934,170.058662501,142.316238794,27.7424237063
Birr (Co. Offaly),Birr co offlay,2023-01-17,2023-01-17 01:00:00,2023-01-17 01:00:00,1,42.91,24.1619548798,29.5903778076,18.7480451202,13.3196221924,351.489195831,177.412335348,174.076860483
Birr (Co. Offaly),Birr co offlay,2023-01-18,2023-01-18 01:00:00,2023-01-18 01:00:00,1,5.76,32.6217918396,25.0059452057,-26.8617918396,-19.2459452057,721.555860834,370.40640686,351.149453974
Birr (Co. Offaly),Birr co offlay,2023-01-19,2023-01-19 01:00:00,2023-01-19 01:00:00,1,24.57,14.819770813,11.1144628525,9.75022918701,13.4555371475,95.0669691993,181.051479928,-85.9845107291
Birr (Co. Offaly),Birr co offlay,2023-01-20,2023-01-20 01:00:00,2023-01-20 01:00:00,1,30.88,15.6947927475,13.8143920898,15.1852072525,17.0656079102,230.590519301,291.234973343,-60.6444540417
Birr (Co. Offaly),Birr co offlay,2023-01-21,2023-01-21 01:00:00,2023-01-21 01:00:00,1,8.3,27.2899017334,10.3601007462,-18.9899017334,-2.06010074615,360.616367844,4.24401508431,356.37235276
Birr (Co. Offaly),Birr co offlay,2023-01-22,2023-01-22 01:00:00,2023-01-22 01:00:00,1,1.85,11.5810804367,9.91740226746,-9.73108043671,-8.06740226746,94.6939264657,65.082979345,29.6109471207
Birr (Co. Offaly),Birr co offlay,2023-01-23,2023-01-23 01:00:00,2023-01-23 01:00:00,1,5.07,6.87120819092,5.90763902664,-1.80120819092,-0.837639026642,3.24435094703,0.701639138953,2.54271180808
Birr (Co. Offaly),Birr co offlay,2023-01-24,2023-01-24 01:00:00,2023-01-24 01:00:00,1,4.94,11.3747968674,11.0401515961,-6.43479686737,-6.10015159607,41.4066107243,37.211849495,4.1947612293
Birr (Co. Offaly),Birr co offlay,2023-01-25,2023-01-25 01:00:00,2023-01-25 01:00:00,1,11.47,10.0024805069,9.75162315369,1.4675194931,1.71837684631,2.15361346264,2.95281898595,-0.799205523309
Birr (Co. Offaly),Birr co offlay,2023-01-26,2023-01-26 01:00:00,2023-01-26 01:00:00,1,24.06,11.7070970535,13.6302976608,12.3529029465,10.4297023392,152.594211205,108.778690884,43.8155203212
Birr (Co. Offaly),Birr co offlay,2023-01-27,2023-01-27 01:00:00,2023-01-27 01:00:00,1,32.22,32.6579704285,19.6694126129,-0.437970428467,12.5505873871,0.191818096211,157.517243761,-157.325425665
Birr (Co. Offaly),Birr co offlay,2023-01-28,2023-01-28 01:00:00,2023-01-28 01:00:00,1,26.1,27.3107128143,24.7088241577,-1.21071281433,1.39117584229,1.46582551879,1.93537022416,-0.469544705372
Birr (Co. Offaly),Birr co offlay,2023-01-29,2023-01-29 01:00:00,2023-01-29 01:00:00,1,17.95,18.8854923248,28.2117156982,-0.935492324829,-10.2617156982,0.875145889814,105.302809072,-104.427663182
Birr (Co. Offaly),Birr co offlay,2023-01-30,2023-01-30 01:00:00,2023-01-30 01:00:00,1,22.1,19.1124801636,17.6196556091,2.98751983643,4.48034439087,8.92527477304,20.0734858608,-11.1482110878
Birr (Co. Offaly),Birr co offlay,2023-01-31,2023-01-31 01:00:00,2023-01-31 01:00:00,1,8.82,18.0826702118,16.8898487091,-9.26267021179,-8.06984870911,85.7970594524,65.1224581879,20.6746012646
Birr (Co. Offaly),Birr co offlay,2023-02-01,2023-02-01 01:00:00,2023-02-01 01:00:00,1,18.16,13.6376848221,14.3404598236,4.52231517792,3.81954017639,20.4513345684,14.5888871591,5.86244740935
Birr (Co. Offaly),Birr co offlay,2023-02-02,2023-02-02 01:00:00,2023-02-02 01:00:00,1,3.86,15.5134773254,15.2783088684,-11.6534773254,-11.4183088684,135.803533775,130.377777414,5.42575636016
Birr (Co. Offaly),Birr co offlay,2023-02-03,2023-02-03 01:00:00,2023-02-03 01:00:00,1,9.12,8.96473312378,8.64110660553,0.155266876221,0.47889339447,0.0241078028513,0.229338883267,-0.205231080416
Birr (Co. Offaly),Birr co offlay,2023-02-04,2023-02-04 01:00:00,2023-02-04 01:00:00,1,6.21,9.60010433197,11.2132167816,-3.39010433197,-5.00321678162,11.4928073816,25.0321781638,-13.5393707822
Birr (Co. Offaly),Birr co offlay,2023-02-05,2023-02-05 01:00:00,2023-02-05 01:00:00,1,26.11,9.27111053467,13.445274353,16.8388894653,12.664725647,283.548198426,160.395275713,123.152922713
Birr (Co. Offaly),Birr co offlay,2023-02-06,2023-02-06 01:00:00,2023-02-06 01:00:00,1,10.51,18.6393451691,28.6520404816,-8.12934516907,-18.1420404816,66.0862528778,329.133632835,-263.047379957
Birr (Co. Offaly),Birr co offlay,2023-02-07,2023-02-07 01:00:00,2023-02-07 01:00:00,1,11.78,13.2499094009,14.5646514893,-1.46990940094,-2.78465148926,2.16063364697,7.75428391663,-5.59365026965
Birr (Co. Offaly),Birr co offlay,2023-02-08,2023-02-08 01:00:00,2023-02-08 01:00:00,1,17.89,15.1612644196,16.2611522675,2.72873558044,1.62884773254,7.44599786798,2.65314493581,4.79285293217
Birr (Co. Offaly),Birr co offlay,2023-02-09,2023-02-09 01:00:00,2023-02-09 01:00:00,1,9.55,16.0060119629,18.281791687,-6.45601196289,-8.73179168701,41.680090465,76.2441860654,-34.5640956004
Birr (Co. Offaly),Birr co offlay,2023-02-10,2023-02-10 01:00:00,2023-02-10 01:00:00,1,12.73,11.4229803085,12.8024301529,1.30701969147,-0.0724301528931,1.70830047388,0.00524612704811,1.70305434684
Birr (Co. Offaly),Birr co offlay,2023-02-11,2023-02-11 01:00:00,2023-02-11 01:00:00,1,12.78,14.2194595337,13.0179643631,-1.43945953369,-0.237964363098,2.07204374914,0.0566270381047,2.01541671103
Birr (Co. Offaly),Birr co offlay,2023-02-12,2023-02-12 01:00:00,2023-02-12 01:00:00,1,10.98,20.9295253754,15.5803012848,-9.94952537537,-4.60030128479,98.9930551951,21.1627719108,77.8302832842
Birr (Co. Offaly),Birr co offlay,2023-02-13,2023-02-13 01:00:00,2023-02-13 01:00:00,1,18.3,12.5205249786,15.9958429337,5.77947502136,2.30415706635,33.4023315226,5.30913978639,28.0931917362
Birr (Co. Offaly),Birr co offlay,2023-02-14,2023-02-14 01:00:00,2023-02-14 01:00:00,1,20.49,17.946931839,18.4079723358,2.54306816101,2.08202766418,6.46719567155,4.33483919443,2.13235647712
Birr (Co. Offaly),Birr co offlay,2023-02-15,2023-02-15 01:00:00,2023-02-15 01:00:00,1,20.32,18.1457672119,17.8650455475,2.17423278809,2.45495445251,4.72728821679,6.02680136392,-1.29951314713
Birr (Co. Offaly),Birr co offlay,2023-02-16,2023-02-16 01:00:00,2023-02-16 01:00:00,1,1.84,18.0324459076,15.2957038879,-16.1924459076,-13.4557038879,262.19530447,181.05596712,81.1393373504
Birr (Co. Offaly),Birr co offlay,2023-02-17,2023-02-17 01:00:00,2023-02-17 01:00:00,1,2.63,6.39805984497,5.10610628128,-3.76805984497,-2.47610628128,14.1982749953,6.1311023162,8.06717267908
Birr (Co. Offaly),Birr co offlay,2023-02-18,2023-02-18 01:00:00,2023-02-18 01:00:00,1,2.18,8.79973602295,4.8241071701,-6.61973602295,-2.6441071701,43.8209050135,6.991302727,36.8296022865
Birr (Co. Offaly),Birr co offlay,2023-02-19,2023-02-19 01:00:00,2023-02-19 01:00:00,1,12.38,11.0723562241,9.63665294647,1.30764377594,2.74334705353,1.70993224475,7.5259530561,-5.81602081135
Birr (Co. Offaly),Birr co offlay,2023-02-20,2023-02-20 01:00:00,2023-02-20 01:00:00,1,5.29,12.121421814,12.2903785706,-6.83142181396,-7.00037857056,46.6683240003,49.0053001311,-2.33697613079
Birr (Co. Offaly),Birr co offlay,2023-02-21,2023-02-21 01:00:00,2023-02-21 01:00:00,1,4.49,10.6254396439,8.0151758194,-6.13543964386,-3.5251758194,37.6436196234,12.4268645577,25.2167550658
Birr (Co. Offaly),Birr co offlay,2023-02-22,2023-02-22 01:00:00,2023-02-22 01:00:00,1,4.65,11.6060295105,10.6142578125,-6.9560295105,-5.9642578125,48.3863465509,35.572371254,12.813975297
Birr (Co. Offaly),Birr co offlay,2023-02-23,2023-02-23 01:00:00,2023-02-23 01:00:00,1,15.3,7.69228887558,7.25454044342,7.60771112442,8.04545955658,57.8772685526,64.7294194766,-6.85215092393
Birr (Co. Offaly),Birr co offlay,2023-02-24,2023-02-24 01:00:00,2023-02-24 01:00:00,1,15.64,14.7256317139,15.3742856979,0.914368286133,0.265714302063,0.836069362685,0.0706040903208,0.765465272365
Birr (Co. Offaly),Birr co offlay,2023-02-25,2023-02-25 01:00:00,2023-02-25 01:00:00,1,34.31,15.5747232437,18.5932693481,18.7352767563,15.7167306519,351.010595135,247.015622383,103.994972752
Birr (Co. Offaly),Birr co offlay,2023-02-26,2023-02-26 01:00:00,2023-02-26 01:00:00,1,20.86,18.162651062,21.39544487,2.69734893799,-0.535444869995,7.27569129327,0.286701208804,6.98899008446
Birr (Co. Offaly),Birr co offlay,2023-02-27,2023-02-27 01:00:00,2023-02-27 01:00:00,1,12.66,21.3209323883,28.4896183014,-8.66093238831,-15.8296183014,75.0117498348,250.576815568,-175.565065733
Birr (Co. Offaly),Birr co offlay,2023-02-28,2023-02-28 01:00:00,2023-02-28 01:00:00,1,32.07,19.6443691254,26.517829895,12.4256308746,5.55217010498,154.396302633,30.8265928746,123.569709758
Birr (Co. Offaly),Birr co offlay,2023-03-01,2023-03-01 01:00:00,2023-03-01 01:00:00,1,13.84,26.0434627533,27.2476940155,-12.2034627533,-13.4076940155,148.924503171,179.766258813,-30.8417556423
Birr (Co. Offaly),Birr co offlay,2023-03-02,2023-03-02 01:00:00,2023-03-02 01:00:00,1,10.01,15.8339986801,16.729221344,-5.82399868011,-6.71922134399,33.918960626,45.1479354696,-11.2289748436
Birr (Co. Offaly),Birr co offlay,2023-03-03,2023-03-03 01:00:00,2023-03-03 01:00:00,1,9.62,15.988781929,18.2491817474,-6.36878192902,-8.62918174744,40.5613832594,74.4627776303,-33.9013943709
Birr (Co. Offaly),Birr co offlay,2023-03-04,2023-03-04 01:00:00,2023-03-04 01:00:00,1,14.48,18.1858482361,18.1351718903,-3.70584823608,-3.65517189026,13.7333111489,13.3602815473,0.373029601549
Birr (Co. Offaly),Birr co offlay,2023-03-05,2023-03-05 01:00:00,2023-03-05 01:00:00,1,36.12,20.6070919037,24.676027298,15.5129080963,11.443972702,240.650317605,130.964511205,109.6858064
Birr (Co. Offaly),Birr co offlay,2023-03-06,2023-03-06 01:00:00,2023-03-06 01:00:00,1,3.76,20.9949092865,17.909576416,-17.2349092865,-14.149576416,297.042098114,200.210512753,96.8315853612
Birr (Co. Offaly),Birr co offlay,2023-03-07,2023-03-07 01:00:00,2023-03-07 01:00:00,1,6.75,12.5917549133,12.5026788712,-5.84175491333,-5.75267887115,34.1261004674,33.0933141946,1.03278627279
Birr (Co. Offaly),Birr co offlay,2023-03-08,2023-03-08 01:00:00,2023-03-08 01:00:00,1,17.81,13.781170845,14.8316326141,4.02882915497,2.97836738586,16.2314643599,8.87067228518,7.36079207474
Birr (Co. Offaly),Birr co offlay,2023-03-09,2023-03-09 01:00:00,2023-03-09 01:00:00,1,20.76,21.2504901886,19.6526241302,-0.490490188599,1.10737586975,0.240580625112,1.22628131691,-0.985700691795
Birr (Co. Offaly),Birr co offlay,2023-03-10,2023-03-10 01:00:00,2023-03-10 01:00:00,1,2.81,17.284620285,10.0714530945,-14.474620285,-7.26145309448,209.514632396,52.7287010434,156.785931353
Birr (Co. Offaly),Birr co offlay,2023-03-11,2023-03-11 01:00:00,2023-03-11 01:00:00,1,10.21,7.87731122971,8.65400981903,2.33268877029,1.55599018097,5.44143689906,2.42110544327,3.02033145578
Birr (Co. Offaly),Birr co offlay,2023-03-12,2023-03-12 01:00:00,2023-03-12 01:00:00,1,29.85,15.0010356903,12.0886964798,14.8489643097,17.7613035202,220.491741071,315.463902737,-94.9721616662
Birr (Co. Offaly),Birr co offlay,2023-03-13,2023-03-13 01:00:00,2023-03-13 01:00:00,1,1.04,20.0234985352,12.9101829529,-18.9834985352,-11.8701829529,360.373216634,140.901243335,219.471973299
Birr (Co. Offaly),Birr co offlay,2023-03-14,2023-03-14 01:00:00,2023-03-14 01:00:00,1,9.57,5.60790967941,3.98867321014,3.96209032059,5.58132678986,15.6981597085,31.1512087352,-15.4530490267
Birr (Co. Offaly),Birr co offlay,2023-03-15,2023-03-15 01:00:00,2023-03-15 01:00:00,1,16.12,8.03527927399,8.18213367462,8.08472072601,7.93786632538,65.3627092176,63.0097217996,2.35298741805
Birr (Co. Offaly),Birr co offlay,2023-03-16,2023-03-16 01:00:00,2023-03-16 01:00:00,1,2.35,13.2304916382,12.2016916275,-10.8804916382,-9.8516916275,118.385098289,97.0558279234,21.3292703652
Birr (Co. Offaly),Birr co offlay,2023-03-17,2023-03-17 01:00:00,2023-03-17 01:00:00,1,13.87,9.20593261719,8.09309959412,4.66406738281,5.77690040588,21.7535245514,33.3725782995,-11.6190537481
Birr (Co. Offaly),Birr co offlay,2023-03-18,2023-03-18 01:00:00,2023-03-18 01:00:00,1,12.5,12.226934433,13.4480857849,0.273065567017,-0.948085784912,0.0745648038901,0.898866655552,-0.824301851662
Birr (Co. Offaly),Birr co offlay,2023-03-19,2023-03-19 01:00:00,2023-03-19 01:00:00,1,16.57,12.0645008087,12.9668140411,4.50549919128,3.60318595886,20.2995229627,12.9829490541,7.31657390852
Birr (Co. Offaly),Birr co offlay,2023-03-20,2023-03-20 01:00:00,2023-03-20 01:00:00,1,3.33,15.8422698975,14.0685529709,-12.5122698975,-10.7385529709,156.556897987,115.316519909,41.2403780784
Birr (Co. Offaly),Birr co offlay,2023-03-21,2023-03-21 01:00:00,2023-03-21 01:00:00,1,3.69,12.0586862564,8.1283826828,-8.36868625641,-4.4383826828,70.0349096582,19.699240839,50.3356688192
